feature_set,forward_window,regression_bucket,condition,observations,mean_return,median_return,hit_rate,avg_revenue_growth,avg_trailing_6m_return,avg_operating_margin,avg_fcf_margin
financial_only,fwd_12m_return,all,model_top_quintile,30,0.21987067507355276,0.23331354836300539,0.7,0.17797278593265303,-0.014706890958947257,0.24440455490197677,0.2137571859916375
financial_plus_price,fwd_12m_return,all,model_top_quintile,30,0.09123750672320938,0.0567501963293277,0.6333333333333333,0.1489813765231058,0.15773642586825704,0.257596496812945,0.19513047552458246
financial_only,fwd_12m_return,large_cap,model_top_quintile,24,0.34507314425450913,0.237391485632438,0.75,0.2818268980592739,-0.009599275748242769,0.2384491375435913,0.21773543294644537
financial_plus_price,fwd_12m_return,large_cap,model_top_quintile,24,0.2028036210313308,0.21039519266394602,0.75,0.18490303101885183,0.20482755090752827,0.18004486555773563,0.17357715695478962
financial_plus_price,fwd_3m_return,all,model_top_quintile,37,0.13551650995750578,0.0317184243362278,0.6216216216216216,0.18793745798956502,0.1782573897322736,0.20821741529340876,0.17577615328872193
financial_only,fwd_3m_return,all,model_top_quintile,37,0.11898972168713363,0.0342224659910044,0.5945945945945946,0.20969789910877865,0.11177390499715295,0.21032098329370355,0.19719170073973064
financial_only,fwd_3m_return,large_cap,model_top_quintile,29,0.14963280275205723,0.1197842727108426,0.6896551724137931,0.22380984601342965,0.10466594741188381,0.29460759587665664,0.20990343345486392
financial_plus_price,fwd_3m_return,large_cap,model_top_quintile,29,0.14087048430106414,0.0342224659910044,0.6551724137931034,0.229103370398356,0.19390134463011854,0.24052423116997257,0.18093996894158063
financial_plus_price,fwd_3m_return,low_cap,model_top_quintile,5,0.1083715337465275,0.0087570652721302,0.6,0.18569506957951382,-0.13117311237093238,0.050353454082154706,0.08793833841918595
financial_only,fwd_3m_return,low_cap,model_top_quintile,5,0.013230622663018799,0.0087570652721302,0.6,0.14036240697540867,-0.0013771822828162028,-0.013265560790455724,0.09651058216199981
financial_plus_price,fwd_6m_return,all,model_top_quintile,34,0.20582492018975762,0.1674634021149714,0.7352941176470589,0.103269592698068,0.06205932550479327,0.23906455651141448,0.12048432654528671
financial_only,fwd_6m_return,all,model_top_quintile,34,0.10459109019329575,0.04370010098667659,0.6764705882352942,0.10679120306956646,0.010088294567304234,0.3014368251056914,0.1858481988851466
financial_only,fwd_6m_return,large_cap,model_top_quintile,26,0.2655658529902173,0.13566913775146855,0.8076923076923077,0.23286268170505323,0.0245793900907555,0.27541161747883036,0.19734082049234555
financial_plus_price,fwd_6m_return,large_cap,model_top_quintile,26,0.21577520422898672,0.14065785388194835,0.8076923076923077,0.17542948144690038,0.08285856025569932,0.2635310080866223,0.21322160125520864
financial_only,fwd_6m_return,low_cap,model_top_quintile,5,2.020479700316777,1.2867737516768871,0.8,-0.150394723206629,-0.1929417717673961,-0.4916486321117265,-0.3963785600492397
financial_plus_price,fwd_6m_return,low_cap,model_top_quintile,5,1.7866667203332642,0.1177088517593238,0.8,0.061091774215677005,-0.23667778852372195,-0.01688457911861853,-0.2668742304476013
