observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean,feature_set,transform,training_mode,test_year
201,1,-0.1606656287785999,-0.03707850557445016,-0.022596432169512463,0.3049418521054235,0.2817430435688119,0.8780487804878049,0.3179143707985654,-0.012972518693141866,financial_only,rank,expanding,2016
204,1,-0.02031054750745165,0.3016871655284952,0.26898398802186557,0.34422269739086186,0.3281537321801298,0.8780487804878049,0.11039799663604381,0.23382470075481804,financial_only,rank,expanding,2017
207,1,-0.10864888925395455,-0.0066934728935358016,-0.025411033478314235,0.1784449707978588,0.15926606588115894,0.7619047619047619,0.17833274867291504,0.00011222212494374495,financial_only,rank,expanding,2018
211,1,-0.3102078292657342,0.3089986781388437,0.339383866897434,0.10249386916203136,0.1571539933572354,0.6744186046511628,-0.17040040792751654,0.2728942770895479,financial_only,rank,expanding,2019
212,1,-0.5245721914788415,0.10752308998652625,0.19157038902434256,0.7620359865991926,0.5879648773669695,0.9767441860465116,0.5290034074901802,0.23303257910901243,financial_only,rank,expanding,2020
211,1,-0.03630593984378616,0.0032095290927747783,-0.037909594253267176,0.2354276324638421,0.1363252546774647,0.6744186046511628,0.21208193423913846,0.023345698224703643,financial_only,rank,expanding,2021
218,1,-0.49613275302951565,-0.040807573896100756,0.038958259793355134,-0.03873166886878673,-0.02209165657002125,0.4318181818181818,-0.03728402634290725,-0.0014476425258794778,financial_only,rank,expanding,2022
224,1,-0.025008756459446335,0.1853998068645974,0.13709751684217789,0.7270634983588148,0.3602357013344464,0.8888888888888888,0.34550493833636964,0.38155856002244515,financial_only,rank,expanding,2023
224,1,-0.011179464377436998,0.037189442993686664,-0.13461513309180842,0.22571075446444402,0.0577849733730833,0.5555555555555556,0.1945905098164758,0.031120244647968226,financial_only,rank,expanding,2024
189,1,-0.02275142740567082,0.13660659584212842,0.11115648658726217,0.37584426326235926,0.24456601726257665,0.8421052631578947,0.2449762848725679,0.13086797838979136,financial_only,rank,expanding,2025
201,1,-0.1606656287785999,-0.03707850557445016,-0.022596432169512463,0.3049418521054235,0.2817430435688119,0.8780487804878049,0.3179143707985654,-0.012972518693141866,financial_only,rank,rolling_2y,2016
204,1,-0.21705048296134155,0.24556434098074592,0.22283545343360808,0.2814716455311972,0.2266569085042646,0.8292682926829268,0.05953054476891988,0.2219411007622773,financial_only,rank,rolling_2y,2017
207,1,-0.16858853551624509,-0.018080667922612675,-0.07746428137761473,0.17285013762673415,0.13066256461996023,0.7142857142857143,0.19156883093721666,-0.01871869331048251,financial_only,rank,rolling_2y,2018
211,1,-0.4872829540759134,0.26630633339490356,0.25793623546463273,0.14306026016088733,0.1618108981792769,0.6744186046511628,-0.14764426957160412,0.29070452973249145,financial_only,rank,rolling_2y,2019
212,1,-0.5562482109009501,0.043741923514570784,0.006601445668112537,0.7818866259216422,0.5064673799731993,0.9767441860465116,0.6163654672165823,0.1655211587050599,financial_only,rank,rolling_2y,2020
211,1,-0.3836122617568829,-0.11671828570448052,-0.14159634572768884,0.19888341055334544,0.1143201799691149,0.6046511627906976,0.24640007521994353,-0.047516664666598096,financial_only,rank,rolling_2y,2021
