observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean,feature_set,transform,training_mode
2101,10,0.06208183787104404,0.25893102272803475,0.25454506507933555,0.5020334855261553,0.3411764908089669,0.7957244655581948,0.10144936667324563,0.40058411885290973,price_only,winsor_z,expanding
2101,10,0.05760878252664969,0.26150957486096427,0.247194748651053,0.46144150577885223,0.3145986796006006,0.7672209026128266,0.09679953794935145,0.36464196782950076,financial_plus_price,winsor_z,expanding
2101,10,0.06195229204636932,0.2686983365525348,0.23895891177731954,0.5209842614583459,0.3654303446704998,0.8076009501187649,0.12132095706238785,0.399663304395958,price_only,winsor_z,rolling_5y
2101,10,0.05494401608986743,0.27318675316871566,0.23434692645566355,0.48288944217166374,0.3411764908089669,0.7743467933491687,0.09467178399280018,0.38821765817886356,financial_plus_price,winsor_z,rolling_5y
2101,10,0.04594357435480678,0.23964271492087258,0.20858831665044644,0.41782269631737706,0.2808681220533839,0.7482185273159145,0.10875975325925057,0.3090629430581265,financial_plus_price,robust_z,expanding
2101,10,0.03938629714448971,0.21381807471257053,0.18574673179562792,0.40581646059118776,0.2808681220533839,0.7505938242280285,0.1351564885300125,0.27065997206117526,price_only,robust_z,expanding
2101,10,0.03102664210018602,0.2324282235492454,0.18567674299189038,0.4026466804722872,0.2560845709268269,0.7363420427553444,0.1216065971206074,0.2810400833516798,financial_plus_price,robust_z,rolling_5y
2101,10,0.029291663122698486,0.20870783286977,0.16411081105675898,0.3845426852651429,0.26739468456817,0.7458432304038005,0.1449747076771705,0.2395679775879724,price_only,robust_z,rolling_5y
2101,10,0.009524451806237955,0.16184858504239785,0.1527066439620427,0.3459685424987523,0.2285202819376963,0.7577197149643705,0.13125296532965103,0.21471557716910128,financial_plus_price,rank,expanding
2101,10,0.0019732635665130616,0.1725832872346787,0.14607234481958625,0.35000156858925796,0.2321974803669828,0.7363420427553444,0.13428442513199154,0.21571714345726642,financial_plus_price,rank,rolling_5y
2101,10,0.005300139437216522,0.1702105413616082,0.14573959372000633,0.33820283667683265,0.2127739415661822,0.7529691211401425,0.12407183739350129,0.21413099928333135,financial_only,rank,expanding
2101,10,0.007250601902068832,0.17818602283414067,0.13807694743597357,0.33936197502320353,0.2155966204310306,0.7505938242280285,0.13709558827027823,0.2022663867529253,financial_only,robust_z,expanding
2101,10,0.008325366729965533,0.15512101510978346,0.12205639702970751,0.320506572012662,0.1897581547887905,0.7482185273159145,0.13750348772925014,0.1830030842834119,financial_only,rank,rolling_5y
2101,10,0.007489719332210654,0.16431847149125664,0.12098409975774853,0.3292203785625137,0.1996852568911795,0.7410926365795725,0.1389006208028142,0.19031975775969948,financial_only,robust_z,rolling_5y
2101,10,0.006403045038720356,0.17153805832640417,0.11801635886448616,0.34759812130600576,0.2128689790638596,0.7505938242280285,0.14362301587681175,0.203975105429194,financial_only,winsor_z,expanding
2101,10,-0.05643202714295348,0.13886743416532057,0.10741053393091109,0.31240850033609346,0.206386160562799,0.7624703087885986,0.16914905862001872,0.14325944171607474,financial_only,robust_z,rolling_3y
2101,10,-0.005024224613838113,0.10298956180334094,0.10422362290570578,0.2667133303330512,0.1943840061310755,0.7197149643705463,0.13935652582201277,0.12735680451103845,price_only,rank,expanding
2101,10,-0.013345219449400147,0.11990757007192866,0.10344403077506928,0.3008995355667278,0.1702722359255903,0.7007125890736342,0.12849297039512922,0.1724065651715986,price_only,rank,rolling_5y
2101,10,-0.02781694951450686,0.13045925983105872,0.09604388369676026,0.30059407373735125,0.1970443575767586,0.7577197149643705,0.16857004451243388,0.13202402922491738,financial_only,rank,rolling_3y
2101,10,0.007870898971808038,0.15896526992288232,0.08962917614145167,0.33808870593221285,0.2022049598575765,0.7292161520190024,0.14796855252840038,0.19012015340381247,financial_only,winsor_z,rolling_5y
2101,10,-0.051549938501745496,0.13313751366273566,0.085866291642278,0.3014456493431939,0.1871625504352356,0.7505938242280285,0.16170199328325455,0.13974365605993935,financial_only,winsor_z,rolling_3y
2101,10,-0.039343545956176174,0.16428871203900466,0.06248007884036398,0.3255083795031988,0.215074743590345,0.7173396674584323,0.20154332148430842,0.12396505801889035,financial_plus_price,winsor_z,rolling_3y
2101,10,-0.22843342301330893,0.06131575093878466,0.05346037217822253,0.26663325410178385,0.1734830116886827,0.6935866983372921,0.24111385478712,0.02551939931466385,financial_plus_price,winsor_z,rolling_2y
2101,10,-0.044917117543272544,0.11484476066885363,0.04590510211614022,0.2753660037752597,0.1871625504352356,0.7125890736342043,0.21180610301819092,0.0635599007570688,financial_plus_price,rank,rolling_3y
2101,10,-0.1814650886537581,0.03868400117851222,0.042651165742611935,0.2615919314189968,0.1662394090844066,0.6912114014251781,0.22076583852199372,0.04082609289700306,financial_plus_price,robust_z,rolling_2y
2101,10,-0.07099364791843765,0.12165780705501306,0.04000099760258372,0.3121929401938777,0.1955938165913187,0.7125890736342043,0.2100288400150218,0.10216410017885591,financial_plus_price,robust_z,rolling_3y
2101,10,-0.16648762786503868,0.07077675233898086,0.03999743547558891,0.24629794461138485,0.167719700305148,0.7078384798099763,0.23949078362495138,0.006807160986433469,price_only,winsor_z,rolling_2y
2101,10,-0.1416571831325082,0.016599758800625863,0.03291831556291731,0.2430963108717709,0.1484140081524678,0.7078384798099763,0.1810498024757897,0.06204650839598119,financial_plus_price,rank,rolling_2y
2101,10,-0.03482405930314836,0.1290660572153538,0.03210845376322284,0.30181910128205486,0.206936326448067,0.7078384798099763,0.20757124223256948,0.09424785904948538,price_only,winsor_z,rolling_3y
2101,10,-0.13861233355681457,0.03487811903900597,0.006634167166050485,0.20812861655764286,0.1477274287487402,0.672209026128266,0.1927031718840185,0.015425444673624361,price_only,robust_z,rolling_2y
2101,10,-0.12637376116640575,-0.00549035740648405,-0.007627463623896839,0.17495056066855236,0.1264813454057449,0.669833729216152,0.18195164186355767,-0.00700108119500531,price_only,rank,rolling_2y
2101,10,-0.06441010137100234,0.07346760569192878,-0.01913393345807482,0.2671992786242346,0.1589510575657866,0.669833729216152,0.23305719331562974,0.03414208530860485,price_only,robust_z,rolling_3y
2101,10,-0.057628255427376374,0.05423328829932177,-0.022512606377785883,0.2158177134193877,0.1312872717624835,0.6555819477434679,0.20186900238944147,0.013948711029946242,price_only,rank,rolling_3y
2101,10,-0.2516312761161812,-0.04187704811456911,-0.027278820370782168,0.18699019598437022,0.1196674510642461,0.66270783847981,0.19428821977584457,-0.007298023791474345,financial_only,robust_z,rolling_2y
2101,10,-0.2927120014661895,-0.05703701483489024,-0.03499695716654521,0.1716435778146322,0.0989064091538443,0.6579572446555819,0.20033202525024257,-0.028688447435610387,financial_only,winsor_z,rolling_2y
2101,10,-0.21560916899350002,-0.05168646584327655,-0.0436555278396642,0.15809382568977712,0.0865054758941661,0.6460807600950119,0.173947307004064,-0.015853481314286877,financial_only,rank,rolling_2y
