feature_set,forward_window,regression_bucket,observations,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
financial_only,fwd_12m_return,all,420,-0.004264224798008476,0.13165687439778923,0.13005119603250093,0.25174472848577356,0.09878717819012614,0.6309523809523809,0.09410592887238857,0.157638799613385
financial_plus_price,fwd_12m_return,all,420,0.008298086085193668,0.3006663941889006,0.18323281716044712,0.505780957721937,0.35761320724679685,0.7619047619047619,0.12278468115342331,0.38299627656851365
financial_price_macro,fwd_12m_return,all,420,0.0011616745868987532,0.2658598732201542,0.15349325757434643,0.4568872742058724,0.325917542434803,0.7619047619047619,0.16209576211318094,0.29479151209269144
financial_price_sector,fwd_12m_return,all,420,0.015338089993083948,0.27326063244627913,0.14926825791853368,0.4709644241757348,0.33073805938347245,0.75,0.1263786302512569,0.3445857939244779
financial_price_sector_macro,fwd_12m_return,all,420,-0.029485994490979328,0.24633225937804262,0.13743582932523912,0.44703832621245826,0.2498137160646418,0.75,0.14588068233169962,0.3011576438807586
growth_quality_only,fwd_12m_return,all,420,0.0057316990314414396,0.13243848653471524,0.12339323770839485,0.2955093220986658,0.11664015630401775,0.6428571428571429,0.1154406477199817,0.18006867437868412
growth_quality_price,fwd_12m_return,all,420,-0.03398754694995443,0.15145217249560824,0.12852696767798324,0.31590332579257785,0.13818461497145162,0.6309523809523809,0.12278581829837217,0.1931175074942057
financial_only,fwd_12m_return,large_cap,192,0.07641549561650096,0.2795718370225189,0.2542108000446137,0.5224788040213568,0.3195181396104884,0.7948717948717948,0.10668982509657347,0.41578897892478334
financial_plus_price,fwd_12m_return,large_cap,192,0.22837574783152237,0.5202349009965079,0.4019697935599382,0.8116832481207527,0.6118094069437159,0.9230769230769231,0.11861160422929394,0.6930716438914587
financial_price_macro,fwd_12m_return,large_cap,192,0.2634153604043994,0.5212720187349253,0.38671228603206476,0.7824807820072661,0.6118094069437159,0.8717948717948718,0.13289187250162932,0.6495889095056369
financial_price_sector,fwd_12m_return,large_cap,192,0.19379979357460508,0.4411857042833359,0.3540236822830481,0.7251357540836776,0.611383493350719,0.8717948717948718,0.12217070596999115,0.6029650481136865
financial_price_sector_macro,fwd_12m_return,large_cap,192,0.17324480824155142,0.431061230211771,0.3413805848682962,0.7810211929111376,0.6200326434697994,0.8974358974358975,0.13502132126172958,0.645999871649408
growth_quality_only,fwd_12m_return,large_cap,192,0.04229289835132877,0.2068725190244903,0.1362588063653067,0.5666142683735439,0.3107858297861021,0.717948717948718,0.22445568468484894,0.34215858368869495
growth_quality_price,fwd_12m_return,large_cap,192,0.13916476415217882,0.43170413106439226,0.35815044895966147,0.7687853369318842,0.611383493350719,0.8717948717948718,0.12712264664250855,0.6416626902893756
financial_only,fwd_12m_return,mid_cap,212,-0.288904259303965,-0.12437156354358121,-0.11290653695939384,0.0320825355891558,-0.004464986370905,0.4883720930232558,0.2231122488658989,-0.1910297132767431
financial_plus_price,fwd_12m_return,mid_cap,212,-0.3296511164614302,-0.08805915351708296,-0.08976779392261644,0.06012450457931087,0.0005579239417226,0.5348837209302325,0.17165581242759692,-0.11153130784828605
financial_price_macro,fwd_12m_return,mid_cap,212,-0.25006509865912774,-0.08853955798532762,-0.09731949777894768,0.061640308793565336,0.0005579239417226,0.5348837209302325,0.142943072149147,-0.08130276335558168
financial_price_sector,fwd_12m_return,mid_cap,212,-0.4462365903740546,-0.16234457835439162,-0.19907606238342151,0.05831000951130396,0.0283683036282036,0.5813953488372093,0.21816665660566956,-0.1598566470943656
