feature_set,forward_window,regression_bucket,condition,observations,mean_return,median_return,hit_rate,avg_growth,avg_trailing_6m
financial_only,fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.15396274400150617
financial_plus_price,fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.15396274400150617
financial_price_macro,fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.15396274400150617
financial_price_sector,fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.15396274400150617
financial_price_sector_macro,fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.15396274400150617
growth_quality_only,fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.15396274400150617
growth_quality_price,fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.15396274400150617
financial_only,fwd_12m_return,all,growth30_model_top_half,14,0.5334819355872459,0.2794853069942372,0.7142857142857143,0.5903561994584345,0.13748726215444082
financial_plus_price,fwd_12m_return,all,model_top_quintile,84,0.505780957721937,0.35761320724679685,0.7619047619047619,0.1864595505784983,0.036186775926316195
financial_plus_price,fwd_12m_return,all,growth30_model_top_half,15,0.4928556050106562,0.2248047594923032,0.6666666666666666,0.5711594438288243,0.12481867717823006
financial_price_macro,fwd_12m_return,all,growth30_model_top_half,15,0.4928556050106562,0.2248047594923032,0.6666666666666666,0.5711594438288243,0.12481867717823006
financial_price_sector,fwd_12m_return,all,growth30_model_top_half,15,0.4928556050106562,0.2248047594923032,0.6666666666666666,0.5711594438288243,0.12481867717823006
financial_price_sector_macro,fwd_12m_return,all,growth30_model_top_half,15,0.4928556050106562,0.2248047594923032,0.6666666666666666,0.5711594438288243,0.12481867717823006
growth_quality_only,fwd_12m_return,all,growth30_model_top_half,15,0.4928556050106562,0.2248047594923032,0.6666666666666666,0.5711594438288243,0.12481867717823006
growth_quality_price,fwd_12m_return,all,growth30_model_top_half,15,0.4928556050106562,0.2248047594923032,0.6666666666666666,0.5711594438288243,0.12481867717823006
financial_price_sector,fwd_12m_return,all,model_top_quintile,84,0.4709644241757348,0.33073805938347245,0.75,0.18862311784428842,0.00666799402240612
financial_price_macro,fwd_12m_return,all,model_top_quintile,84,0.4568872742058724,0.325917542434803,0.7619047619047619,0.18953167268369045,0.07599017065813737
financial_price_sector_macro,fwd_12m_return,all,model_top_quintile,84,0.44703832621245826,0.2498137160646418,0.75,0.19471640470053858,0.03403395177655114
financial_only,fwd_12m_return,all,growth30_positive_margin_mom,5,0.38155615734861503,0.4637128525913567,0.8,0.5243257824253493,0.576300892463723
financial_plus_price,fwd_12m_return,all,growth30_positive_margin_mom,5,0.38155615734861503,0.4637128525913567,0.8,0.5243257824253493,0.576300892463723
financial_price_macro,fwd_12m_return,all,growth30_positive_margin_mom,5,0.38155615734861503,0.4637128525913567,0.8,0.5243257824253493,0.576300892463723
