feature_set,forward_window,regression_bucket,top_observations,top_mean_return,top_median_return,top_hit_rate,bottom_mean_return,top_minus_bottom_mean
financial_only,fwd_12m_return,all,90,0.2422499432019633,0.13952528195500852,0.6555555555555556,0.12577827916479256,0.11647166403717074
financial_plus_price,fwd_12m_return,all,90,0.34883488732354906,0.2498137160646418,0.7666666666666667,0.10145470432448203,0.24738018299906703
financial_price_macro,fwd_12m_return,all,90,0.3623563726285291,0.22050796261330913,0.7333333333333333,0.13150119151321668,0.23085518111531242
financial_price_sector,fwd_12m_return,all,90,0.3567799434558273,0.2271690275026673,0.7222222222222222,0.12218101421430073,0.2345989292415266
financial_price_sector_macro,fwd_12m_return,all,90,0.36395603094579265,0.2153126306573715,0.7111111111111111,0.13805382565406354,0.2259022052917291
growth_quality_only,fwd_12m_return,all,91,0.2865420583087749,0.1961495742773202,0.7032967032967034,0.10936202623421008,0.17718003207456479
growth_quality_price,fwd_12m_return,all,90,0.324625306604158,0.18172772059051714,0.7,0.12425342373296508,0.20037188287119292
financial_only,fwd_12m_return,large_cap,45,0.5162795757689965,0.3922438145996296,0.8666666666666667,0.12574288382433071,0.3905366919446658
financial_plus_price,fwd_12m_return,large_cap,44,0.617841064963402,0.46742519535370897,0.8863636363636364,0.08616974013458024,0.5316713248288217
financial_price_macro,fwd_12m_return,large_cap,44,0.6408944797081259,0.47289256661082446,0.8636363636363636,0.11209249718858345,0.5288019825195424
financial_price_sector,fwd_12m_return,large_cap,44,0.5727345186036683,0.43458980316142454,0.8409090909090909,0.1046115694301931,0.4681229491734752
financial_price_sector_macro,fwd_12m_return,large_cap,44,0.5978128219577693,0.46310390400330564,0.8409090909090909,0.1334237118214291,0.4643891101363402
growth_quality_only,fwd_12m_return,large_cap,44,0.44334113200080805,0.31515198469829525,0.7954545454545454,0.24515367303792407,0.19818745896288398
growth_quality_price,fwd_12m_return,large_cap,44,0.597851409981214,0.42781930477048613,0.8636363636363636,0.13948433330678214,0.4583670766744319
financial_only,fwd_12m_return,mid_cap,47,0.05505467280477328,0.0005579239417226,0.5319148936170213,0.20349814321117618,-0.1484434704064029
financial_plus_price,fwd_12m_return,mid_cap,47,0.05882775360405889,0.0283683036282036,0.574468085106383,0.13656618312328037,-0.07773842951922147
financial_price_macro,fwd_12m_return,mid_cap,47,0.17196504880892013,0.112143469718293,0.6170212765957447,0.12313327454678724,0.04883177426213289
financial_price_sector,fwd_12m_return,mid_cap,47,0.07651095458893062,0.0931399969035391,0.5957446808510638,0.25156241947869634,-0.17505146488976572
financial_price_sector_macro,fwd_12m_return,mid_cap,47,0.10026081652360748,0.112143469718293,0.6382978723404256,0.2256220643256708,-0.1253612478020633
growth_quality_only,fwd_12m_return,mid_cap,47,0.06369985646895795,0.0001136156453915,0.5106382978723404,0.20138364622061902,-0.13768378975166107
growth_quality_price,fwd_12m_return,mid_cap,47,0.020260858672829146,0.0005579239417226,0.5319148936170213,0.2595742003943389,-0.23931334172150978
financial_only,fwd_3m_return,all,208,0.0039019141507765772,8.342962257979988e-05,0.5,0.037457116219389644,-0.033555202068613066
financial_plus_price,fwd_3m_return,all,208,0.07401497636529805,0.0388048976847451,0.6346153846153846,-0.006608628326538028,0.08062360469183608
financial_price_macro,fwd_3m_return,all,208,0.09610807444292938,0.04923882893462115,0.6778846153846154,-0.01596195943606545,0.11207003387899482
financial_price_sector,fwd_3m_return,all,208,0.08469468888393165,0.041196315646375756,0.6586538461538461,-0.0006881417921709453,0.0853828306761026
financial_price_sector_macro,fwd_3m_return,all,208,0.09788702408673647,0.04923882893462115,0.6730769230769231,-0.011556868656471347,0.10944389274320782
growth_quality_only,fwd_3m_return,all,208,-0.003664976124575986,-0.0038178152091429,0.4855769230769231,0.055831988946657383,-0.05949696507123337
growth_quality_price,fwd_3m_return,all,208,0.07280192173944805,0.03188696652047025,0.6201923076923077,-9.419084218137419e-05,0.07289611258162942
financial_only,fwd_3m_return,large_cap,54,0.18198384493037953,0.1179271598098647,0.7222222222222222,0.033988702564141327,0.1479951423662382
financial_plus_price,fwd_3m_return,large_cap,53,0.16696067130543824,0.1268607267473545,0.7169811320754716,0.050534217115753566,0.11642645418968467
financial_price_macro,fwd_3m_return,large_cap,53,0.17726596486086268,0.1006360565247372,0.6415094339622641,0.041449981373478884,0.1358159834873838
financial_price_sector,fwd_3m_return,large_cap,53,0.1679657716631008,0.1268607267473545,0.7358490566037735,0.06587544453923681,0.102090327123864
financial_price_sector_macro,fwd_3m_return,large_cap,53,0.1754156439045394,0.1197842727108426,0.6792452830188679,0.045461748373093816,0.1299538955314456
growth_quality_only,fwd_3m_return,large_cap,54,0.2011915589853963,0.1336238316639608,0.7777777777777778,0.026205046181683657,0.17498651280371266
growth_quality_price,fwd_3m_return,large_cap,53,0.22268118004997187,0.1571511732464592,0.8490566037735849,0.06494532630221675,0.15773585374775512
financial_only,fwd_3m_return,mid_cap,106,-0.021323719129930682,-0.0158934164342001,0.42452830188679247,0.00807225868180398,-0.029395977811734662
financial_plus_price,fwd_3m_return,mid_cap,106,0.02334192505652057,0.00782000324103365,0.5377358490566038,-0.02802602827606859,0.05136795333258916
financial_price_macro,fwd_3m_return,mid_cap,106,0.03805848324147084,0.01450163885474815,0.5754716981132075,-0.04768231665982237,0.08574079990129321
financial_price_sector,fwd_3m_return,mid_cap,106,0.0371893776619542,0.01489676198011255,0.5754716981132075,-0.03973576282421839,0.07692514048617259
financial_price_sector_macro,fwd_3m_return,mid_cap,106,0.03505587846243182,0.0130489973832198,0.5660377358490566,-0.031410801753337776,0.0664666802157696
growth_quality_only,fwd_3m_return,mid_cap,106,-0.0179872595941765,-0.011137328633407498,0.42452830188679247,0.007993179054235836,-0.02598043864841234
growth_quality_price,fwd_3m_return,mid_cap,106,0.012409363226686803,-0.00909474108303875,0.46226415094339623,-0.01591325787905149,0.028322621105738292
financial_only,fwd_6m_return,all,99,0.21728125051645822,0.1048411525070176,0.6666666666666666,0.13376410821821538,0.08351714229824284
financial_plus_price,fwd_6m_return,all,99,0.3809821377621443,0.2441654921897449,0.797979797979798,0.023037416619530217,0.35794472114261405
financial_price_macro,fwd_6m_return,all,99,0.30435816933422577,0.165989465711996,0.7171717171717171,0.04682311238538788,0.2575350569488379
financial_price_sector,fwd_6m_return,all,99,0.34768057168535127,0.2118457369748803,0.7676767676767676,0.053769823452005754,0.2939107482333455
financial_price_sector_macro,fwd_6m_return,all,99,0.2881683830811819,0.154052421232093,0.696969696969697,0.07557018076706047,0.21259820231412146
growth_quality_only,fwd_6m_return,all,99,0.18099149924587818,0.0544760916138542,0.6464646464646465,0.16244235190769246,0.018549147338185717
growth_quality_price,fwd_6m_return,all,99,0.29626682834942714,0.1584727081580146,0.7474747474747475,0.02863616140599393,0.2676306669434332
financial_only,fwd_6m_return,large_cap,47,0.35176767299764844,0.1249430408779035,0.7446808510638298,0.24473917186758856,0.10702850113005988
financial_plus_price,fwd_6m_return,large_cap,47,0.40601505288907846,0.2383795306253509,0.851063829787234,0.18616935818254268,0.21984569470653578
financial_price_macro,fwd_6m_return,large_cap,47,0.40438686875585733,0.1926321739623244,0.7872340425531915,0.1662656722115942,0.23812119654426314
financial_price_sector,fwd_6m_return,large_cap,47,0.3714568742839882,0.1926321739623244,0.8085106382978723,0.20968757677189026,0.16176929751209795
financial_price_sector_macro,fwd_6m_return,large_cap,47,0.36223033534974414,0.1272632865318037,0.723404255319149,0.18060594278618783,0.1816243925635563
growth_quality_only,fwd_6m_return,large_cap,47,0.3392107120889551,0.1729003143332992,0.7446808510638298,0.1984871386513351,0.14072357343762
