observations,total_return,annual_return,annual_std,sharpe,average_daily_return,average_daily_turnover,max_drawdown,hit_rate,strategy,grain,correlation_to_max_return,avg_gross_exposure,avg_active_positions
4107,12.376564639093234,0.17249497558298588,0.1764569945108194,0.9775468298164254,0.0006936460747419004,0.16811288224151033,-0.28942754193649,0.5310445580715851,daily_large_cap_lowvol_trend,1d,0.884243330340878,0.9690771852934015,7.640857073289506
4107,5.365092317349618,0.120263990827705,0.20156564881662145,0.5966492382693525,0.0005316552382350344,0.10981251521792063,-0.3799685015598021,0.5088872656440224,daily_asset_abs_mom_252_top1,1d,0.5026915268320712,0.9383978573167763,0.9383978573167763
4107,2.1712592206485417,0.07338347780939825,0.1310737241003348,0.559864139918878,0.0003152135924412622,0.13448665501519044,-0.21739518611127728,0.5088872656440224,daily_asset_abs_mom_252_top3,1d,0.7033384609227022,0.9383978573167763,2.8035062089116143
4107,1.8337327649324822,0.06599737096223546,0.14636893868614304,0.45089737996770435,0.0002962669558281322,0.16380557102384097,-0.23720800009436716,0.5149744338933528,daily_asset_abs_mom_252_top2,1d,0.623170772131462,0.9383978573167763,1.8750913075237399
4107,1.2316603514088995,0.050488618710904154,0.14661662648739393,0.34435807125357065,0.00023819892851668467,0.20905053927450296,-0.38994730378140396,0.5203311419527635,daily_asset_abs_mom_126_top2,1d,0.5876989055613543,0.9637204772339908,1.9172145118091064
4107,0.15121994398516359,0.008678099243061066,0.19684856184538413,0.04408515440350197,0.00011143182250685189,0.22230338446554662,-0.6761236140813136,0.5042610177745313,daily_asset_abs_mom_126_top1,1d,0.4523836016509208,0.9637204772339908,0.9637204772339908
4107,-0.22509966710637275,-0.01552594747924485,0.1990098459632435,-0.07801597656687019,1.655509716304258e-05,0.7944355866491049,-0.48253204561667074,0.4765035305575846,daily_large_cap_5d_reversal,1d,0.7242445567983898,0.9245191137083029,5.370099829559289
4107,-0.13295769316583317,-0.008715682746321063,0.06518633637218478,-0.13370413542737575,-2.6313161539390612e-05,0.04227791892862099,-0.3054480279073153,0.07645483321158997,daily_risk_off_tlt_gld,1d,0.08384735041031419,0.14706598490382275,0.2768444119795471
4107,-0.5125132912053102,-0.04312806810207026,0.28052751720105934,-0.1537391715877896,-2.207446265306659e-05,0.5916839264626491,-0.7801758934508166,0.18967616264913562,daily_large_cap_volume_thrust,1d,0.26966239825616284,0.40199659118578035,0.6257608960311662
4107,-0.8043548570496625,-0.09525645248270598,0.19628631163549415,-0.48529340476679933,-0.0003200567189938878,0.4754347399087265,-0.884234002244125,0.23472120769418067,daily_large_cap_rsi_reversal,1d,0.46908387612120933,0.46725103481860236,0.9138056975894814
4107,-0.7760789131035684,-0.08773145154203343,0.10665116698367819,-0.8226018900989596,-0.0003417760385249346,0.3121543955050929,-0.801544758236301,0.46700754808862915,daily_sector_market_neutral_rs,1d,-0.053114051857012914,0.9844168492817141,5.906501095690285
2895,-0.27312788815613387,-0.07992939001540511,0.06637139187161684,-1.2042747298416419,-0.00010726702896034496,0.12349567481457503,-0.3243031162920409,0.06873920552677029,hourly_large_cap_vwap_fade_2h,2h,0.055556341407202406,0.07478411053540587,0.25215889464594127
5062,-0.8184490945493573,-0.39928888515441485,0.23351000361008198,-1.7099433813600233,-0.0003195037630995409,0.5050000149150554,-0.8455313780503915,0.2613591465823785,hourly_large_cap_opening_range_1h,1h,0.3981177024338571,0.5879099170288423,1.5464243382062426
2895,-0.8560769812920013,-0.3972263997455404,0.14531629332019372,-2.73352967289278,-0.0006552333269407779,0.5481109837076182,-0.8620287133985691,0.3986183074265976,hourly_large_cap_rsi_fade_2h,2h,-0.02353294197442554,0.7050086355785837,3.7060449050086355
5062,-0.8061800257791358,-0.38743994598832177,0.10932455616237818,-3.543942546749175,-0.0003201408297525296,0.3447134098379228,-0.8115648258664006,0.1981430264717503,hourly_large_cap_vwap_fade_1h,1h,0.10934153313021557,0.26333465033583564,1.0114579217700514
5062,-0.9488699306117193,-0.5885788779299856,0.1524911184925903,-3.8597584157570806,-0.0005795135531314533,0.5676615582266277,-0.9499014408396698,0.380877123666535,hourly_large_cap_rsi_fade_1h,1h,0.013921806628678292,0.7092058474911103,3.7751876728565783
5062,-0.776316737081733,-0.36065096242970884,0.05778482893903092,-6.241274207287757,-0.00029468780967547496,0.3218730141838584,-0.7763919596291342,0.15250888976689056,hourly_sector_vwap_fade_1h,1h,0.11924001157584926,0.2456538917423943,0.9636507309363888
5062,-0.883261092860554,-0.47352120769828376,0.07539559130016925,-6.280489343376511,-0.0004223341191355377,0.41816183415689234,-0.883261092860554,0.33761359146582376,hourly_sector_market_neutral_mom_1h,1h,-0.1258234599014864,0.9946661398656658,5.963848281311734
