date,price_only_ungated,growth_positive,growth_and_profit,growth_profit_fcf,growth30_profit_fcf,growth_profit_low_debt,growth_profit_fcf_low_debt
2016-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,-0.007405502336420288,-0.007405502336420288,-0.007405502336420288,-0.007405502336420288,0.028690906483209155,-0.007405502336420288,-0.007405502336420288
2016-02-02,-0.03420623608803819,-0.03420623608803819,-0.03420623608803819,-0.03420623608803819,-0.032248873166284664,-0.03420623608803819,-0.03420623608803819
2016-02-03,0.0074278711450977974,0.0074278711450977974,0.0074278711450977974,0.0074278711450977974,-0.014109591688795553,0.0074278711450977974,0.0074278711450977974
2016-02-04,0.011208843982013383,0.011208843982013383,0.011208843982013383,0.011208843982013383,0.03623637631288101,0.011208843982013383,0.011208843982013383
2016-02-05,-0.03980231165944237,-0.03980231165944237,-0.03980231165944237,-0.03980231165944237,-0.05700822602011557,-0.03980231165944237,-0.03980231165944237
2016-02-08,-0.025065417225938857,-0.025065417225938857,-0.025065417225938857,-0.025065417225938857,-0.05063934304727402,-0.025065417225938857,-0.025065417225938857
2016-02-09,-0.001253638815175484,-0.001253638815175484,-0.001253638815175484,-0.001253638815175484,-0.017643235297919446,-0.001253638815175484,-0.001253638815175484
2016-02-10,-0.006965283392331489,-0.006965283392331489,-0.006965283392331489,-0.006965283392331489,-0.00426035804510172,-0.006965283392331489,-0.006965283392331489
2016-02-11,-0.012169775519917436,-0.012169775519917436,-0.012169775519917436,-0.012169775519917436,-0.024244763330597774,-0.012169775519917436,-0.012169775519917436
2016-02-12,0.02161719137205853,0.02161719137205853,0.02161719137205853,0.02161719137205853,0.045997996722398016,0.02161719137205853,0.02161719137205853
2016-02-16,0.045024251569839135,0.045024251569839135,0.045024251569839135,0.045024251569839135,0.03764539972278236,0.045024251569839135,0.045024251569839135
2016-02-17,0.018897366391271486,0.018897366391271486,0.018897366391271486,0.018897366391271486,0.035171405678773526,0.018897366391271486,0.018897366391271486
2016-02-18,-0.005667749391549182,-0.005667749391549182,-0.005667749391549182,-0.005667749391549182,-0.027624683064287003,-0.005667749391549182,-0.005667749391549182
2016-02-19,0.035812383871589804,0.035812383871589804,0.035812383871589804,0.035812383871589804,0.01259132681657249,0.035812383871589804,0.035812383871589804
2016-02-22,0.010607192383231046,0.010607192383231046,0.010607192383231046,0.010607192383231046,0.015310653711787303,0.010607192383231046,0.010607192383231046
2016-02-23,-0.010388484821324873,-0.010388484821324873,-0.010388484821324873,-0.010388484821324873,-0.0189836866418982,-0.010388484821324873,-0.010388484821324873
2016-02-24,0.01240538840661698,0.01240538840661698,0.01240538840661698,0.01240538840661698,0.017010343218088364,0.01240538840661698,0.01240538840661698
2016-02-25,0.016738271810428973,0.016738271810428973,0.016738271810428973,0.016738271810428973,0.016341792258586674,0.016738271810428973,0.016738271810428973
2016-02-26,0.007157581468898,0.007157581468898,0.007157581468898,0.007157581468898,0.004831164972963986,0.007157581468898,0.007157581468898
2016-02-29,-0.0076313433337339975,-0.0076313433337339975,-0.0076313433337339975,-0.0076313433337339975,0.006461079217649157,-0.0076313433337339975,-0.0076313433337339975
2016-03-01,0.032599658721126246,0.032599658721126246,0.032599658721126246,0.032599658721126246,0.03329075994478359,0.032599658721126246,0.032599658721126246
2016-03-02,0.0049068238629660366,0.0049068238629660366,0.0049068238629660366,0.0049068238629660366,-0.010546949857285437,0.0049068238629660366,0.0049068238629660366
2016-03-03,-0.0069173612179516675,-0.0069173612179516675,-0.0069173612179516675,-0.0069173612179516675,0.002628517521229279,-0.0069173612179516675,-0.0069173612179516675
2016-03-04,-0.005279270327407132,-0.005279270327407132,-0.005279270327407132,-0.005279270327407132,0.06356945935723313,-0.005279270327407132,-0.005279270327407132
2016-03-07,-0.002381143377265804,-0.002381143377265804,-0.002381143377265804,-0.002381143377265804,-0.017458659170730417,-0.002381143377265804,-0.002381143377265804
2016-03-08,-0.018041896875719526,-0.018041896875719526,-0.018041896875719526,-0.018041896875719526,-0.027036350338359494,-0.018041896875719526,-0.018041896875719526
2016-03-09,0.008792897009192308,0.008792897009192308,0.008792897009192308,0.008792897009192308,0.01668695470306414,0.008792897009192308,0.008792897009192308
2016-03-10,0.003618599366276898,0.003618599366276898,0.003618599366276898,0.003618599366276898,0.017328924436153414,0.003618599366276898,0.003618599366276898
2016-03-11,0.01649979376435312,0.01649979376435312,0.01649979376435312,0.01649979376435312,0.030466655044163238,0.01649979376435312,0.01649979376435312
2016-03-14,0.0030437304387895547,0.0030437304387895547,0.0030437304387895547,0.0030437304387895547,-0.004569707891173613,0.0030437304387895547,0.0030437304387895547
2016-03-15,0.0008159863528748867,0.0008159863528748867,0.0008159863528748867,0.0008159863528748867,0.0022278738581196222,0.0008159863528748867,0.0008159863528748867
2016-03-16,0.01294230819361919,0.01294230819361919,0.01294230819361919,0.01294230819361919,0.0043924591430823945,0.01294230819361919,0.01294230819361919
