date,base_return,prediction,balanced_scale,growth_scale,max_scale
2017-01-03,0.0210027519178507,0.04410327884714873,1.0,1.0,1.0
2017-01-04,0.0110748591311082,0.03509519624270002,1.0,1.0,1.0
2017-01-05,-0.006834579821611,0.028151255634053157,0.7633695471353064,0.5267390942706127,0.2901086414059191
2017-01-06,0.0161169366190185,0.03784529504349218,1.063062253200439,1.126124506400878,1.189186759601317
2017-01-09,-0.0043033015450008,0.0257400377397373,0.7696944740235394,0.5393889480470787,0.309083422070618
2017-01-10,-0.0069822460470299,0.0244691585594891,0.7839692751725985,0.567938550345197,0.3519078255177954
2017-01-11,0.0142537879260742,0.03115226471728342,0.954756681241477,0.9095133624829539,0.8642700437244308
2017-01-12,-0.0123216268192343,0.0188955161356069,0.7608857322663567,0.5217714645327135,0.2826571967990703
2017-01-13,0.0085444734018758,0.022382195791980856,0.8070907851142665,0.6141815702285329,0.4212723553427994
2017-01-17,-0.0172720511911465,0.013318051530910154,0.7583476955139123,0.5166953910278247,0.27504308654173704
2017-01-18,0.009202884482289,0.019714999416487553,0.8195097433927683,0.6390194867855366,0.4585292301783048
2017-01-19,0.0057407610874652,0.013075050090978039,0.7707912342409514,0.5415824684819028,0.31237370272285414
2017-01-20,0.0205117090678303,0.018218413340678627,0.8302921097814757,0.6605842195629515,0.4908763293444274
2017-01-23,-0.0024612174282059,0.011958484355218811,0.7767131757065673,0.5534263514131346,0.33013952711970185
2017-01-24,0.0385034725922266,0.010430180488991733,0.7762742535226561,0.5525485070453121,0.3288227605679681
2017-01-25,0.0256118831087383,0.0068999328239301196,0.7676126307903917,0.5352252615807832,0.30283789237117476
2017-01-26,0.0063158608529336,0.01571674926848184,0.8576259259476574,0.7152518518953148,0.5728777778429721
2017-01-27,0.0186180337238653,0.01305962617881452,0.8239612164643273,0.6479224329286547,0.4718836493929821
2017-01-30,-0.0288363294554166,0.003210514844828361,0.7636598773119694,0.5273197546239388,0.29097963193590815
2017-01-31,-0.0226717217085597,0.007718789616881511,0.792273991680356,0.5845479833607119,0.37682197504106796
2017-02-01,0.0265308350434312,0.019075654467821928,0.9777474426997421,0.9554948853994842,0.9332423280992264
2017-02-02,-0.0084037934207658,0.0068642213785946316,0.7896839034243238,0.5793678068486476,0.36905171027297157
2017-02-03,0.0239603765430074,0.0031695287650314336,0.7737676176732966,0.5475352353465931,0.3213028530198896
2017-02-06,0.0020664621814932,-0.013345220902542497,0.7515609325356638,0.5031218650713277,0.25468279760699164
2017-02-07,0.0077079286973363,-0.020363007060148302,0.7513030396621542,0.5026060793243083,0.2539091189864625
2017-02-08,-0.0010198557117139,-0.028129568346767424,0.7511725168079602,0.5023450336159203,0.25351755042388036
2017-02-09,0.0172960328744863,-0.00843870033208537,0.7810289651049864,0.5620579302099729,0.3430868953149593
2017-02-10,0.0058231171601461,-0.006556233277038973,0.7933706227028742,0.5867412454057483,0.38011186810862263
2017-02-13,0.0188787927812413,-0.012081856875129613,0.7759286763600715,0.5518573527201429,0.32778602908021426
2017-02-14,0.0105624736260621,-0.02822759291663451,0.7548776102410852,0.5097552204821705,0.2646328307232557
2017-02-15,0.0145101972775141,-0.014790255076572233,0.7807523081884103,0.5615046163768207,0.34225692456523116
2017-02-16,-0.0128950599251655,-0.02232956943315381,0.7660428322799022,0.5320856645598043,0.29812849683970644
2017-02-17,0.0002288592926899,-0.00734106962522366,0.8302431586880106,0.6604863173760213,0.49072947606403194
2017-02-21,0.0224137699494348,-0.004619592183585583,0.8546256209304967,0.7092512418609933,0.5638768627914899
2017-02-22,0.0008204701395509,-0.010585971109980784,0.8134476555540017,0.6268953111080033,0.440342966662005
2017-02-23,-0.0433568061326314,-0.012314203567113723,0.8066161233068831,0.6132322466137663,0.41984836992064944
2017-02-24,-0.0001520753910077,0.025802990675399113,1.19091154674592,1.3818230934918396,1.5727346402377593
2017-02-27,0.0143168504171765,0.03226856897859537,1.2165810595248991,1.4331621190497983,1.6497431785746972
2017-02-28,-0.0143395335784503,0.030162129305347785,1.205408767489559,1.4108175349791183,1.6162263024686774
2017-03-01,0.0538939455160023,0.03828663552051747,1.2284108176970436,1.4568216353940873,1.6852324530911311
2017-03-02,-0.0431761820901778,0.009235487687549174,1.0005607210360974,1.001121442072195,1.0016821631082924
2017-03-03,0.0126763113816356,0.03758789032748168,1.2247920360021256,1.4495840720042512,1.6743761080063768
2017-03-06,-0.0050350149510974,0.02217187290712471,1.1391009209217013,1.2782018418434027,1.4173027627651043
2017-03-07,-0.0048604725624803,0.02071349952149549,1.123739914667879,1.247479829335758,1.3712197440036373
2017-03-08,-0.0115073883566394,0.022446723577832076,1.1385703180418876,1.2771406360837751,1.4157109541256627
2017-03-09,-0.0040475467937757,0.03070077235013395,1.1950390867690432,1.3900781735380865,1.5851172603071295
2017-03-10,0.0103382000312349,0.036833127142754794,1.2180400634857964,1.4360801269715928,1.6541201904573892
2017-03-13,0.015483208853385,0.04291412686282179,1.231055819568319,1.462111639136638,1.6931674587049568
2017-03-14,0.0002798218544378,0.0405296182696812,1.2232507547550868,1.4465015095101736,1.6697522642652605
2017-03-15,0.0193002625061537,0.03612718323201492,1.2061351231103548,1.4122702462207093,1.618405369331064
2017-03-16,0.0045544572796707,0.03173422778166686,1.1818289721121642,1.3636579442243284,1.5454869163364928
2017-03-17,-0.0061792825051263,0.03421420149196722,1.1935812037212825,1.3871624074425652,1.580743611163848
2017-03-20,0.0086419600076234,0.03273673337534663,1.1834101748195818,1.3668203496391635,1.5502305244587453
