observations,total_return,annual_return,annual_std,sharpe,average_daily_return,average_daily_turnover,max_drawdown,hit_rate,regime,strategy,universe,grain
483,0.5602701135449579,0.2612462568350218,0.4084172390530671,0.6396553128872142,0.0012784170424814004,0.32919254658385094,-0.36031973574924236,0.10144927536231885,bear_high_vol,lower_caps_vwap_reclaim_20d,lower_caps,1d
580,0.06934589913391798,0.09132493536130504,0.40218540625327653,0.22707172846493862,0.00022297875198903192,0.3129310344827586,-0.17799585527498585,0.45517241379310347,bear_high_vol,hourly_lower_caps_bear_short_weak_2h_24bar,hourly_lower_caps,2h
248,0.02083656113720589,0.04280076695190793,0.4206731098866323,0.1017435294674346,0.00025724936198766194,0.37029569892473124,-0.21427187844843,0.49193548387096775,bear_high_vol,hourly_lower_caps_momentum_4h_24bar,hourly_lower_caps,4h
483,-0.3066636432879465,-0.17393495124090408,0.31061461259758344,-0.5599702788813912,-0.0005650096651459874,0.19784909132735218,-0.4415764107182527,0.4824016563146998,bear_high_vol,large_caps_relative_strength_126d,large_caps,1d
580,-0.13394925016434045,-0.1709304267611652,0.2869925968062926,-0.5955917632137938,-0.00019333528532464292,0.2527011494252874,-0.20511979996448493,0.43103448275862066,bear_high_vol,hourly_large_caps_bear_short_weak_2h_24bar,hourly_large_caps,2h
483,-0.4282616994229804,-0.25300047894668365,0.40125209513217747,-0.6305274963445165,-0.0008381453227943739,0.21048999309868874,-0.49470497007444403,0.4575569358178054,bear_high_vol,sector_bear_short_weak_63d,sector_etfs,1d
483,-0.6480805387016371,-0.42008851025242655,0.6339436536961751,-0.6626590672579852,-0.0012900405794994874,0.15219856058365375,-0.791078492164739,0.39337474120082816,bear_high_vol,lower_caps_relative_strength_126d,lower_caps,1d
483,-0.69218635922162,-0.4592210802237596,0.6862531048510649,-0.6691715884089482,-0.0014345602810169568,0.15530908015380065,-0.7658392489012672,0.35403726708074534,bear_high_vol,lower_caps_momentum_12_1,lower_caps,1d
248,-0.09583423980663852,-0.18513669611629258,0.2743781643231833,-0.6747501083877236,-0.0003312911742358674,0.3064516129032258,-0.15970297241138431,0.3790322580645161,bear_high_vol,hourly_sector_bear_short_weak_4h_24bar,hourly_sector,4h
483,-0.24169664970790317,-0.13441568494425915,0.1908567831898763,-0.7042751255559725,-0.0005003586227384483,0.18219461697722567,-0.3033719767581351,0.5072463768115942,bear_high_vol,sector_rotation_top3_63d,sector_etfs,1d
1104,-0.22720229496640498,-0.2974150452892329,0.3853176653665522,-0.7718697376781372,-0.00018440305857327918,0.296195652173913,-0.35974301035909984,0.42391304347826086,bear_high_vol,hourly_lower_caps_bear_short_weak_1h_24bar,hourly_lower_caps,1h
483,-0.5287683649177759,-0.3246737674412802,0.413519328421557,-0.7851477431069332,-0.0012148349349821723,0.19401229090670088,-0.5918526936371322,0.4451345755693582,bear_high_vol,large_caps_bear_short_weak_63d,large_caps,1d
483,-0.9791325497496679,-0.8671989774082404,1.0909175533147406,-0.794926229551689,-0.005207529290729558,0.18225870058168195,-0.9879645686931002,0.4451345755693582,bear_high_vol,lower_caps_bear_short_weak_63d,lower_caps,1d
248,-0.19689888258040233,-0.3595746234596209,0.424374127936042,-0.8473057139661748,-0.0007040170263741966,0.3279569892473118,-0.3125345136567722,0.4032258064516129,bear_high_vol,hourly_lower_caps_bear_short_weak_4h_24bar,hourly_lower_caps,4h
580,-0.16744230815064798,-0.21247526092854319,0.2246607073118911,-0.9457606693704959,-0.0002823644074863082,0.33218390804597697,-0.1973559013837659,0.4017241379310345,bear_high_vol,hourly_sector_bear_short_weak_2h_24bar,hourly_sector,2h
483,-0.4817712791860126,-0.2903328796100779,0.3060067616723707,-0.9487792950174279,-0.00117224844680849,0.21926944690919847,-0.5233574058716662,0.4451345755693582,bear_high_vol,large_caps_momentum_12_1,large_caps,1d
580,-0.31557533884490263,-0.3899639477741652,0.39823688931097334,-0.9792260793541203,-0.0005476612046185767,0.38563218390804593,-0.3936974016459457,0.4862068965517241,bear_high_vol,hourly_lower_caps_momentum_2h_24bar,hourly_lower_caps,2h
248,-0.2060447580514635,-0.37430936552115535,0.3657126600880911,-1.0235067209075932,-0.0007951770471014732,0.27029569892473115,-0.24463720087131535,0.3911290322580645,bear_high_vol,hourly_large_caps_bear_short_weak_4h_24bar,hourly_large_caps,4h
248,-0.09298653688026348,-0.17991254577788962,0.1618693624560721,-1.1114675627805357,-0.000367538047541949,0.3131720430107527,-0.17214745236677864,0.4596774193548387,bear_high_vol,hourly_sector_momentum_4h_24bar,hourly_sector,4h
483,-0.2921376586524357,-0.16495011280693395,0.1447293849222991,-1.139714045599591,-0.0006730586767714205,0.42201518288474804,-0.32635327689509663,0.18012422360248448,bear_high_vol,sector_breakout_55d,sector_etfs,1d
483,-0.534920778115082,-0.3292884374398408,0.2821675111030858,-1.1669962858322838,-0.0014250441128947713,0.29786059351276745,-0.5466161459260048,0.09730848861283643,bear_high_vol,lower_caps_breakout_55d_trend,lower_caps,1d
248,-0.18763059305173269,-0.3444649093016683,0.2855307532426192,-1.206402131433359,-0.0007563464999671768,0.9153225806451613,-0.30713561538619005,0.21774193548387097,bear_high_vol,hourly_large_caps_vwap_reclaim_4h_session,hourly_large_caps,4h
580,-0.2415607213386214,-0.30259831024799055,0.24690630049013798,-1.225559289687211,-0.00043655091955686757,0.3786206896551724,-0.32484968277709514,0.45,bear_high_vol,hourly_large_caps_momentum_2h_24bar,hourly_large_caps,2h
248,-0.27980342181192797,-0.48677978518350995,0.38057864594447083,-1.2790517554538114,-0.0011771457644913152,0.9475806451612904,-0.3826344290529373,0.22983870967741934,bear_high_vol,hourly_lower_caps_vwap_reclaim_4h_session,hourly_lower_caps,4h
483,-0.37330051264073094,-0.216357617679385,0.16850439949255994,-1.2839879453054752,-0.0009104187301897652,0.5424430641821946,-0.3964007599116486,0.13250517598343686,bear_high_vol,large_caps_vwap_reclaim_20d,large_caps,1d
1104,-0.31084626080526434,-0.39943035515256187,0.2818673919880208,-1.417086071344987,-0.0003108594848991903,0.2758756038647343,-0.31446092377872226,0.38858695652173914,bear_high_vol,hourly_large_caps_bear_short_weak_1h_24bar,hourly_large_caps,1h
1104,-0.5795088201538332,-0.6947114444971337,0.4415332951261667,-1.5734066992583702,-0.000719192376574309,0.3961352657004831,-0.6098660399222529,0.4365942028985507,bear_high_vol,hourly_lower_caps_momentum_1h_24bar,hourly_lower_caps,1h
580,-0.15488460720866548,-0.19695699814611933,0.124663340058659,-1.5799111274689361,-0.0002798313473430725,0.3235632183908046,-0.18351134363332167,0.4810344827586207,bear_high_vol,hourly_sector_momentum_2h_24bar,hourly_sector,2h
248,-0.27952494506630654,-0.4863764118769597,0.3058075011956933,-1.5904659302837578,-0.001226188436066173,0.3744623655913979,-0.3631631718533125,0.4475806451612903,bear_high_vol,hourly_large_caps_momentum_4h_24bar,hourly_large_caps,4h
1104,-0.40905448922499776,-0.5134591416416644,0.29735264287089636,-1.7267683807491716,-0.0004472372407846176,0.3506038647342995,-0.4275027250363923,0.43478260869565216,bear_high_vol,hourly_large_caps_momentum_1h_24bar,hourly_large_caps,1h
483,-0.28853391522608307,-0.162734758620673,0.09363726097870555,-1.7379273690810029,-0.0006869931655562038,0.10351966873706005,-0.2961596628219313,0.20910973084886128,bear_high_vol,sector_rotation_regime_defensive,sector_etfs,1d
580,-0.5581127712203039,-0.6551090321817625,0.3652217503982214,-1.7937295121866674,-0.001310976652473011,0.4390804597701149,-0.591749491131403,0.15862068965517243,bear_high_vol,hourly_lower_caps_breakout_2h_40bar,hourly_lower_caps,2h
1104,-0.2940885867673282,-0.3793403105300486,0.21089278820626214,-1.7987353373081567,-0.0003007457970540674,0.322463768115942,-0.3259985114785655,0.375,bear_high_vol,hourly_sector_bear_short_weak_1h_24bar,hourly_sector,1h
