observations,total_return,annual_return,annual_std,sharpe,average_daily_return,average_daily_turnover,max_drawdown,hit_rate,strategy,universe,grain,avg_gross_exposure,avg_active_positions
4107,39.42748407087463,0.25482604351618243,0.19640481743083302,1.2974531218203105,0.0009780231679110706,0.114913368967423,-0.3417284473677161,0.5485756026296567,large_caps_relative_strength_126d,large_caps,1d,0.9690771852934015,9.454346238130022
4107,18.005700743595135,0.19803800816115746,0.195443620085989,1.0132743554075954,0.0007934116331706826,0.10593102755264917,-0.36805192990529667,0.5247139030922815,large_caps_momentum_12_1,large_caps,1d,0.9332846359873387,9.035792549306063
2895,0.19409927419748962,0.04741389521718853,0.18517841428239395,0.2560443958920781,8.389020485987285e-05,0.2748186528497409,-0.3793568719324788,0.4915371329879102,hourly_large_caps_momentum_2h_24bar,hourly_large_caps,2h,0.9820379965457686,4.392400690846286
1701,0.26114498584471924,0.0711648216698395,0.3280628190645404,0.216924374035325,0.0002430166418769584,0.3030570252792475,-0.4927243924957968,0.49029982363315694,hourly_lower_caps_momentum_4h_24bar,hourly_lower_caps,4h,0.9664902998236331,3.5437977660199884
4107,0.46720786804782444,0.023801363726161373,0.1415062875933078,0.1682000434819336,0.0001331746958610378,0.2308254200146092,-0.4090584203732509,0.5169223277331385,sector_rotation_top3_63d,sector_etfs,1d,0.9785731677623569,2.8612125639152666
4107,1.633399532027195,0.0612124656642814,0.5424043204446812,0.11285394189724995,0.0008284182866207561,0.11575996846267117,-0.9536657843982964,0.4657901144387631,lower_caps_relative_strength_126d,lower_caps,1d,0.8897005113221329,4.418797175553932
4107,0.21741761308175556,0.012144356301384551,0.12299017902919539,0.0987424881990108,7.801374304599238e-05,0.21443064686307925,-0.44637335621207064,0.4601899196493791,sector_rotation_regime_defensive,sector_etfs,1d,0.8238373508643779,2.3559775992208425
1701,-0.0008779289168062698,-0.000260207480042407,0.19944734691052576,-0.0013046424736807298,3.929560994647897e-05,0.27811091514795216,-0.4083142484132446,0.49206349206349204,hourly_large_caps_momentum_4h_24bar,hourly_large_caps,4h,0.9829512051734274,4.415637860082304
4107,-0.9189977521319465,-0.14290917258447455,0.5052678869492013,-0.28283842348928534,-9.201868543853824e-05,0.1296311755771215,-0.98551411470354,0.4187971755539323,lower_caps_momentum_12_1,lower_caps,1d,0.8193328463598734,3.7611395178962748
4107,-0.8319369824451216,-0.10365332345350164,0.34934611019735906,-0.29670667692548197,-0.00018739619514503882,0.40735329924519115,-0.967795298848377,0.10129047966885804,lower_caps_vwap_reclaim_20d,lower_caps,1d,0.20379839298758218,0.2673484295105917
4107,-0.9547219763043607,-0.172958959434256,0.4617234481743308,-0.37459427308303533,-0.0003402160666159496,0.52515565758809,-0.9840422880039892,0.21986851716581446,lower_caps_breakout_55d_trend,lower_caps,1d,0.4572680788897005,0.9057706355003652
4107,-0.6912111081075683,-0.06956438485823302,0.16423316272285748,-0.423570877555482,-0.00023285894119973562,0.7365473581689798,-0.8420091579822131,0.17871925980034087,large_caps_vwap_reclaim_20d,large_caps,1d,0.3683954224494765,0.5880204528853178
5062,-0.2746276830131893,-0.09144735240933355,0.20512781245536796,-0.44580669639438003,-4.954910856125203e-05,0.29242723561174766,-0.4349894973639872,0.4776768075859344,hourly_large_caps_momentum_1h_24bar,hourly_large_caps,1h,0.9834057684709601,4.356380877123667
2895,-0.4817650237839024,-0.15772960212395803,0.3210385330434936,-0.49131049979782077,-0.00015872013923775454,0.32037996545768566,-0.7023703548131689,0.4905008635578584,hourly_lower_caps_momentum_2h_24bar,hourly_lower_caps,2h,0.9810017271157168,3.518480138169257
4107,-0.7948786531124986,-0.09262687698974692,0.1598601422928202,-0.5794244622907925,-0.00033447822216520456,0.05230365500635771,-0.8107449636659753,0.07645483321158997,large_caps_bear_short_weak_63d,large_caps,1d,0.16654492330168005,1.5889943998052105
4107,-0.77138695979531,-0.08656994202814927,0.1487071976410478,-0.582150315528865,-0.00031531604711657513,0.0563265968671374,-0.7832163601386597,0.07596785975164354,sector_bear_short_weak_63d,sector_etfs,1d,0.16459702946189433,0.4811297784270757
1701,-0.2233171683076598,-0.07214605970740418,0.11822061601362437,-0.6102663151331379,-0.00013468885078469806,0.3370566333529296,-0.3184624646278915,0.47442680776014107,hourly_sector_momentum_4h_24bar,hourly_sector,4h,0.9611992945326279,2.753086419753086
4107,-0.9928887126025233,-0.2617585420689834,0.401996896292644,-0.6511456791905914,-0.0008303824542076246,0.047500782635917775,-0.9957657998519844,0.0784027270513757,lower_caps_bear_short_weak_63d,lower_caps,1d,0.16362308254200147,0.9354760165570977
1701,-0.38847760216097127,-0.1355999650130979,0.19502368343426218,-0.6952999893410658,-0.0002510321693604076,0.10748579267097784,-0.45791025926931617,0.11581422692533803,hourly_lower_caps_bear_short_weak_4h_24bar,hourly_lower_caps,4h,0.2551440329218107,0.9911816578483245
4107,-0.8794753306300703,-0.12175425311609922,0.16877066989018455,-0.7214183198734834,-0.00045850541616509994,0.933729868865004,-0.8899680648827464,0.3596299001704407,large_caps_breakout_55d_trend,large_caps,1d,0.7589481373265157,2.7757487216946677
2895,-0.48588343715685256,-0.15948270348790594,0.20985210692718617,-0.7599766608168617,-0.00020046323562025183,0.11658031088082901,-0.5447447259778018,0.13678756476683937,hourly_lower_caps_bear_short_weak_2h_24bar,hourly_lower_caps,2h,0.2835924006908463,1.0998272884283247
2895,-0.4424247729749813,-0.1414813886752604,0.14744735856737662,-0.9595383060769443,-0.0001873258643298072,0.10097869890616004,-0.45583325052147716,0.13367875647668392,hourly_large_caps_bear_short_weak_2h_24bar,hourly_large_caps,2h,0.28013816925734025,1.3250431778929188
1701,-0.3359796557906046,-0.11424624301638342,0.11800596977227312,-0.968139520711154,-0.00022680043739651282,0.10582010582010581,-0.3421983622398589,0.10699588477366255,hourly_sector_bear_short_weak_4h_24bar,hourly_sector,4h,0.25220458553791886,0.7425044091710759
1701,-0.7424861111776072,-0.33100570075298774,0.3173443551666799,-1.0430489635750175,-0.0006992221277957511,1.0205761316872428,-0.7857977406343334,0.22339800117577896,hourly_lower_caps_vwap_reclaim_4h_session,hourly_lower_caps,4h,0.5102880658436214,1.6819517930629042
1701,-0.4742582163719733,-0.17345610167309367,0.1584813123816797,-1.0944893064448464,-0.000352591791846603,0.09800117577895355,-0.49102606419799755,0.10758377425044091,hourly_large_caps_bear_short_weak_4h_24bar,hourly_large_caps,4h,0.2516166960611405,1.1916519694297472
2895,-0.3842687897905076,-0.11894781747346683,0.10857150186630402,-1.0955712634420431,-0.00015969670523363847,0.3118019573978123,-0.4398847317475939,0.47772020725388603,hourly_sector_momentum_2h_24bar,hourly_sector,2h,0.9696027633851468,2.7727115716753024
5062,-0.8042398168267181,-0.38561474876568935,0.34872300748702334,-1.105790958688147,-0.0002817733325249796,0.32533254313183196,-0.8404897372914705,0.4644409324377716,hourly_lower_caps_momentum_1h_24bar,hourly_lower_caps,1h,0.9749111023310945,3.4946661398656658
4107,-0.8846033687746948,-0.12409414186330392,0.10460600269755818,-1.1863003906390608,-0.0005038279953852557,0.6926791656521386,-0.8927891906571422,0.28463598733869006,sector_breakout_55d,sector_etfs,1d,0.6065254443632822,1.3545166788410032
2895,-0.4292154408258355,-0.13621595134478082,0.1116217036408613,-1.2203357134115298,-0.00018539051647911456,0.1263097294185377,-0.44430037120172383,0.12400690846286701,hourly_sector_bear_short_weak_2h_24bar,hourly_sector,2h,0.2877374784110535,0.8331606217616581
5062,-0.6618295270914869,-0.2766397602436653,0.22563691678064704,-1.2260394450993173,-0.00019739278225381563,0.13357697879625974,-0.673197577629842,0.14895298301066773,hourly_lower_caps_bear_short_weak_1h_24bar,hourly_lower_caps,1h,0.31924140655867245,1.230738838403793
1701,-0.81019558628121,-0.38882605461743713,0.24507610521754059,-1.5865522845334008,-0.0009167046904841709,0.6439349402312367,-0.8238446242489434,0.23515579071134626,hourly_lower_caps_breakout_4h_40bar,hourly_lower_caps,4h,0.5332157554379776,0.9888300999412111
1701,-0.7169771020091956,-0.3120184961358292,0.18646302108884316,-1.6733532167065084,-0.0007069342722686606,0.7181853811483441,-0.7359725285812908,0.25984714873603765,hourly_large_caps_breakout_4h_40bar,hourly_large_caps,4h,0.5984714873603763,1.315108759553204
1701,-0.7097207991211802,-0.3068386381290753,0.1771044282251726,-1.732529452843252,-0.0006956446701773617,0.9900058788947678,-0.7563091586826096,0.2175191064079953,hourly_large_caps_vwap_reclaim_4h_session,hourly_large_caps,4h,0.4950029394473839,1.93885949441505
2895,-0.927815861377583,-0.49662272627485005,0.2706885574322209,-1.834664645546393,-0.000857422042479867,0.6121473805411629,-0.9376082117215165,0.2307426597582038,hourly_lower_caps_breakout_2h_40bar,hourly_lower_caps,2h,0.5129533678756477,0.9661485319516407
5062,-0.6958431633735014,-0.29918525784160965,0.15778534015948117,-1.8961537081911972,-0.00022684504072281673,0.12492427235611747,-0.7002083590298734,0.14085341762149348,hourly_large_caps_bear_short_weak_1h_24bar,hourly_large_caps,1h,0.31785855393125245,1.4980244962465428
5062,-0.968076961478065,-0.6425776844200413,0.32832109833826667,-1.9571623257607358,-0.000643345674602291,0.5845515606479652,-0.9717039584300424,0.21532990912682734,hourly_lower_caps_breakout_1h_40bar,hourly_lower_caps,1h,0.49624654286843145,0.9188067957329119
2895,-0.986587547177076,-0.6756471731470215,0.3157384431962955,-2.139895181300332,-0.001423708724534832,1.1958549222797927,-0.9866872074588884,0.24006908462867013,hourly_lower_caps_vwap_reclaim_2h_session,hourly_lower_caps,2h,0.5979274611398964,1.669775474956822
5062,-0.9931191662585689,-0.7739983170959536,0.3281641886041143,-2.3585703253857413,-0.0009484503971248405,1.212761754247333,-0.9936628776117039,0.23330699328328725,hourly_lower_caps_vwap_reclaim_1h_session,hourly_lower_caps,1h,0.6064796523113394,1.444883445278546
5062,-0.6551363912116186,-0.27239271123855946,0.11314758873127599,-2.407410659766586,-0.0002060631633635355,0.1450678256288687,-0.664983845081871,0.13295140260766494,hourly_sector_bear_short_weak_1h_24bar,hourly_sector,1h,0.3186487554326353,0.930462267878309
2895,-0.8850123776045707,-0.43154181503961353,0.1689190481885973,-2.5547255899630645,-0.0007277692046061408,0.6989752446747266,-0.8946178719166665,0.2317789291882556,hourly_large_caps_breakout_2h_40bar,hourly_large_caps,2h,0.5785837651122625,1.254231433506045
1701,-0.7161260517930618,-0.31140617726077957,0.11066131878933329,-2.8140472268689085,-0.0007278185769243109,0.9900058788947678,-0.7273484874000105,0.20634920634920634,hourly_sector_vwap_reclaim_4h_session,hourly_sector,4h,0.4950029394473839,1.3009994121105233
5062,-0.7660838023827056,-0.35205114254435643,0.12462020883526767,-2.8249923975791438,-0.0002818121819595039,0.3416304490978533,-0.7767663117549788,0.44093243777163177,hourly_sector_momentum_1h_24bar,hourly_sector,1h,0.9699723429474516,2.7759778743579613
1701,-0.6585460081172425,-0.272675767096453,0.0927625509414612,-2.9395026800042183,-0.0006229592339246811,0.7156574563981971,-0.6717245194537405,0.2551440329218107,hourly_sector_breakout_4h_40bar,hourly_sector,4h,0.6243386243386243,1.2962962962962963
2895,-0.967535057919042,-0.5914257695697471,0.18343924656292582,-3.2240961552732297,-0.001160930106974351,1.142314335060449,-0.9675915112150907,0.20587219343696028,hourly_large_caps_vwap_reclaim_2h_session,hourly_large_caps,2h,0.5713298791018998,1.8307426597582037
5062,-0.9554179183129325,-0.6050797787950535,0.16811266265625543,-3.599251652044062,-0.0006048746038525569,0.649848544712235,-0.9576900872834117,0.2190833662583959,hourly_large_caps_breakout_1h_40bar,hourly_large_caps,1h,0.5525483998419597,1.1841169498222046
5062,-0.9931961882512775,-0.7747569421469267,0.1917101341702055,-4.041293620185338,-0.0009731017678948482,1.134926906361122,-0.993211072169078,0.18648755432635322,hourly_large_caps_vwap_reclaim_1h_session,hourly_large_caps,1h,0.5675622283682339,1.52212564203872
2895,-0.86503019819186,-0.4072520256385581,0.0901433157880881,-4.5178283279033105,-0.000686157939838418,0.7060449050086356,-0.8657401864655654,0.22176165803108808,hourly_sector_breakout_2h_40bar,hourly_sector,2h,0.6006908462867012,1.2203799654576857
2895,-0.9691633128942144,-0.5968791144006917,0.10580323555294015,-5.641407006896635,-0.0011936118353806666,1.1381692573402418,-0.9692512219596198,0.17340241796200345,hourly_sector_vwap_reclaim_2h_session,hourly_sector,2h,0.5692573402417962,1.3678756476683938
5062,-0.9574823043671098,-0.6106330986795696,0.10092107347874671,-6.05060051019141,-0.0006202600559512503,0.6624522586592914,-0.9578755156037154,0.19636507309363888,hourly_sector_breakout_1h_40bar,hourly_sector,1h,0.5754642433820625,1.1665349664164362
5062,-0.9964049125481618,-0.8138342504908476,0.11342680846058142,-7.174972667715276,-0.0011069821490252195,1.1491505333860135,-0.9964049125481618,0.13097589885420782,hourly_sector_vwap_reclaim_1h_session,hourly_sector,1h,0.5746740418806796,1.2427894112998814
