observations,total_return,annual_return,annual_std,sharpe,average_daily_return,average_daily_turnover,max_drawdown,hit_rate,regime,strategy,universe,grain
72,0.2406390021466438,3.5239522273080226,0.3077409717280912,11.451033664836997,0.0030912387570620034,0.3055555555555556,-0.07571969494630149,0.4583333333333333,bear_normal_vol,hourly_lower_caps_bear_short_weak_4h_24bar,hourly_lower_caps,4h
72,0.12023741904534435,1.2139638559523456,0.19995280270610372,6.071252013089629,0.0016171120841971564,0.2652777777777778,-0.03725116995943978,0.5277777777777778,bear_normal_vol,hourly_large_caps_bear_short_weak_4h_24bar,hourly_large_caps,4h
143,0.09738425979249321,0.6344250745890956,0.13247498705648303,4.78901782657731,0.0006615600904019914,0.31002331002331,-0.02937265127538602,0.4965034965034965,bear_normal_vol,hourly_sector_bear_short_weak_2h_24bar,hourly_sector,2h
324,0.16038961909885519,1.0020944558686211,0.22496832119166088,4.454380290347149,0.0004758072151074201,0.24341563786008233,-0.045924640827389895,0.42592592592592593,bear_normal_vol,hourly_large_caps_bear_short_weak_1h_24bar,hourly_large_caps,1h
143,0.10493129342755636,0.694732535277059,0.19329001816428149,3.59424941792178,0.0007225201519746451,0.2678321678321678,-0.038595966458534914,0.46853146853146854,bear_normal_vol,hourly_large_caps_bear_short_weak_2h_24bar,hourly_large_caps,2h
72,0.05970920532871782,0.500745149723167,0.13963313314565948,3.5861484909946872,0.0008247913610247655,0.33333333333333326,-0.02470344278731673,0.5277777777777778,bear_normal_vol,hourly_sector_bear_short_weak_4h_24bar,hourly_sector,4h
324,0.13106523066342457,0.7766793053343819,0.28506861531021427,2.7245345984130607,0.000406853006808284,0.30195473251028804,-0.08702776295125869,0.404320987654321,bear_normal_vol,hourly_lower_caps_bear_short_weak_1h_24bar,hourly_lower_caps,1h
143,0.10425486195219591,0.6892547423773998,0.2922700511875152,2.3582804313233803,0.0007497450181913148,0.2937062937062937,-0.09021217975675333,0.46153846153846156,bear_normal_vol,hourly_lower_caps_bear_short_weak_2h_24bar,hourly_lower_caps,2h
197,0.3469602801387097,0.4637572881333616,0.2668745113518822,1.7377354089910946,0.001653150062853653,0.31985738457819674,-0.09768738474523475,0.49238578680203043,bear_normal_vol,large_caps_bear_short_weak_63d,large_caps,1d
324,0.025697518876339087,0.125701962498183,0.14545056424753736,0.8642246466933955,8.52760830330186e-05,0.3158436213991769,-0.07221812039618725,0.4228395061728395,bear_normal_vol,hourly_sector_bear_short_weak_1h_24bar,hourly_sector,1h
483,0.5602701135449579,0.2612462568350218,0.4084172390530671,0.6396553128872142,0.0012784170424814004,0.32919254658385094,-0.36031973574924236,0.10144927536231885,bear_high_vol,lower_caps_vwap_reclaim_20d,lower_caps,1d
580,0.06934589913391798,0.09132493536130504,0.40218540625327653,0.22707172846493862,0.00022297875198903192,0.3129310344827586,-0.17799585527498585,0.45517241379310347,bear_high_vol,hourly_lower_caps_bear_short_weak_2h_24bar,hourly_lower_caps,2h
248,0.02083656113720589,0.04280076695190793,0.4206731098866323,0.1017435294674346,0.00025724936198766194,0.37029569892473124,-0.21427187844843,0.49193548387096775,bear_high_vol,hourly_lower_caps_momentum_4h_24bar,hourly_lower_caps,4h
197,-0.097834744620654,-0.12339787231286203,0.596281402500298,-0.20694570012654445,0.00021646566080431778,0.2511844331641286,-0.43973383619591533,0.45685279187817257,bear_normal_vol,lower_caps_bear_short_weak_63d,lower_caps,1d
197,-0.04627797324692029,-0.05881145263376353,0.1982183830467897,-0.29670029454271657,-0.00016285179901596552,0.3401015228426396,-0.1348009747857155,0.4416243654822335,bear_normal_vol,sector_bear_short_weak_63d,sector_etfs,1d
483,-0.3066636432879465,-0.17393495124090408,0.31061461259758344,-0.5599702788813912,-0.0005650096651459874,0.19784909132735218,-0.4415764107182527,0.4824016563146998,bear_high_vol,large_caps_relative_strength_126d,large_caps,1d
580,-0.13394925016434045,-0.1709304267611652,0.2869925968062926,-0.5955917632137938,-0.00019333528532464292,0.2527011494252874,-0.20511979996448493,0.43103448275862066,bear_high_vol,hourly_large_caps_bear_short_weak_2h_24bar,hourly_large_caps,2h
483,-0.4282616994229804,-0.25300047894668365,0.40125209513217747,-0.6305274963445165,-0.0008381453227943739,0.21048999309868874,-0.49470497007444403,0.4575569358178054,bear_high_vol,sector_bear_short_weak_63d,sector_etfs,1d
483,-0.6480805387016371,-0.42008851025242655,0.6339436536961751,-0.6626590672579852,-0.0012900405794994874,0.15219856058365375,-0.791078492164739,0.39337474120082816,bear_high_vol,lower_caps_relative_strength_126d,lower_caps,1d
483,-0.69218635922162,-0.4592210802237596,0.6862531048510649,-0.6691715884089482,-0.0014345602810169568,0.15530908015380065,-0.7658392489012672,0.35403726708074534,bear_high_vol,lower_caps_momentum_12_1,lower_caps,1d
248,-0.09583423980663852,-0.18513669611629258,0.2743781643231833,-0.6747501083877236,-0.0003312911742358674,0.3064516129032258,-0.15970297241138431,0.3790322580645161,bear_high_vol,hourly_sector_bear_short_weak_4h_24bar,hourly_sector,4h
483,-0.24169664970790317,-0.13441568494425915,0.1908567831898763,-0.7042751255559725,-0.0005003586227384483,0.18219461697722567,-0.3033719767581351,0.5072463768115942,bear_high_vol,sector_rotation_top3_63d,sector_etfs,1d
1104,-0.22720229496640498,-0.2974150452892329,0.3853176653665522,-0.7718697376781372,-0.00018440305857327918,0.296195652173913,-0.35974301035909984,0.42391304347826086,bear_high_vol,hourly_lower_caps_bear_short_weak_1h_24bar,hourly_lower_caps,1h
483,-0.5287683649177759,-0.3246737674412802,0.413519328421557,-0.7851477431069332,-0.0012148349349821723,0.19401229090670088,-0.5918526936371322,0.4451345755693582,bear_high_vol,large_caps_bear_short_weak_63d,large_caps,1d
483,-0.9791325497496679,-0.8671989774082404,1.0909175533147406,-0.794926229551689,-0.005207529290729558,0.18225870058168195,-0.9879645686931002,0.4451345755693582,bear_high_vol,lower_caps_bear_short_weak_63d,lower_caps,1d
248,-0.19689888258040233,-0.3595746234596209,0.424374127936042,-0.8473057139661748,-0.0007040170263741966,0.3279569892473118,-0.3125345136567722,0.4032258064516129,bear_high_vol,hourly_lower_caps_bear_short_weak_4h_24bar,hourly_lower_caps,4h
580,-0.16744230815064798,-0.21247526092854319,0.2246607073118911,-0.9457606693704959,-0.0002823644074863082,0.33218390804597697,-0.1973559013837659,0.4017241379310345,bear_high_vol,hourly_sector_bear_short_weak_2h_24bar,hourly_sector,2h
483,-0.4817712791860126,-0.2903328796100779,0.3060067616723707,-0.9487792950174279,-0.00117224844680849,0.21926944690919847,-0.5233574058716662,0.4451345755693582,bear_high_vol,large_caps_momentum_12_1,large_caps,1d
580,-0.31557533884490263,-0.3899639477741652,0.39823688931097334,-0.9792260793541203,-0.0005476612046185767,0.38563218390804593,-0.3936974016459457,0.4862068965517241,bear_high_vol,hourly_lower_caps_momentum_2h_24bar,hourly_lower_caps,2h
248,-0.2060447580514635,-0.37430936552115535,0.3657126600880911,-1.0235067209075932,-0.0007951770471014732,0.27029569892473115,-0.24463720087131535,0.3911290322580645,bear_high_vol,hourly_large_caps_bear_short_weak_4h_24bar,hourly_large_caps,4h
248,-0.09298653688026348,-0.17991254577788962,0.1618693624560721,-1.1114675627805357,-0.000367538047541949,0.3131720430107527,-0.17214745236677864,0.4596774193548387,bear_high_vol,hourly_sector_momentum_4h_24bar,hourly_sector,4h
483,-0.2921376586524357,-0.16495011280693395,0.1447293849222991,-1.139714045599591,-0.0006730586767714205,0.42201518288474804,-0.32635327689509663,0.18012422360248448,bear_high_vol,sector_breakout_55d,sector_etfs,1d
483,-0.534920778115082,-0.3292884374398408,0.2821675111030858,-1.1669962858322838,-0.0014250441128947713,0.29786059351276745,-0.5466161459260048,0.09730848861283643,bear_high_vol,lower_caps_breakout_55d_trend,lower_caps,1d
248,-0.18763059305173269,-0.3444649093016683,0.2855307532426192,-1.206402131433359,-0.0007563464999671768,0.9153225806451613,-0.30713561538619005,0.21774193548387097,bear_high_vol,hourly_large_caps_vwap_reclaim_4h_session,hourly_large_caps,4h
580,-0.2415607213386214,-0.30259831024799055,0.24690630049013798,-1.225559289687211,-0.00043655091955686757,0.3786206896551724,-0.32484968277709514,0.45,bear_high_vol,hourly_large_caps_momentum_2h_24bar,hourly_large_caps,2h
248,-0.27980342181192797,-0.48677978518350995,0.38057864594447083,-1.2790517554538114,-0.0011771457644913152,0.9475806451612904,-0.3826344290529373,0.22983870967741934,bear_high_vol,hourly_lower_caps_vwap_reclaim_4h_session,hourly_lower_caps,4h
483,-0.37330051264073094,-0.216357617679385,0.16850439949255994,-1.2839879453054752,-0.0009104187301897652,0.5424430641821946,-0.3964007599116486,0.13250517598343686,bear_high_vol,large_caps_vwap_reclaim_20d,large_caps,1d
197,-0.3877326732961769,-0.46610281561867617,0.3313973617928168,-1.4064771460373742,-0.0022543160948824102,0.43147208121827413,-0.3877326732961769,0.07614213197969544,bear_normal_vol,lower_caps_vwap_reclaim_20d,lower_caps,1d
1104,-0.31084626080526434,-0.39943035515256187,0.2818673919880208,-1.417086071344987,-0.0003108594848991903,0.2758756038647343,-0.31446092377872226,0.38858695652173914,bear_high_vol,hourly_large_caps_bear_short_weak_1h_24bar,hourly_large_caps,1h
197,-0.1474023923447897,-0.18452864754230902,0.12760169088773857,-1.4461301120582615,-0.0007768209153585532,0.3934010152284264,-0.20531647775390616,0.17766497461928935,bear_normal_vol,sector_breakout_55d,sector_etfs,1d
197,-0.4796682200991236,-0.5664199586313814,0.38527664087800817,-1.4701642885500796,-0.0030165849881916337,0.12657722987672226,-0.5097076734635376,0.26903553299492383,bear_normal_vol,lower_caps_momentum_12_1,lower_caps,1d
197,-0.5344955562361191,-0.6239789044416242,0.3988541664872055,-1.5644286981809434,-0.003552482321673564,0.15138989605994685,-0.5767507577154573,0.2893401015228426,bear_normal_vol,lower_caps_relative_strength_126d,lower_caps,1d
197,-0.29182901580270504,-0.35687036849290865,0.22777026606093412,-1.5667996295769224,-0.0016476368980771635,0.1712593666908388,-0.36338840456165433,0.4873096446700508,bear_normal_vol,large_caps_relative_strength_126d,large_caps,1d
1104,-0.5795088201538332,-0.6947114444971337,0.4415332951261667,-1.5734066992583702,-0.000719192376574309,0.3961352657004831,-0.6098660399222529,0.4365942028985507,bear_high_vol,hourly_lower_caps_momentum_1h_24bar,hourly_lower_caps,1h
580,-0.15488460720866548,-0.19695699814611933,0.124663340058659,-1.5799111274689361,-0.0002798313473430725,0.3235632183908046,-0.18351134363332167,0.4810344827586207,bear_high_vol,hourly_sector_momentum_2h_24bar,hourly_sector,2h
248,-0.27952494506630654,-0.4863764118769597,0.3058075011956933,-1.5904659302837578,-0.001226188436066173,0.3744623655913979,-0.3631631718533125,0.4475806451612903,bear_high_vol,hourly_large_caps_momentum_4h_24bar,hourly_large_caps,4h
197,-0.5540182009033325,-0.6440321696359785,0.3744913756231637,-1.71975167269017,-0.003783497966786455,0.31868503746676335,-0.5540182009033325,0.08629441624365482,bear_normal_vol,lower_caps_breakout_55d_trend,lower_caps,1d
