state,p_to_0,p_to_1,p_to_2,p_to_3,p_to_4
0,0.9812583668005355,0.0006693440428380187,0.006693440428380187,0.0013386880856760374,0.010040160642570281
1,0.007462686567164179,0.9626865671641791,0.007462686567164179,0.014925373134328358,0.007462686567164179
2,0.011009174311926606,0.001834862385321101,0.9743119266055046,0.005504587155963303,0.007339449541284404
3,0.010638297872340425,0.005319148936170213,0.0026595744680851063,0.976063829787234,0.005319148936170213
4,0.0192102454642476,0.0010672358591248667,0.0021344717182497333,0.0021344717182497333,0.9754535752401281
