observations,total_return,annual_return,annual_std,sharpe,average_daily_return,average_daily_turnover,max_drawdown,hit_rate,portfolio
2589,12.950061018762522,0.29243043387874046,0.22661714080810738,1.2904162184552572,0.0011204653602168834,0.010174385120178627,-0.3627532334407897,0.5589030513711858,bucket_static_equal
2589,12.518746325945013,0.28848556867650643,0.22613932261227143,1.2756983851549388,0.0011079032983514487,0.012773615317826571,-0.3645245665930892,0.5592893008883739,laggard_blend_95_05
2589,12.272527385596295,0.28618237783585143,0.22565051592308388,1.2682549236155998,0.001100358306449968,0.013832888097825465,-0.3634106661917331,0.5608342989571263,moderate_recovery_blend_95_05
2589,12.091839824324426,0.28446751628702915,0.22582862443116347,1.2596610239449066,0.0010952279926910858,0.015486089310401508,-0.3662961756861378,0.5592893008883739,laggard_blend_90_10
2589,11.616637986429746,0.2798533673545549,0.22491834108276423,1.2442443155472855,0.00108011873687904,0.017623906879484442,-0.36406898796429255,0.5600617999227501,moderate_recovery_blend_90_10
2589,11.262791412743534,0.2763145230787374,0.2257105065219173,1.2241987638794576,0.0010698473508966653,0.020941067769247437,-0.3701665074908541,0.5585168018539977,laggard_blend_80_20
2589,10.733222788659296,0.27084213188849215,0.22498940460851863,1.2037994960685248,0.0010521450134607132,0.025522094594190727,-0.37306528866021704,0.5565855542680571,laggard_soft_blend_70_30
2589,11.025083820021893,0.2738850621019082,0.22837434795488729,1.1992812001635624,0.0010646435695768877,0.025988808125787466,-0.3703010235994397,0.5600617999227501,laggard_aggressive_blend_70_30
2589,10.380440719216944,0.2670714799079732,0.22416598544718988,1.1914005569363744,0.0010395960596903044,0.02524948248968262,-0.3656473734433704,0.5569718037852452,moderate_recovery_blend_80_20
2589,10.467701702675107,0.26801387360787765,0.22626364976127156,1.1845202439307256,0.001044442984330865,0.02641977099947247,-0.37575182932870443,0.5596755504055619,laggard_blend_70_30
2589,10.147017614550553,0.26451813879213737,0.22700417032730968,1.1652567369609887,0.0010339957745162378,0.023547241989129768,-0.36225477868334066,0.5596755504055619,laggard_no_trend_blend_70_30
2589,8.981316312296615,0.2509957226409907,0.22935835493462348,1.0943386941911697,0.0009936012626514013,0.037410166007787155,-0.38681831430041613,0.5577443028196215,laggard_blend_50_50
2589,4.2856036714309464,0.1759323133430042,0.24369809549509058,0.7219273215311132,0.0007614442409470457,0.06264776974700208,-0.4138992070668269,0.5310930861336424,laggard_overlay_only
