observations,total_return,annual_return,annual_std,sharpe,average_daily_return,average_daily_turnover,max_drawdown,hit_rate,year,portfolio
234,0.42836338234205407,0.468078836101534,0.1545749394014362,3.028167683028604,0.001572112493843324,0.0,-0.07793826375428992,0.5897435897435898,2016,bucket_static_equal
234,0.07731941662491848,0.08350900412760032,0.13664196045562163,0.6111519759314508,0.0003553916593056817,0.0,-0.11496974517141845,0.46153846153846156,2016,laggard_overlay_only
234,0.4221739416101944,0.46122909308536064,0.15322662461877848,3.010110639928796,0.0015526994124770727,0.0,-0.07613644827208887,0.594017094017094,2016,laggard_blend_95_05
234,0.41595412879696214,0.4543480475086872,0.1520629242154368,2.9878949773778167,0.0015332325328314264,0.0,-0.07433557513474098,0.5982905982905983,2016,laggard_blend_90_10
234,0.4034751120106288,0.44054939802736537,0.15030203471358702,2.93109403919161,0.001494285308155135,0.0,-0.0769201223693241,0.594017094017094,2016,laggard_blend_80_20
234,0.3909505100104971,0.4267098292874345,0.1493172295155195,2.8577400657107943,0.0014553331149277987,0.0,-0.0813917616933375,0.594017094017094,2016,laggard_blend_70_30
234,0.3657815707494103,0.3989274447083384,0.14972470740756902,2.664406240063031,0.0013774287284731266,0.0,-0.09032037938442106,0.5854700854700855,2016,laggard_blend_50_50
234,0.4255609190731333,0.4649771168284924,0.15343207317247826,3.0305079454006703,0.0015629955623261411,0.0,-0.07493259557717635,0.594017094017094,2016,moderate_recovery_blend_95_05
234,0.4226991359154604,0.46181022731004284,0.15256730417023173,3.026927884855091,0.0015538579262374902,0.0,-0.07192320994328316,0.5897435897435898,2016,moderate_recovery_blend_90_10
234,0.41682011754953807,0.4553059610589063,0.15168798660221489,3.001595388386928,0.0015355826540601892,0.0,-0.07579912085610419,0.5854700854700855,2016,moderate_recovery_blend_80_20
234,0.42037605160566605,0.4592398297884843,0.1489222925844822,3.083754767795842,0.001544687567723183,0.0,-0.07850417340062743,0.5897435897435898,2016,laggard_aggressive_blend_70_30
234,0.39421579123776374,0.4303170144184283,0.14788884146321477,2.909732811217292,0.0014645126232826885,0.0,-0.07706141208652773,0.5897435897435898,2016,laggard_soft_blend_70_30
234,0.3969734627138035,0.43336394482811924,0.15238704955674115,2.843837098288045,0.0014756492492927784,0.0,-0.08347728811478661,0.5897435897435898,2016,laggard_no_trend_blend_70_30
