feature_set,forward_window,regression_bucket,observations,test_periods,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
quarterly_plus_annual,fwd_1m_return,all,361,3,-0.5867069222560914,0.0027439418149138627,0.030525244486616362,0.0029639546263468823,0.014253767365653314,0.5342465753424658,-0.009937568001923622,0.012901522628270504
quarterly_raw,fwd_1m_return,all,361,3,-0.3004903195177646,0.0022368368163751804,0.0007761844273376082,-0.002585367699153553,0.009185696660529263,0.5205479452054794,0.013121602927376476,-0.01570697062653003
quarterly_raw_delta,fwd_1m_return,all,361,3,-0.4622680470534115,0.021223346494205694,0.01570861582569392,0.010054783140669599,0.01828743207622674,0.5753424657534246,0.007616153746194257,0.0024386293944753416
quarterly_plus_annual,fwd_1m_return,large_cap,283,3,-0.10132340871867429,0.07249141244807282,0.04073875627269367,0.020295372854447487,0.011377894235221397,0.5263157894736842,-0.005405301367689115,0.0257006742221366
quarterly_raw,fwd_1m_return,large_cap,283,3,-0.07555450796015584,0.042024032677773854,0.032731310046581266,0.0036550491009885275,0.008277871860333796,0.5087719298245614,-0.006867253919214545,0.010522303020203072
quarterly_raw_delta,fwd_1m_return,large_cap,283,3,-0.0830616976003058,0.04106289186703786,0.01526201037515976,-0.006770859525496268,-0.01782546328810375,0.47368421052631576,-0.007112599952816714,0.0003417404273204465
quarterly_plus_annual,fwd_3m_return,all,7,1,-0.14840613824118232,0.7757816932294651,0.7500000000000002,0.20585672400758614,0.20585672400758614,1.0,-0.15857947893317514,0.3644362029407613
quarterly_raw,fwd_3m_return,all,7,1,-0.12797424286640124,0.6860030287841016,0.7500000000000002,0.1482724268522757,0.1482724268522757,0.5,-0.24163641077834125,0.38990883763061696
quarterly_raw_delta,fwd_3m_return,all,7,1,0.040163054944000964,0.8833138695259746,0.7500000000000002,0.1482724268522757,0.1482724268522757,0.5,-0.25340591894507114,0.40167834579734685
quarterly_plus_annual,fwd_3m_return,large_cap,7,1,0.12203956586488518,0.8905269742892317,0.7500000000000002,0.18849326427085578,0.18849326427085578,1.0,-0.1988003163517552,0.387293580622611
quarterly_raw,fwd_3m_return,large_cap,7,1,-0.2116193254260772,0.702991764387597,0.642857142857143,0.1482724268522757,0.1482724268522757,0.5,-0.24163641077834125,0.38990883763061696
quarterly_raw_delta,fwd_3m_return,large_cap,7,1,0.09727467245671495,0.8854246171550662,0.642857142857143,0.18849326427085578,0.18849326427085578,1.0,-0.1988003163517552,0.387293580622611
