observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean,training_mode,feature_set,test_year
201,1,-0.12265428008155776,0.07283884690145066,0.044576638309681754,0.38758807427746667,0.2802338175759875,0.8780487804878049,0.2647419647131632,0.12284610956430347,expanding,financial_only,2016
201,1,-0.0736087166874142,0.1655410000590232,0.07492537313432836,0.39501984342636864,0.2515947786770753,0.8292682926829268,0.26976574935752345,0.1252540940688452,expanding,financial_plus_price,2016
201,1,0.012645628602138026,0.29002479743539317,0.1939012856509532,0.4774759179150841,0.3030612296202803,0.9024390243902439,0.1998860712234664,0.2775898466916177,expanding,price_only,2016
201,1,-0.12265428008155776,0.07283884690145066,0.044576638309681754,0.38758807427746667,0.2802338175759875,0.8780487804878049,0.2647419647131632,0.12284610956430347,rolling_3y,financial_only,2016
201,1,-0.0736087166874142,0.1655410000590232,0.07492537313432836,0.39501984342636864,0.2515947786770753,0.8292682926829268,0.26976574935752345,0.1252540940688452,rolling_3y,financial_plus_price,2016
201,1,0.012645628602138026,0.29002479743539317,0.1939012856509532,0.4774759179150841,0.3030612296202803,0.9024390243902439,0.1998860712234664,0.2775898466916177,rolling_3y,price_only,2016
201,1,-0.12265428008155776,0.07283884690145066,0.044576638309681754,0.38758807427746667,0.2802338175759875,0.8780487804878049,0.2647419647131632,0.12284610956430347,rolling_5y,financial_only,2016
201,1,-0.0736087166874142,0.1655410000590232,0.07492537313432836,0.39501984342636864,0.2515947786770753,0.8292682926829268,0.26976574935752345,0.1252540940688452,rolling_5y,financial_plus_price,2016
201,1,0.012645628602138026,0.29002479743539317,0.1939012856509532,0.4774759179150841,0.3030612296202803,0.9024390243902439,0.1998860712234664,0.2775898466916177,rolling_5y,price_only,2016
204,1,-0.04806511729730856,0.17953594330395709,0.14860031684006159,0.24912095275668286,0.2266569085042646,0.7317073170731707,0.12864397080913983,0.12047698194754303,expanding,financial_only,2017
204,1,0.024209033953234926,0.24471603554552238,0.22391812906828,0.2696690087653653,0.2301725935050453,0.8292682926829268,0.10230446165458001,0.1673645471107853,expanding,financial_plus_price,2017
204,1,-0.027177250888173576,0.1443053207243338,0.14625382533164655,0.23122560021522082,0.21522286791087,0.7560975609756098,0.11067870485430222,0.1205468953609186,expanding,price_only,2017
204,1,-0.04806511729730856,0.17953594330395709,0.14860031684006159,0.24912095275668286,0.2266569085042646,0.7317073170731707,0.12864397080913983,0.12047698194754303,rolling_3y,financial_only,2017
204,1,0.024209033953234926,0.24471603554552238,0.22391812906828,0.2696690087653653,0.2301725935050453,0.8292682926829268,0.10230446165458001,0.1673645471107853,rolling_3y,financial_plus_price,2017
204,1,-0.027177250888173576,0.1443053207243338,0.14625382533164655,0.23122560021522082,0.21522286791087,0.7560975609756098,0.11067870485430222,0.1205468953609186,rolling_3y,price_only,2017
