training_mode,feature_set,feature,mean_coef,median_coef,sign_consistency,folds
rolling_3y,financial_plus_price,drawdown_12m,-0.054571613317608916,-0.047325438474332876,0.7,10
rolling_3y,financial_plus_price,fcf_margin,0.0031963518833502623,0.010633505634211886,0.7,10
rolling_3y,financial_plus_price,gross_margin,0.007751603440614816,0.008323153720405948,0.7,10
rolling_3y,financial_plus_price,trailing_12m_return,-0.0215992770411964,-0.013026164598545335,0.7,10
rolling_3y,financial_plus_price,debt_to_equity,-0.002835426558873251,-0.008198659419887056,0.6,10
rolling_3y,financial_plus_price,realized_vol_3m,0.06916834189846817,0.06805655369950443,0.6,10
rolling_3y,financial_plus_price,current_ratio,0.003119458453296365,-0.0007444143541657541,0.5,10
rolling_3y,financial_plus_price,growth_x_fcf_margin,-0.008634951677665597,-0.005390002364809201,0.5,10
rolling_3y,financial_plus_price,growth_x_trailing_6m,0.0019205308271734545,-0.005921153043070741,0.5,10
rolling_3y,financial_plus_price,net_margin,-0.002765672260474292,0.0021278481618769163,0.5,10
rolling_3y,financial_plus_price,operating_margin,-0.007822595655305017,-0.005480610722223472,0.5,10
rolling_3y,financial_plus_price,relative_6m_vs_spy,-0.005632514609980088,-0.008988380553347972,0.5,10
rolling_3y,financial_plus_price,trailing_3m_return,-0.03474175724794322,-0.014508267473845048,0.5,10
rolling_3y,financial_plus_price,ebitda_margin,-0.016129344226281244,0.0067462928923729916,0.4,10
rolling_3y,financial_plus_price,revenue_growth_yoy,0.00434128119484959,-0.006607884858570101,0.4,10
rolling_3y,financial_plus_price,cfo_margin,0.0009054794095710881,-0.017164081746195527,0.3,10
rolling_5y,financial_plus_price,debt_to_assets,0.021995077940186923,0.024225245667023637,1.0,10
rolling_5y,financial_plus_price,revenue_growth_accel,-0.03851816505006256,-0.023674742920575614,1.0,6
rolling_5y,financial_plus_price,trailing_6m_return,0.14942627075242954,0.12645975904465254,1.0,10
rolling_5y,financial_plus_price,trailing_12m_return,-0.04017144700478307,-0.04285976480100534,0.9,10
rolling_5y,financial_plus_price,cash_to_assets,0.029887125712076433,0.04401485362674381,0.8,10
rolling_5y,financial_plus_price,debt_to_equity,-0.007817950466789288,-0.0049526405770600945,0.8,10
rolling_5y,financial_plus_price,drawdown_12m,-0.03914586104194199,-0.025640088644536728,0.8,10
rolling_5y,financial_plus_price,realized_vol_3m,0.11655518952102435,0.09163947695707242,0.8,10
rolling_5y,financial_plus_price,asset_turnover,0.007234465825643693,0.00818155327475259,0.7,10
rolling_5y,financial_plus_price,capex_to_revenue,-0.011438869278055435,-0.018318549410836688,0.7,10
rolling_5y,financial_plus_price,current_ratio,-0.005089665029569755,-0.016231138330179737,0.7,10
rolling_5y,financial_plus_price,fcf_margin,0.00430150809618531,0.010076516438310687,0.7,10
rolling_5y,financial_plus_price,gross_margin,0.008042404032098221,0.0033666245862923943,0.7,10
rolling_5y,financial_plus_price,operating_margin,-0.01418333124185645,-0.02683321261734986,0.7,10
rolling_5y,financial_plus_price,relative_6m_vs_spy,-0.04291352163905189,-0.03435732477582784,0.7,10
rolling_5y,financial_plus_price,revenue_growth_yoy,-0.014806749605593712,-0.009938201320042327,0.7,10
rolling_5y,financial_plus_price,trailing_3m_return,-0.05529999443566068,-0.02102673462335335,0.7,10
rolling_5y,financial_plus_price,growth_x_fcf_margin,-0.010228103031703408,-0.0021670086940349534,0.5,10
rolling_5y,financial_plus_price,growth_x_trailing_6m,0.0096676442927302,-0.0008961980219220648,0.5,10
rolling_5y,financial_plus_price,net_margin,-0.0019149240799414154,-0.0018091928029234806,0.5,10
rolling_5y,financial_plus_price,ebitda_margin,-0.010394603998698607,0.010264750958325648,0.4,10
rolling_5y,financial_plus_price,cfo_margin,0.0025289177266581086,-0.019078878715516636,0.3,10
expanding,price_only,trailing_6m_return,0.12944050161862292,0.12518511890861178,1.0,10
expanding,price_only,drawdown_12m,-0.022024380364694285,-0.02147252595048724,0.8,10
expanding,price_only,realized_vol_3m,0.10175136484269391,0.08528045587982537,0.8,10
expanding,price_only,trailing_12m_return,-0.03431800217534906,-0.037205267601578954,0.8,10
expanding,price_only,trailing_3m_return,-0.04819343330386689,-0.03485107890640775,0.8,10
expanding,price_only,growth_x_fcf_margin,-0.012216461889842992,-0.007764283894437656,0.7,10
expanding,price_only,growth_x_trailing_6m,-0.011890770926676618,-0.0135697135680455,0.6,10
expanding,price_only,relative_6m_vs_spy,-0.02612607931565905,-0.02666948841670841,0.6,10
rolling_3y,price_only,drawdown_12m,-0.06025519259339196,-0.052395660863170664,0.7,10
rolling_3y,price_only,growth_x_fcf_margin,-0.013766148546397355,-0.007515065535605241,0.7,10
rolling_3y,price_only,growth_x_trailing_6m,-0.009182688190131025,-0.018310941432167497,0.7,10
rolling_3y,price_only,trailing_6m_return,0.0947872821785128,0.06747356448921242,0.7,10
rolling_3y,price_only,realized_vol_3m,0.07926852565802846,0.0736320961599523,0.6,10
rolling_3y,price_only,relative_6m_vs_spy,-0.001848014000378892,0.002898638227316846,0.5,10
rolling_3y,price_only,trailing_12m_return,-0.01289911989083201,-0.009995080871719948,0.5,10
rolling_3y,price_only,trailing_3m_return,-0.02361843005838233,-0.013617544040813633,0.5,10
rolling_5y,price_only,trailing_6m_return,0.14938001888234406,0.12398269085514034,1.0,10
rolling_5y,price_only,drawdown_12m,-0.04050409665496921,-0.03733038031592289,0.8,10
rolling_5y,price_only,realized_vol_3m,0.1279908128926218,0.1004920193703219,0.8,10
rolling_5y,price_only,trailing_12m_return,-0.03537092976458221,-0.03651581485103718,0.8,10
rolling_5y,price_only,growth_x_fcf_margin,-0.021419483635437785,-0.007764283894437656,0.7,10
rolling_5y,price_only,trailing_3m_return,-0.04986885005466594,-0.02404841752311373,0.7,10
rolling_5y,price_only,growth_x_trailing_6m,-0.001345834096846828,-0.00890329142111271,0.6,10
rolling_5y,price_only,relative_6m_vs_spy,-0.03953291143965566,-0.028729597844433886,0.6,10
