observations,total_return,annual_return,annual_std,sharpe,average_daily_return,average_daily_turnover,max_drawdown,hit_rate,year,portfolio
234,0.3835923577881488,0.4185836030148622,0.1730747524165932,2.4185133716518394,0.001447694604537846,0.021537413204079873,-0.08469949140314015,0.5683760683760684,2016,base_top20_equal
234,0.3280115331076361,0.357309571923661,0.1688814407906339,2.1157420865838397,0.0012695823110479474,0.029447512364179026,-0.0971258791234485,0.5683760683760684,2016,spy_trend_overlay
234,0.34209887747756973,0.37282155984883136,0.16932638926945828,2.2017924167481073,0.0013149929412302327,0.04128613516113516,-0.08852409541673911,0.5726495726495726,2016,sector_trend_overlay
234,0.27137198934846163,0.29507109726139324,0.17593402634459945,1.6771690126811611,0.001088004169650103,0.08064317138990423,-0.10385933720355833,0.5641025641025641,2016,spy_sector_credit_overlay
234,0.37926445962498967,0.41380549245182485,0.2516368583054912,1.6444550104399185,0.0015012328271188972,0.12947505614101049,-0.15110036175007724,0.5641025641025641,2016,spy_sector_credit_overlay_vt25
234,0.4286326406338339,0.46837687132058914,0.27292250056715034,1.716153378146808,0.0016738540667710637,0.13212035636828867,-0.16564605689960665,0.5641025641025641,2016,spy_sector_credit_overlay_vt30
251,0.3855739829831146,0.38737537504708586,0.1295170849585899,2.9909210446709804,0.0013333415969052282,0.012978389472413381,-0.05630189788329687,0.6055776892430279,2017,base_top20_equal
251,0.4528885409485641,0.4550524290500173,0.1489446477023784,3.0551781220047887,0.0015333428364410126,0.014925147893275382,-0.0645984126217668,0.6055776892430279,2017,spy_trend_overlay
251,0.46034997170507364,0.46255482034504025,0.1508690126200833,3.065936551926941,0.0015549163754509506,0.018081739513110803,-0.06620751258814117,0.5976095617529881,2017,sector_trend_overlay
251,0.43331771703288124,0.43537489980835953,0.13570853816957432,3.2081614442293804,0.0014716785461008333,0.057390611373892175,-0.05684035981980007,0.5936254980079682,2017,spy_sector_credit_overlay
251,0.6805098010542139,0.683988887164326,0.20795837015063418,3.2890663966489075,0.002155961229931956,0.09337116683368298,-0.09008165728380557,0.5936254980079682,2017,spy_sector_credit_overlay_vt25
251,0.7274612893908785,0.7312276269768283,0.21371111670903253,3.4215703807883515,0.0022706992105018223,0.09391061382146768,-0.09008165728380557,0.5936254980079682,2017,spy_sector_credit_overlay_vt30
251,0.01245683955539234,0.012506777463451302,0.21954335851770962,0.05696723211256893,0.00014483907623034478,0.01385724615386613,-0.23188449198302885,0.5298804780876494,2018,base_top20_equal
251,-0.029719969729253504,-0.029836591764158427,0.20096628763806826,-0.14846565617957208,-3.9842222330171853e-05,0.036107755358494344,-0.2324432485544764,0.5298804780876494,2018,spy_trend_overlay
251,0.015414796769373629,0.015476683113131218,0.22137028534507658,0.06991310097922963,0.0001582843024810504,0.0315534538288683,-0.22054107861344807,0.5258964143426295,2018,sector_trend_overlay
251,-0.054258348913470145,-0.05446852075831077,0.220513024984398,-0.24700817905048733,-0.0001253071053904537,0.07381876753617779,-0.23350586986221866,0.5258964143426295,2018,spy_sector_credit_overlay
251,-0.10158400029504633,-0.10196734549319297,0.28129606261168716,-0.3624911936074731,-0.00026788430627524033,0.1075516554993957,-0.30357842898312515,0.5258964143426295,2018,spy_sector_credit_overlay_vt25
251,-0.10513257947943333,-0.10552851421037002,0.31202456687947744,-0.3382057870178262,-0.0002471249953033671,0.1149573049743885,-0.32267862147635085,0.5258964143426295,2018,spy_sector_credit_overlay_vt30
252,0.4131178829376445,0.4131178829376445,0.17383414232181438,2.3765060040555825,0.001432998777236782,0.014410437419510005,-0.11180216271016319,0.6031746031746031,2019,base_top20_equal
252,0.3210238505966463,0.3210238505966463,0.17791796150516948,1.804336379985552,0.0011682242948656745,0.023838447680853594,-0.12778304473654833,0.6031746031746031,2019,spy_trend_overlay
252,0.33199236857886216,0.33199236857886216,0.18614940107206138,1.7834726658633873,0.0012070142428483891,0.02648588802612665,-0.13558452797535403,0.5873015873015873,2019,sector_trend_overlay
252,0.1895459375467914,0.1895459375467914,0.14506151525650823,1.3066590212546905,0.0007307736937221911,0.04806235124645262,-0.11635800256083317,0.5833333333333334,2019,spy_sector_credit_overlay
252,0.2677839100768771,0.2677839100768771,0.22290087662667452,1.201358712130033,0.0010408864206775694,0.0781485166724754,-0.18123168231776243,0.5833333333333334,2019,spy_sector_credit_overlay_vt25
252,0.3012728430125686,0.3012728430125686,0.23172874688305914,1.3001099219019407,0.0011524100761252085,0.07710806573040047,-0.18123168231776254,0.5833333333333334,2019,spy_sector_credit_overlay_vt30
253,0.4744245433980445,0.47216354542883265,0.39885230516213177,1.1838054821744108,0.0018530990590587197,0.01129875833433146,-0.31948281480730045,0.5731225296442688,2020,base_top20_equal
