portfolio,expected_return,median_return,p05_return,p95_return,loss_probability
asset_overlay_regime_target35,0.5945016318670514,0.49528298004849725,-0.19896156578745058,1.7229462980395522,0.1424
asset_overlay_target35,0.5805634537256359,0.4780475206564486,-0.20423853729586644,1.7128039354582314,0.1478
ml_meta_scale_growth,0.5447312453968096,0.45703460741034396,-0.25494254168073055,1.6292416395132452,0.1676
base_asset_overlay,0.5296631162978918,0.45219609256613646,-0.2232825103176419,1.5410712770285875,0.1544
ml_meta_scale_balanced,0.5278716381905353,0.45006523166249757,-0.23199532410095194,1.5446507201057875,0.1608
ml_balanced_target30_brake,0.41864838341270716,0.357103823265844,-0.1568393787708685,1.197503748455016,0.14105
ml_growth_expanded12_1_target30_brake,0.40673662814653827,0.3527714645940411,-0.15943225728123345,1.1534388131718973,0.149
sharpe_guarded_ml_growth_25,0.35839174305451593,0.31957556451633906,-0.1230845123979412,0.9636719310543662,0.1287
