feature_set,forward_window,regression_bucket,top_observations,top_mean_return,top_median_return,top_hit_rate,bottom_mean_return,top_minus_bottom_mean
financial_only,fwd_12m_return,all,90,0.2422499432019633,0.13952528195500852,0.6555555555555556,0.12577827916479256,0.11647166403717074
financial_plus_price,fwd_12m_return,all,90,0.34883488732354906,0.2498137160646418,0.7666666666666667,0.10145470432448203,0.24738018299906703
growth_quality_only,fwd_12m_return,all,91,0.2865420583087749,0.1961495742773202,0.7032967032967034,0.10936202623421008,0.17718003207456479
growth_quality_price,fwd_12m_return,all,90,0.324625306604158,0.18172772059051714,0.7,0.12425342373296508,0.20037188287119292
financial_only,fwd_12m_return,large_cap,45,0.5162795757689965,0.3922438145996296,0.8666666666666667,0.12574288382433071,0.3905366919446658
financial_plus_price,fwd_12m_return,large_cap,44,0.617841064963402,0.46742519535370897,0.8863636363636364,0.08616974013458024,0.5316713248288217
growth_quality_only,fwd_12m_return,large_cap,44,0.44334113200080805,0.31515198469829525,0.7954545454545454,0.24515367303792407,0.19818745896288398
growth_quality_price,fwd_12m_return,large_cap,44,0.597851409981214,0.42781930477048613,0.8636363636363636,0.13948433330678214,0.4583670766744319
financial_only,fwd_12m_return,mid_cap,47,0.05505467280477328,0.0005579239417226,0.5319148936170213,0.20349814321117618,-0.1484434704064029
financial_plus_price,fwd_12m_return,mid_cap,47,0.05882775360405889,0.0283683036282036,0.574468085106383,0.13656618312328037,-0.07773842951922147
growth_quality_only,fwd_12m_return,mid_cap,47,0.06369985646895795,0.0001136156453915,0.5106382978723404,0.20138364622061902,-0.13768378975166107
growth_quality_price,fwd_12m_return,mid_cap,47,0.020260858672829146,0.0005579239417226,0.5319148936170213,0.2595742003943389,-0.23931334172150978
financial_only,fwd_3m_return,all,208,0.0039019141507765772,8.342962257979988e-05,0.5,0.037457116219389644,-0.033555202068613066
financial_plus_price,fwd_3m_return,all,208,0.07401497636529805,0.0388048976847451,0.6346153846153846,-0.006608628326538028,0.08062360469183608
growth_quality_only,fwd_3m_return,all,208,-0.003664976124575986,-0.0038178152091429,0.4855769230769231,0.055831988946657383,-0.05949696507123337
growth_quality_price,fwd_3m_return,all,208,0.07280192173944805,0.03188696652047025,0.6201923076923077,-9.419084218137419e-05,0.07289611258162942
financial_only,fwd_3m_return,large_cap,54,0.18198384493037953,0.1179271598098647,0.7222222222222222,0.033988702564141327,0.1479951423662382
financial_plus_price,fwd_3m_return,large_cap,53,0.16696067130543824,0.1268607267473545,0.7169811320754716,0.050534217115753566,0.11642645418968467
growth_quality_only,fwd_3m_return,large_cap,54,0.2011915589853963,0.1336238316639608,0.7777777777777778,0.026205046181683657,0.17498651280371266
growth_quality_price,fwd_3m_return,large_cap,53,0.22268118004997187,0.1571511732464592,0.8490566037735849,0.06494532630221675,0.15773585374775512
financial_only,fwd_3m_return,mid_cap,106,-0.021323719129930682,-0.0158934164342001,0.42452830188679247,0.00807225868180398,-0.029395977811734662
financial_plus_price,fwd_3m_return,mid_cap,106,0.02334192505652057,0.00782000324103365,0.5377358490566038,-0.02802602827606859,0.05136795333258916
growth_quality_only,fwd_3m_return,mid_cap,106,-0.0179872595941765,-0.011137328633407498,0.42452830188679247,0.007993179054235836,-0.02598043864841234
growth_quality_price,fwd_3m_return,mid_cap,106,0.012409363226686803,-0.00909474108303875,0.46226415094339623,-0.01591325787905149,0.028322621105738292
financial_only,fwd_6m_return,all,99,0.21728125051645822,0.1048411525070176,0.6666666666666666,0.13376410821821538,0.08351714229824284
financial_plus_price,fwd_6m_return,all,99,0.3809821377621443,0.2441654921897449,0.797979797979798,0.023037416619530217,0.35794472114261405
growth_quality_only,fwd_6m_return,all,99,0.18099149924587818,0.0544760916138542,0.6464646464646465,0.16244235190769246,0.018549147338185717
growth_quality_price,fwd_6m_return,all,99,0.29626682834942714,0.1584727081580146,0.7474747474747475,0.02863616140599393,0.2676306669434332
financial_only,fwd_6m_return,large_cap,47,0.35176767299764844,0.1249430408779035,0.7446808510638298,0.24473917186758856,0.10702850113005988
financial_plus_price,fwd_6m_return,large_cap,47,0.40601505288907846,0.2383795306253509,0.851063829787234,0.18616935818254268,0.21984569470653578
growth_quality_only,fwd_6m_return,large_cap,47,0.3392107120889551,0.1729003143332992,0.7446808510638298,0.1984871386513351,0.14072357343762
growth_quality_price,fwd_6m_return,large_cap,47,0.4230255230734521,0.2856637363915817,0.8297872340425532,0.04940283754914022,0.3736226855243119
financial_only,fwd_6m_return,mid_cap,53,0.041107753453997205,0.0021271303943048,0.5094339622641509,0.07588388065551528,-0.03477612720151808
financial_plus_price,fwd_6m_return,mid_cap,53,0.1392823350981012,0.1329722954936194,0.7358490566037735,-0.0091669850639933,0.1484493201620945
growth_quality_only,fwd_6m_return,mid_cap,53,0.023772137450396042,-0.030414209433226,0.4339622641509434,0.1326700775690667,-0.10889794011867067
growth_quality_price,fwd_6m_return,mid_cap,53,0.05708047636030182,0.0931954999241484,0.6226415094339622,-0.017844432583138163,0.07492490894343998
