feature_set,forward_window,regression_bucket,observations,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
financial_only,fwd_12m_return,all,420,-0.004264224798008476,0.13165687439778923,0.13005119603250093,0.25174472848577356,0.09878717819012614,0.6309523809523809,0.09410592887238857,0.157638799613385
financial_plus_price,fwd_12m_return,all,420,0.008298086085193779,0.3006663941889005,0.18323281716044712,0.505780957721937,0.35761320724679685,0.7619047619047619,0.12278468115342331,0.38299627656851365
growth_quality_only,fwd_12m_return,all,420,0.0057316990314414396,0.13243848653471524,0.12339323770839485,0.2955093220986658,0.11664015630401775,0.6428571428571429,0.1154406477199817,0.18006867437868412
growth_quality_price,fwd_12m_return,all,420,-0.03398754694995465,0.15145217249560813,0.12852696767798324,0.31590332579257785,0.13818461497145162,0.6309523809523809,0.12278581829837217,0.1931175074942057
financial_only,fwd_12m_return,large_cap,192,0.07641549561650096,0.2795718370225189,0.2542108000446137,0.5224788040213568,0.3195181396104884,0.7948717948717948,0.10668982509657347,0.41578897892478334
financial_plus_price,fwd_12m_return,large_cap,192,0.22837574783152248,0.5202349009965078,0.4019697935599382,0.8116832481207527,0.6118094069437159,0.9230769230769231,0.11861160422929394,0.6930716438914587
growth_quality_only,fwd_12m_return,large_cap,192,0.04229289835132877,0.2068725190244903,0.1362588063653067,0.5666142683735439,0.3107858297861021,0.717948717948718,0.22445568468484894,0.34215858368869495
growth_quality_price,fwd_12m_return,large_cap,192,0.1391647641521786,0.43170413106439226,0.35815044895966147,0.7687853369318842,0.611383493350719,0.8717948717948718,0.12712264664250855,0.6416626902893756
financial_only,fwd_12m_return,mid_cap,212,-0.288904259303965,-0.12437156354358121,-0.11290653695939384,0.0320825355891558,-0.004464986370905,0.4883720930232558,0.2231122488658989,-0.1910297132767431
financial_plus_price,fwd_12m_return,mid_cap,212,-0.3296511164614302,-0.08805915351708303,-0.08976779392261644,0.06012450457931087,0.0005579239417226,0.5348837209302325,0.17165581242759692,-0.11153130784828605
growth_quality_only,fwd_12m_return,mid_cap,212,-0.160779714569113,-0.155280483288948,-0.11237252721371599,0.02732316227184466,-0.004464986370905,0.4883720930232558,0.1808091480811216,-0.15348598580927694
growth_quality_price,fwd_12m_return,mid_cap,212,-0.1716085627979953,-0.18724262494027985,-0.19177373100266626,-0.04771434623956993,-0.0450239310089537,0.3953488372093023,0.2657530995335202,-0.31346744577309016
financial_only,fwd_3m_return,all,1011,-0.1656539496181748,-0.07679937619709627,-0.11138580959593632,0.006489100323144215,0.0057953960748129,0.5221674876847291,0.04581114489278603,-0.03932204456964181
financial_plus_price,fwd_3m_return,all,1011,-0.08964734269226793,0.1734718754393284,0.1822087472584183,0.07258009694496595,0.0271250296827803,0.6009852216748769,-0.018277001109325897,0.09085709805429185
growth_quality_only,fwd_3m_return,all,1011,-0.14884589056288622,-0.11342881374293826,-0.143990505286978,0.008383011182394835,0.0001134213451163,0.5024630541871922,0.051514838717297964,-0.04313182753490313
growth_quality_price,fwd_3m_return,all,1011,-0.07780124073292938,0.1423594136320259,0.14660281922915552,0.048851337216215464,0.0092943040336845,0.541871921182266,-0.013760250235799312,0.06261158745201478
financial_only,fwd_3m_return,large_cap,235,-0.03370290311734103,0.31074899162708436,0.16069473972804568,0.20892392328326068,0.1474597822954739,0.723404255319149,0.04975462425697481,0.15916929902628588
financial_plus_price,fwd_3m_return,large_cap,235,0.031265165567347264,0.23787187350062552,0.17262244907394564,0.1630156067658618,0.1268607267473545,0.7446808510638298,0.0635997672660125,0.09941583949984929
growth_quality_only,fwd_3m_return,large_cap,235,-0.05261823228999374,0.29592177099879563,0.14833563305862627,0.21570156028996101,0.1571511732464592,0.6595744680851063,0.04184853248376385,0.17385302780619716
growth_quality_price,fwd_3m_return,large_cap,235,0.06372801695365149,0.30307191104835185,0.21508594783026805,0.19064070694315952,0.1384691885225231,0.7659574468085106,0.08146108023228463,0.10917962671087489
financial_only,fwd_3m_return,mid_cap,507,-0.16816897333912273,-0.08651706818942105,-0.11290872230975374,-0.0162814652630479,-0.00562782871020695,0.46078431372549017,0.014165100792020466,-0.030446566055068368
financial_plus_price,fwd_3m_return,mid_cap,507,-0.16903280332677362,0.12549758424662905,0.12205718859130493,0.022198004098345932,0.00403961074042175,0.5098039215686274,-0.037101359434077955,0.05929936353242389
