forward_window,regression_bucket,condition,observations,mean_return,median_return,hit_rate
fwd_12m_return,all,growth30_positive_margin,13,0.5863824687103355,0.3341658544961712,0.7692307692307693
fwd_12m_return,all,growth30_model_top_half,15,0.4928556050106562,0.2248047594923032,0.6666666666666666
fwd_12m_return,all,model_top_quintile,84,0.30798841559125745,0.1558739333791372,0.6904761904761905
fwd_12m_return,large_cap,growth30_model_top_half,7,0.8272846241013301,0.6200326434697994,0.8571428571428571
fwd_12m_return,large_cap,growth30_positive_margin,10,0.7567585996449262,0.541872748030578,0.9
fwd_12m_return,large_cap,model_top_quintile,39,0.679122253542695,0.4926821418425819,0.8461538461538461
fwd_12m_return,mid_cap,model_top_quintile,43,0.07724887335304292,0.0986599576355058,0.6046511627906976
fwd_3m_return,all,growth30_positive_margin,39,0.14311008394457256,0.0600037991585982,0.6153846153846154
fwd_3m_return,all,growth30_model_top_half,27,0.08429500837895587,0.0459891820841962,0.5185185185185185
fwd_3m_return,all,model_top_quintile,203,0.018722319957408463,-0.0138384939443932,0.4630541871921182
fwd_3m_return,large_cap,growth30_positive_margin,13,0.3989795015463996,0.2706721549243038,0.7692307692307693
fwd_3m_return,large_cap,growth30_model_top_half,10,0.31241305450514323,0.25270322988165944,0.7
fwd_3m_return,large_cap,model_top_quintile,47,0.23121487543099745,0.1864197222629071,0.8085106382978723
fwd_3m_return,mid_cap,growth30_positive_margin,15,-0.008646195190250406,-0.0161603217275067,0.4666666666666667
fwd_3m_return,mid_cap,model_top_quintile,102,-0.020688698271822098,-0.011658403422298048,0.4019607843137255
fwd_3m_return,mid_cap,growth30_model_top_half,6,-0.05964743061868611,-0.051156985400425105,0.3333333333333333
fwd_6m_return,all,growth30_model_top_half,13,0.7785667074421686,0.722585608352664,0.7692307692307693
fwd_6m_return,all,growth30_positive_margin,16,0.6774321536787872,0.5767813148458746,0.75
fwd_6m_return,all,model_top_quintile,96,0.2578300270782951,0.0573272046551671,0.6770833333333334
fwd_6m_return,large_cap,growth30_positive_margin,12,0.8908784998680135,0.7891793523803259,0.8333333333333334
fwd_6m_return,large_cap,growth30_model_top_half,10,0.8653237681697714,0.7891793523803259,1.0
fwd_6m_return,large_cap,model_top_quintile,43,0.6234428932029508,0.631467351045651,0.9069767441860465
fwd_6m_return,mid_cap,model_top_quintile,48,0.11952632915855747,0.049164122246833,0.625
