symbol,fiscal_period_end,total_revenue,error
COP,2022-12-31,78494000000.0,
COP,2023-12-31,56141000000.0,
COP,2024-12-31,54745000000.0,
COP,2025-12-31,58944000000.0,
COST,2022-08-31,226954000000.0,
COST,2023-08-31,242290000000.0,
COST,2024-08-31,254453000000.0,
COST,2025-08-31,275235000000.0,
CRM,2023-01-31,31352000000.0,
CRM,2024-01-31,34857000000.0,
CRM,2025-01-31,37895000000.0,
CRM,2026-01-31,41525000000.0,
CROX,2022-12-31,3554985000.0,
CROX,2023-12-31,3962347000.0,
CROX,2024-12-31,4102108000.0,
CROX,2025-12-31,4040647000.0,
CRWD,2023-01-31,2241236000.0,
CRWD,2024-01-31,3055555000.0,
CRWD,2025-01-31,3953624000.0,
CRWD,2026-01-31,4812005000.0,
CSCO,2022-07-31,51557000000.0,
CSCO,2023-07-31,56998000000.0,
CSCO,2024-07-31,53803000000.0,
CSCO,2025-07-31,56654000000.0,
CSX,2022-12-31,14853000000.0,
CSX,2023-12-31,14657000000.0,
CSX,2024-12-31,14540000000.0,
CSX,2025-12-31,14092000000.0,
CVX,2022-12-31,235717000000.0,
CVX,2023-12-31,196913000000.0,
CVX,2024-12-31,193414000000.0,
CVX,2025-12-31,184432000000.0,
DDOG,2022-12-31,1675100000.0,
DDOG,2023-12-31,2128359000.0,
DDOG,2024-12-31,2684275000.0,
DDOG,2025-12-31,3427158000.0,
DE,2022-10-31,51282000000.0,
DE,2023-10-31,60248000000.0,
DE,2024-10-31,50518000000.0,
DE,2025-10-31,44665000000.0,
DHR,2022-12-31,26643000000.0,
DHR,2023-12-31,23890000000.0,
DHR,2024-12-31,23875000000.0,
DHR,2025-12-31,24568000000.0,
DPZ,2022-12-31,4537158000.0,
DPZ,2023-12-31,4479358000.0,
DPZ,2024-12-31,4706416000.0,
DPZ,2025-12-31,4939994000.0,
DUK,2022-12-31,28768000000.0,
DUK,2023-12-31,29060000000.0,
DUK,2024-12-31,30357000000.0,
DUK,2025-12-31,32237000000.0,
DUOL,2022-12-31,369495000.0,
DUOL,2023-12-31,531109000.0,
DUOL,2024-12-31,748024000.0,
DUOL,2025-12-31,1037589000.0,
DXCM,2022-12-31,2909800000.0,
DXCM,2023-12-31,3622300000.0,
DXCM,2024-12-31,4033000000.0,
DXCM,2025-12-31,4662000000.0,
ECL,2022-12-31,14187800000.0,
ECL,2023-12-31,15320200000.0,
ECL,2024-12-31,15741400000.0,
ECL,2025-12-31,16081200000.0,
EL,2022-06-30,17737000000.0,
EL,2023-06-30,15910000000.0,
EL,2024-06-30,15608000000.0,
EL,2025-06-30,14326000000.0,
ELV,2022-12-31,156595000000.0,
ELV,2023-12-31,171340000000.0,
ELV,2024-12-31,176810000000.0,
ELV,2025-12-31,199125000000.0,
EMR,2022-09-30,13804000000.0,
EMR,2023-09-30,15165000000.0,
EMR,2024-09-30,17492000000.0,
EMR,2025-09-30,18016000000.0,
ENPH,2022-12-31,2330853000.0,
ENPH,2023-12-31,2290786000.0,
ENPH,2024-12-31,1330383000.0,
ENPH,2025-12-31,1472985000.0,
EOG,2022-12-31,29492000000.0,
EOG,2023-12-31,23182000000.0,
EOG,2024-12-31,23378000000.0,
EOG,2025-12-31,22582000000.0,
EQIX,2022-12-31,7263000000.0,
EQIX,2023-12-31,8188000000.0,
EQIX,2024-12-31,8748000000.0,
EQIX,2025-12-31,9217000000.0,
ETN,2022-12-31,20752000000.0,
ETN,2023-12-31,23196000000.0,
ETN,2024-12-31,24878000000.0,
ETN,2025-12-31,27448000000.0,
EXC,2022-12-31,19078000000.0,
EXC,2023-12-31,21727000000.0,
EXC,2024-12-31,23028000000.0,
EXC,2025-12-31,24258000000.0,
FCX,2022-12-31,22780000000.0,
FCX,2023-12-31,22855000000.0,
FCX,2024-12-31,25455000000.0,
FCX,2025-12-31,25915000000.0,
FIVE,2023-01-31,3076308000.0,
FIVE,2024-01-31,3559369000.0,
FIVE,2025-01-31,3876527000.0,
FIVE,2026-01-31,4764147000.0,
GD,2022-12-31,39407000000.0,
GD,2023-12-31,42272000000.0,
GD,2024-12-31,47716000000.0,
GD,2025-12-31,52550000000.0,
GE,2022-12-31,29139000000.0,
GE,2023-12-31,35348000000.0,
GE,2024-12-31,38702000000.0,
GE,2025-12-31,45855000000.0,
GILD,2022-12-31,27281000000.0,
GILD,2023-12-31,27116000000.0,
GILD,2024-12-31,28754000000.0,
GILD,2025-12-31,29442000000.0,
GOOGL,2022-12-31,282836000000.0,
GOOGL,2023-12-31,307394000000.0,
GOOGL,2024-12-31,350018000000.0,
GOOGL,2025-12-31,402836000000.0,
GS,2022-12-31,47365000000.0,
GS,2023-12-31,46254000000.0,
GS,2024-12-31,53512000000.0,
GS,2025-12-31,58283000000.0,
GTLB,2023-01-31,424336000.0,
GTLB,2024-01-31,579906000.0,
GTLB,2025-01-31,759249000.0,
GTLB,2026-01-31,955224000.0,
HCA,2022-12-31,60233000000.0,
HCA,2023-12-31,64968000000.0,
HCA,2024-12-31,70603000000.0,
HCA,2025-12-31,75600000000.0,
HD,2023-01-31,157403000000.0,
HD,2024-01-31,152669000000.0,
HD,2025-01-31,159514000000.0,
HD,2026-01-31,164683000000.0,
HON,2022-12-31,35466000000.0,
HON,2023-12-31,33009000000.0,
HON,2024-12-31,34717000000.0,
HON,2025-12-31,37442000000.0,
IBM,2022-12-31,60530000000.0,
IBM,2023-12-31,61860000000.0,
IBM,2024-12-31,62753000000.0,
IBM,2025-12-31,67536000000.0,
ICE,2022-12-31,9636000000.0,
ICE,2023-12-31,9903000000.0,
ICE,2024-12-31,11761000000.0,
ICE,2025-12-31,12640000000.0,
INTC,2022-12-31,63054000000.0,
INTC,2023-12-31,54228000000.0,
INTC,2024-12-31,53101000000.0,
INTC,2025-12-31,52853000000.0,
INTU,2022-07-31,12726000000.0,
INTU,2023-07-31,14368000000.0,
INTU,2024-07-31,16285000000.0,
INTU,2025-07-31,18831000000.0,
ISRG,2022-12-31,6222200000.0,
ISRG,2023-12-31,7124100000.0,
ISRG,2024-12-31,8352100000.0,
ISRG,2025-12-31,10064700000.0,
ITW,2022-12-31,15932000000.0,
ITW,2023-12-31,16107000000.0,
ITW,2024-12-31,15898000000.0,
ITW,2025-12-31,16044000000.0,
JNJ,2022-12-31,79990000000.0,
JNJ,2023-12-31,85159000000.0,
JNJ,2024-12-31,88821000000.0,
JNJ,2025-12-31,94193000000.0,
JPM,2022-12-31,127727000000.0,
JPM,2023-12-31,154952000000.0,
JPM,2024-12-31,169439000000.0,
JPM,2025-12-31,181847000000.0,
KKR,2022-12-31,5565056000.0,
KKR,2023-12-31,14322870000.0,
KKR,2024-12-31,21640288000.0,
KKR,2025-12-31,19207544000.0,
KLAC,2022-06-30,9211883000.0,
KLAC,2023-06-30,10496056000.0,
KLAC,2024-06-30,9812247000.0,
KLAC,2025-06-30,12156162000.0,
KMB,2022-12-31,20175000000.0,
KMB,2023-12-31,17146000000.0,
KMB,2024-12-31,16805000000.0,
KMB,2025-12-31,16447000000.0,
KO,2022-12-31,43004000000.0,
KO,2023-12-31,45754000000.0,
KO,2024-12-31,47061000000.0,
KO,2025-12-31,47941000000.0,
LIN,2022-12-31,33364000000.0,
LIN,2023-12-31,32854000000.0,
LIN,2024-12-31,33005000000.0,
LIN,2025-12-31,33986000000.0,
LLY,2022-12-31,28541400000.0,
LLY,2023-12-31,34124000000.0,
LLY,2024-12-31,45043000000.0,
LLY,2025-12-31,65179000000.0,
LMT,2022-12-31,65984000000.0,
LMT,2023-12-31,67571000000.0,
LMT,2024-12-31,71043000000.0,
LMT,2025-12-31,75048000000.0,
LOW,2023-01-31,97059000000.0,
LOW,2024-01-31,86377000000.0,
LOW,2025-01-31,83674000000.0,
LOW,2026-01-31,86286000000.0,
LRCX,2022-06-30,17227039000.0,
LRCX,2023-06-30,17428516000.0,
LRCX,2024-06-30,14905386000.0,
