forward_window,observations,pearson_corr,spearman_corr
fwd_3m_return,385,0.20769118201893969,0.11728412455420227
fwd_6m_return,371,-0.013467999886444676,0.04604417477211147
fwd_12m_return,354,-0.058400247553858996,-0.06362285684143754
