strategy,train_annual_return,train_sharpe,train_max_drawdown,validation_annual_return,validation_sharpe,validation_max_drawdown,full_annual_return,full_sharpe,full_max_drawdown,train_objective
credit_stress_rotation,0.0563106079693545,0.5730717361286347,-0.17523914504653526,-0.035726872983144475,-0.3743031908623058,-0.25806483016917003,0.03115173162559115,0.3193514348934883,-0.3005716805603602,0.4090947126759703
xasset_abs_mom_252_top3,0.025723302949601345,0.22202449586147935,-0.30462285787491616,0.12408276260973272,0.9335818166099935,-0.20627391690508223,0.05086264920851424,0.4217005072569328,-0.30462285787491616,-0.07745370142351654
etf_short_term_reversal,0.009149472483800158,0.07555807165944863,-0.318288136804475,-0.06647309504480992,-0.43117374986325135,-0.2872887887423574,-0.011423458121437413,-0.08743497985223479,-0.318288136804475,-0.24090017064826633
xasset_abs_mom_126_top2,0.012329679968609675,0.09233028845134991,-0.36818057604800036,0.1325002368792263,0.8692508984462499,-0.15453128961902607,0.04280682113018974,0.3084016405388509,-0.36818057604800036,-0.2733843516029285
xasset_carry_proxy_defensive,-0.01882591280793089,-0.32495664257030843,-0.31419444627183124,-0.00571770187193843,-0.08576165532114996,-0.1304751839443914,-0.015376653933963924,-0.25475087847673916,-0.37184493710886224,-0.6429162714037259
vol_regime_svxy_vixy,0.04021161793472161,0.10215114517174856,-0.7649334062618216,0.007439409344697223,0.028542122210687575,-0.31664222614899773,0.03144349081943454,0.08656818842732517,-0.7649334062618216,-0.6547399375031288
risk_off_inverse_equity,-0.04909370533756208,-0.4595251698475196,-0.48028587272548107,-0.08807829370243703,-0.7534122177199455,-0.34601176914064835,-0.05956149547564071,-0.5435441507502478,-0.6506983439098308,-0.9496297836405131
sector_market_neutral_trend,-0.05678523742243091,-0.7466515842022661,-0.5180700099686542,-0.06844232385364202,-0.6940342628903314,-0.42334381586603875,-0.05988179310177977,-0.7248884853454953,-0.6417108702708454,-1.2760786416554064
sector_mean_reversion_pairs,-0.08684124866493181,-1.1934751791746032,-0.66490713222686,-0.12053489537542217,-1.4093935801287745,-0.4398269476459318,-0.09587429947085335,-1.2558719476003923,-0.8080717601348217,-1.8757505611344496
