downloaded_symbols
DBC
EEM
EFA
FXE
FXY
GLD
HYG
IEF
IWM
LQD
PSQ
QQQ
SDS
SH
SHY
SLV
SPY
SVXY
TLT
UNG
USO
UUP
VIXY
VNQ
XLB
XLC
XLE
XLF
XLI
XLK
XLP
XLRE
XLU
XLV
XLY
