feature_set,forward_window,regression_bucket,observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
financial_only,fwd_12m_return,all,4605,10,-0.00937472143350937,0.05672180110883977,0.0055430384898734,0.21384007824800635,0.1164885437387097,0.6514657980456026,0.1317741951051239,0.08206588314288246
financial_plus_price,fwd_12m_return,all,4605,10,0.03630131942049075,0.20893526139813937,0.21174826604583608,0.36271385840787396,0.2489209072195368,0.7372421281216069,0.06293559590929847,0.2997782624985755
income_only,fwd_12m_return,all,4605,10,-0.0031424088942098027,0.060417438995716354,-0.006419656101221091,0.1952340040796138,0.0958954336256741,0.6373507057546145,0.14665837207176166,0.04857563200785214
price_only,fwd_12m_return,all,4605,10,0.04846642125820266,0.22620267135378408,0.22744065431319746,0.42277359272849907,0.3088510056580917,0.7828447339847991,0.06773093998659126,0.3550426527419078
financial_only,fwd_12m_return,large_cap,2101,10,0.006403045038720356,0.17153805832640417,0.11801635886448616,0.34759812130600576,0.2128689790638596,0.7505938242280285,0.14362301587681175,0.203975105429194
financial_plus_price,fwd_12m_return,large_cap,2101,10,0.057608782526649804,0.26150957486096427,0.247194748651053,0.46144150577885223,0.3145986796006006,0.7672209026128266,0.09679953794935145,0.36464196782950076
income_only,fwd_12m_return,large_cap,2101,10,0.012871671354071634,0.18762089866115103,0.12110475273884529,0.3659405802635905,0.2143557922323362,0.7577197149643705,0.15028059347543488,0.21565998678815562
price_only,fwd_12m_return,large_cap,2101,10,0.06208183787104404,0.25893102272803475,0.25454506507933555,0.5020334855261553,0.3411764908089669,0.7957244655581948,0.10144936667324563,0.40058411885290973
financial_only,fwd_12m_return,mid_cap,2302,10,-0.017480765634380058,0.023085244806470118,-0.007541178634599919,0.1631525121066687,0.0969350076586246,0.6507592190889371,0.13283480393758756,0.030317708169081137
financial_plus_price,fwd_12m_return,mid_cap,2302,10,-0.004849063539786425,0.14469647521136972,0.17785889076272715,0.2481862869238391,0.1393621531753301,0.6984815618221258,0.06339108748280829,0.1847951994410308
income_only,fwd_12m_return,mid_cap,2302,10,-0.006077904249881305,0.026357967498766163,-0.008235890604343467,0.1399454901603125,0.0810465572094429,0.6225596529284165,0.12840882944829926,0.01153666071201323
price_only,fwd_12m_return,mid_cap,2302,10,0.011659305294271283,0.16137497135247775,0.18730431979670714,0.29333644883426035,0.1908102656034886,0.7158351409978309,0.0655019615531971,0.22783448728106326
financial_only,fwd_3m_return,all,5122,12,-0.04441191047136739,-0.08405151822676364,-0.1065923866006405,0.018858519517152804,-0.0015754102067079,0.4946341463414634,0.04663486661916172,-0.027776347102008915
financial_plus_price,fwd_3m_return,all,5122,12,-0.05314079701294938,0.00046827446559735946,-0.013268820952925536,0.05629961305179613,0.0351913464807009,0.584390243902439,0.04294116525069449,0.013358447801101639
