forward_window,regression_bucket,condition,observations,avg_prediction,mean_return,median_return,hit_rate,avg_revenue_growth,avg_operating_margin,avg_fcf_margin
fwd_12m_return,all,rev_growth_30pct_positive_margin,13,0.4477472877480103,0.5863824687103356,0.3341658544961712,0.7692307692307693,0.5926894521531166,0.2731814389961519,0.17147890306828933
fwd_12m_return,all,rev_growth_30pct_model_top_half,14,0.44106289549174293,0.5334819355872459,0.27948530699423724,0.7142857142857143,0.5903561994584345,0.2731814389961519,0.1815809787392073
fwd_12m_return,all,rev_growth_30pct_positive_fcf,13,0.41393247830040425,0.49873096830011965,0.16427620107518925,0.6153846153846154,0.5894788379213052,0.25412628555286565,0.24770020248208985
fwd_12m_return,all,revenue_growth_30pct,15,0.42476770366971306,0.4928556050106562,0.22480475949230327,0.6666666666666666,0.5711594438288243,0.2731814389961519,0.17749538914138305
fwd_12m_return,all,model_top_quintile,85,0.40467692607690414,0.430021596665506,0.10167892275457824,0.6352941176470588,0.19432981843914163,0.19009062864944795,0.14729583396228826
fwd_12m_return,all,positive_fcf_top_model,72,0.40478279942021345,0.24114264561364177,0.05596116009319141,0.6111111111111112,0.20111182713025766,0.2026090643667454,0.20935958191720308
fwd_12m_return,large_cap,model_top_quintile,39,0.4783482479559073,0.9068923374191311,0.31951813961048847,0.7948717948717948,0.20610068400978881,0.1132422953596018,0.11569105957883004
fwd_12m_return,large_cap,rev_growth_30pct_positive_margin,10,0.43862088020905865,0.7567585996449262,0.541872748030578,0.9,0.611046378760685,0.3447842661632304,0.1974518028797539
fwd_12m_return,large_cap,rev_growth_30pct_positive_fcf,9,0.47408146213858704,0.7226699460197842,0.46371285259135675,0.7777777777777778,0.6407023263976688,0.33648413697048146,0.3161219762672336
fwd_12m_return,large_cap,rev_growth_30pct_model_top_half,10,0.47059445604959915,0.718855624194404,0.541872748030578,0.8,0.6348626567605828,0.33878223975296984,0.2774952073087583
fwd_12m_return,large_cap,revenue_growth_30pct,11,0.4475935847585683,0.6739419092214859,0.46371285259135675,0.8181818181818182,0.6064079729122196,0.3447842661632304,0.20794781738715268
fwd_12m_return,large_cap,positive_fcf_top_model,33,0.47456312547074825,0.52770104695237,0.31078582978610214,0.7878787878787878,0.2217927055479989,0.1337004663816257,0.16016141484584573
fwd_12m_return,mid_cap,model_top_quintile,43,0.4150608135650571,0.0320825355891558,-0.0044649863709050885,0.4883720930232558,0.08661228605756628,0.20678842910083123,0.10400309605710724
fwd_12m_return,mid_cap,positive_fcf_top_model,38,0.41036379727442435,0.0033357868984051704,-0.023225647664099014,0.4473684210526316,0.07997611064220131,0.2137557279340858,0.15392248193322852
