forward_window,regression_bucket,observations,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
fwd_12m_return,all,421,0.009831033246879728,0.10484198780791462,0.13364278130232787,0.430021596665506,0.10167892275457824,0.6352941176470588,0.09231509315153116,0.3377065035139748
fwd_12m_return,large_cap,193,0.04711507483473154,0.2930591924496303,0.26544149344383844,0.9068923374191311,0.31951813961048847,0.7948717948717948,0.1066898250965735,0.8002025123225576
fwd_12m_return,mid_cap,212,-0.2889042593039648,-0.12437156354358112,-0.11290653695939384,0.0320825355891558,-0.0044649863709050885,0.4883720930232558,0.2231122488658989,-0.1910297132767431
fwd_3m_return,all,1019,-0.15836745718705325,-0.07659545394330178,-0.11237146245659364,0.005205198409658403,0.005690807051184299,0.5196078431372549,0.04567747906389446,-0.040472280654236054
fwd_3m_return,large_cap,465,-0.0730029509381116,0.030370839860798776,-0.0036580943333612485,0.062470080900396185,0.02911900204724094,0.5806451612903226,0.043898001251039175,0.01857207964935701
fwd_3m_return,low_cap,21,-1.2652278908731023,-0.03430046337071472,-0.15064935064935067,0.040655227114778536,-0.014539337670544605,0.4,0.06943145096516912,-0.02877622385039058
fwd_3m_return,mid_cap,512,-0.17421112424600538,-0.09310973210405314,-0.11931075808979236,-0.021493050273520033,-0.007496589447742341,0.4563106796116505,0.010134260366431553,-0.031627310639951584
fwd_6m_return,all,476,-0.006306903860095581,0.037904080146108854,-0.01354741054049227,0.15560757927961147,0.06213829259390713,0.6354166666666666,0.15071814130007222,0.004889437979539252
fwd_6m_return,large_cap,215,-0.0024245199053190003,0.24844638273159164,0.114981077477449,0.46909595040075036,0.1411012246978578,0.7209302325581395,0.22958970296203213,0.23950624743871823
fwd_6m_return,low_cap,20,-0.3093038543920612,-0.23878994950981333,-0.20902255639097742,0.0028504823683787317,0.02801143214035695,0.75,0.22664896228959028,-0.22379847992121155
fwd_6m_return,mid_cap,241,-0.1310314986872292,-0.064944518471811,-0.032156839715399545,0.04610164471101891,0.006209366367938118,0.5102040816326531,0.04208667771201285,0.00401496699900606
