experiment,target_type,observations,oos_r2_on_training_target,raw_return_spearman,target_spearman,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
sector_excess_raw_return,sector_excess_return,192,0.2547335177803861,0.49644630116919414,0.4397176708352549,0.8610286744666842,0.6389701453463044,0.8974358974358975,0.07427854290129612,0.7867501315653881
spy_excess_raw_return,spy_excess_return,192,0.2941953531969027,0.4791627105770013,0.4739949271627378,0.8631988928548452,0.6200326434697994,0.9230769230769231,0.07861034079282199,0.7845885520620232
valuation_raw_return,raw_return,192,0.31071133360749026,0.46051257358326786,0.46051257358326786,0.8593606193447919,0.6488414661649993,0.9487179487179487,0.09696367555317861,0.7623969437916133
combined_raw_return,raw_return,192,0.3062948774956814,0.4581338333830671,0.4581338333830671,0.8233351253388239,0.6200326434697994,0.8974358974358975,0.0842533114996322,0.7390818138391917
baseline_raw_return,raw_return,192,0.22837574783152237,0.4019697935599382,0.4019697935599382,0.8116832481207527,0.6118094069437159,0.9230769230769231,0.11861160422929394,0.6930716438914587
sector_macro_raw_return,raw_return,192,0.24096217088288818,0.3782281691669154,0.3782281691669154,0.8256535897405357,0.6389701453463044,0.9230769230769231,0.13367316958997105,0.6919804201505646
sector_excess_rank_target,sector_excess_rank_target,192,-0.24500226373864686,0.3282491929577083,0.2671203757540519,0.6581496905971179,0.4637128525913567,0.8717948717948718,0.13311064398282071,0.5250390466142972
combined_top_quintile_target,top_quintile_target,192,-0.09908849327364067,0.3140411795024822,0.36374416637840784,0.6289012285755397,0.3613926216698291,0.7948717948717948,0.14197508977793058,0.48692613879760904
valuation_top_quintile_target,top_quintile_target,192,-0.09602813393650056,0.2960404063695305,0.35703387323275015,0.6570499937181485,0.3831351592801577,0.8717948717948718,0.167806497606146,0.4892434961120026
combined_rank_target,rank_target,192,-0.3402717493635161,0.29153385508504465,0.25061662303210547,0.6300536324668256,0.4624949554152546,0.8717948717948718,0.13385691221589233,0.4961967202509332
valuation_rank_target,rank_target,192,-0.21333702727577397,0.27112043241190353,0.2311873283621707,0.6791464615880755,0.4711375381160612,0.8461538461538461,0.12724197381939825,0.5519044877686772
baseline_top_quintile_target,top_quintile_target,192,-0.009451042363506135,0.17153378726636465,0.3105246000507782,0.6005213106104229,0.3613926216698291,0.7948717948717948,0.14172699201002922,0.45879431860039366
baseline_rank_target,rank_target,192,-0.21249185503411172,0.16328873124813498,0.13516410713683297,0.5114265869244158,0.3930294433162342,0.7948717948717948,0.1704720276280711,0.34095455929634466
