experiment,event_top_quintile_mean_return,event_top_quintile_median_return,event_top_quintile_hit_rate,event_count
spy_excess_raw_return,0.8631988928548452,0.6200326434697994,0.9230769230769231,39
sector_excess_raw_return,0.8610286744666842,0.6389701453463044,0.8974358974358975,39
valuation_raw_return,0.8593606193447919,0.6488414661649993,0.9487179487179487,39
sector_macro_raw_return,0.8256535897405357,0.6389701453463044,0.9230769230769231,39
combined_raw_return,0.8233351253388239,0.6200326434697994,0.8974358974358975,39
baseline_raw_return,0.8116832481207527,0.6118094069437159,0.9230769230769231,39
valuation_rank_target,0.6791464615880755,0.4711375381160612,0.8461538461538461,39
sector_excess_rank_target,0.6581496905971179,0.4637128525913567,0.8717948717948718,39
valuation_top_quintile_target,0.6570499937181485,0.3831351592801577,0.8717948717948718,39
combined_rank_target,0.6300536324668256,0.4624949554152546,0.8717948717948718,39
combined_top_quintile_target,0.6289012285755397,0.3613926216698291,0.7948717948717948,39
baseline_top_quintile_target,0.6005213106104229,0.3613926216698291,0.7948717948717948,39
baseline_rank_target,0.5114265869244158,0.3930294433162342,0.7948717948717948,39
