feature_set,forward_window,observations,test_periods,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
price_only,fwd_12m_return,13181,29,0.013929195460078758,0.15689555441356196,0.059117321543907954,0.3035363563116264,0.1945564059939695,0.6909366704588548,0.1370970869434081,0.1664392693682183
quarterly_annual_price,fwd_12m_return,13181,29,-0.002931842654842143,0.13978142179518283,0.058901022596409246,0.28432353204936717,0.16747859259113818,0.6765263557072431,0.14161742280794237,0.1427061092414248
quarterly_trend_price,fwd_12m_return,13181,29,0.0006146328090084197,0.1419594380841687,0.058388392858762364,0.2854433225318804,0.17382175948284484,0.6757679180887372,0.14434115042185353,0.14110217211002685
quarterly_trend_only,fwd_12m_return,13181,29,-0.023760975952953123,0.028275829609866292,0.0010287461005442852,0.19765920948890373,0.1082839148183452,0.6370875995449374,0.14350251196935648,0.05415669751954724
price_only,fwd_3m_return,15980,35,-0.041577392959493586,0.07329383536347002,0.06796357866690803,0.0931612718318837,0.07377012724822496,0.6821026282853567,0.041253967363125976,0.05190730446875773
quarterly_trend_price,fwd_3m_return,15980,35,-0.05424763060663107,0.06896365500185771,0.061391644447321765,0.08873667483974979,0.07018492595075632,0.6733416770963705,0.03746633377485106,0.05127034106489872
quarterly_annual_price,fwd_3m_return,15980,35,-0.05960564862844442,0.06512605582281496,0.06050213315773801,0.08629362332648989,0.0688059814711589,0.6733416770963705,0.039840717420692416,0.046452905905797474
quarterly_trend_only,fwd_3m_return,15980,35,-0.013235929821326264,0.008536945445698038,-0.009092751447751641,0.04867586209196104,0.039338455674603146,0.6032540675844806,0.044322408222649226,0.004353453869311817
price_only,fwd_6m_return,15050,33,-0.03859399553476961,0.041184756627631214,-0.03479486081921311,0.1199380816879793,0.07362431542509873,0.6289036544850498,0.11362745905734828,0.0063106226306310215
quarterly_trend_price,fwd_6m_return,15050,33,-0.06423452160821075,0.023480696039482774,-0.03787787863882479,0.10503152463822552,0.05059723571512664,0.6043189368770764,0.10738347407093124,-0.0023519494327057244
quarterly_trend_only,fwd_6m_return,15050,33,-0.027408886841148616,-0.006393503314636158,-0.0401198152958462,0.07549711169105376,0.04621932312863952,0.587375415282392,0.08365394275947245,-0.00815683106841869
quarterly_annual_price,fwd_6m_return,15050,33,-0.07135876468142777,0.018072697810030642,-0.042148199144416046,0.10524056962368095,0.05137533554325069,0.6043189368770764,0.10868937654638652,-0.0034488069227055773
