experiment,target_type,regression_bucket,rows,years,spearman,target_spearman,top_quintile_mean_return,top_quintile_hit_rate,mean_yearly_top_minus_bottom,positive_yearly_spread_rate
valuation_residuals,raw_return,all,4605,10,0.3089555520079735,0.3089555520079735,0.4199740316505728,0.7744034707158352,0.2491144891154169,1.0
best_known_current_plus_hist,raw_return,all,4605,10,0.30867097734803706,0.30867097734803706,0.4325447432473624,0.7754880694143167,0.2808613194207975,1.0
cluster_relative_value,raw_return,all,4605,10,0.3071906323327798,0.3071906323327798,0.4324320970250562,0.7668112798264642,0.27834510254954276,0.9
cluster_fair_value_only,raw_return,all,4605,10,0.3060784914621722,0.3060784914621722,0.4321936039735872,0.7689804772234273,0.28251970935616205,1.0
sales_residual_selected,raw_return,all,4605,10,0.30333708298591244,0.30333708298591244,0.4187047169717549,0.762472885032538,0.2628339830902613,1.0
sector_relative_value,raw_return,all,4605,10,0.30061661158783437,0.30061661158783437,0.42795431121671146,0.7581344902386117,0.2681229957088675,1.0
selected_peer_value,raw_return,all,4605,10,0.2985319389996061,0.2985319389996061,0.4148660348247837,0.7581344902386117,0.2539890093146958,1.0
combined_peer_cluster_value,raw_return,all,4605,10,0.29382767225514983,0.29382767225514983,0.40210200926898376,0.7592190889370932,0.24788863258759006,0.9
combined_peer_cluster_sector_excess,sector_excess_return,all,4561,10,0.26802761205883296,0.19364074671954806,0.3432972133200257,0.7568455640744798,0.24308032132908247,1.0
baseline_no_valuation,raw_return,all,4605,10,0.22954752033701212,0.22954752033701212,0.3693438776633351,0.7429501084598699,0.15813516095178942,0.7
best_known_current_plus_hist,raw_return,large_cap,2101,10,0.29352980195389067,0.29352980195389067,0.5012783730530476,0.7933491686460807,0.29931633043771366,0.9
cluster_fair_value_only,raw_return,large_cap,2101,10,0.2875110417202964,0.2875110417202964,0.5068361629615599,0.7933491686460807,0.30043211960071103,0.9
sector_relative_value,raw_return,large_cap,2101,10,0.2866450230467546,0.2866450230467546,0.5043562132743575,0.7885985748218527,0.2938183773548178,0.9
sales_residual_selected,raw_return,large_cap,2101,10,0.2787057109254368,0.2787057109254368,0.4954647930916436,0.7838479809976246,0.292963781384628,0.9
cluster_relative_value,raw_return,large_cap,2101,10,0.27866981275931113,0.27866981275931113,0.49716264173901753,0.7862232779097387,0.2852833690034455,0.9
valuation_residuals,raw_return,large_cap,2101,10,0.2779081490092195,0.2779081490092195,0.4893366985886349,0.7885985748218527,0.2781156027742426,0.9
selected_peer_value,raw_return,large_cap,2101,10,0.2708556577102613,0.2708556577102613,0.4860456009238161,0.7695961995249406,0.29748653591618585,0.9
combined_peer_cluster_value,raw_return,large_cap,2101,10,0.26400049763677524,0.26400049763677524,0.4713332611270545,0.7790973871733967,0.2695381469963132,0.9
combined_peer_cluster_sector_excess,sector_excess_return,large_cap,2076,10,0.25212605448636843,0.10720784446085277,0.4350893298092305,0.7908653846153846,0.2627706797567858,1.0
baseline_no_valuation,raw_return,large_cap,2101,10,0.24994438592029514,0.24994438592029514,0.4630770169954493,0.7672209026128266,0.2012802723906252,0.9
valuation_residuals,raw_return,mid_cap,2302,10,0.2782510623702624,0.2782510623702624,0.3191200702928342,0.754880694143167,0.1803608889268138,0.9
combined_peer_cluster_value,raw_return,mid_cap,2302,10,0.2741719341345938,0.2741719341345938,0.32921836821499617,0.7700650759219089,0.15927001156793313,1.0
best_known_current_plus_hist,raw_return,mid_cap,2302,10,0.2724107470422056,0.2724107470422056,0.3362582633106717,0.7505422993492408,0.17514255998506062,1.0
cluster_relative_value,raw_return,mid_cap,2302,10,0.27218387883623735,0.27218387883623735,0.35000524459873655,0.7744034707158352,0.16997302299083886,1.0
sales_residual_selected,raw_return,mid_cap,2302,10,0.271921582454617,0.271921582454617,0.32528404503393654,0.754880694143167,0.16817265399289089,1.0
cluster_fair_value_only,raw_return,mid_cap,2302,10,0.26860330564671,0.26860330564671,0.33239552113833887,0.754880694143167,0.17028057627215515,0.9
selected_peer_value,raw_return,mid_cap,2302,10,0.2662293493262489,0.2662293493262489,0.3195068999369379,0.7505422993492408,0.17006353949103656,1.0
sector_relative_value,raw_return,mid_cap,2302,10,0.26183847281896383,0.26183847281896383,0.3279113414192071,0.7527114967462039,0.18136294823917973,1.0
combined_peer_cluster_sector_excess,sector_excess_return,mid_cap,2284,10,0.23922586784341904,0.20292752264750927,0.2710802889555427,0.7527352297592997,0.1564446265918346,0.8
baseline_no_valuation,raw_return,mid_cap,2302,10,0.19530557283761876,0.19530557283761876,0.2582172698958319,0.7093275488069414,0.0740534444076687,0.5
