experiment,regression_bucket,years,annual_topq_mean,annual_topq_std,annual_topq_sharpe,min_year_return,min_return_year
combined_peer_cluster_sector_excess,all,10,0.3373376101478137,0.2735165519463434,1.2333352689163408,0.012859434925979072,2022
sector_aware_residuals,all,10,0.3396418423364548,0.2770306979128624,1.226007965526211,0.016023430980700394,2022
combined_peer_cluster_value,all,10,0.33243201734996225,0.2737704477078899,1.2142728338036821,0.013378843942147391,2022
valuation_residuals,all,10,0.33427822932318174,0.27558682737042917,1.2129688218873491,0.024048764896442726,2022
selected_peer_value,all,10,0.33072715191408314,0.2788643550427435,1.1859785803868346,0.016179563805029006,2022
clean_improved_value,all,10,0.33483931514656845,0.28882424091526726,1.1593186018094674,5.439872544947544e-05,2022
sales_residual_selected,all,10,0.33604400888230906,0.29375284602207635,1.1439685212685715,0.016565954853510232,2022
cluster_relative_value,all,10,0.352714868561034,0.31037709306962974,1.1364075392055633,0.011534689204207658,2022
best_known_current_plus_hist,all,10,0.35343620152523025,0.31144891252782836,1.1348127648178905,0.021643104604908453,2022
residual_plus_self_value,all,10,0.33538509695866214,0.2959803858843188,1.1331328458019658,-0.005305820295951999,2022
baseline_no_valuation,all,10,0.2833180139892565,0.25420929819718446,1.1145068886091376,-0.01561633609423959,2022
sector_relative_value,all,10,0.3463921537344375,0.3112895547910286,1.1127651037535569,0.011291429023032054,2022
cluster_fair_value_only,all,10,0.3513572937342803,0.31752534033516483,1.1065488296568837,0.015325438124656096,2022
self_relative_value,all,10,0.34171636479788636,0.31268206593984044,1.0928556576175112,0.0037873286129809177,2022
best_known_current_plus_hist,large_cap,10,0.42265775238240605,0.3091243498835625,1.3672742135700666,-0.02440743098892918,2022
cluster_relative_value,large_cap,10,0.4345491023944728,0.3236511391122166,1.3426466027169013,-0.0107944570971776,2022
combined_peer_cluster_sector_excess,large_cap,10,0.403912988711513,0.30896112473018383,1.307326250395582,-0.015539228612678884,2022
self_relative_value,large_cap,10,0.43929972175563153,0.3390399350043588,1.2957167472026083,-0.023725386877599633,2022
sales_residual_selected,large_cap,10,0.42135716159652786,0.3266025091154709,1.2901222428991086,-0.022289245661017587,2022
sector_aware_residuals,large_cap,10,0.4201581207515481,0.3302898624649795,1.2720890602450667,-0.021200617225193452,2022
combined_peer_cluster_value,large_cap,10,0.4247650040887768,0.3354668748824661,1.2661906014941031,-0.04317483835370083,2022
cluster_fair_value_only,large_cap,10,0.43720653420217664,0.3473042477081974,1.2588574343309342,-0.008946223899362464,2022
valuation_residuals,large_cap,10,0.4139714460941411,0.32896138282780346,1.2584195826743487,-0.026258070516503293,2022
sector_relative_value,large_cap,10,0.41930539475881473,0.33390757765471174,1.2557528574341354,-0.011262115365490962,2022
selected_peer_value,large_cap,10,0.4181782695399221,0.33441583456074103,1.2504738900572814,-0.02232028244406311,2022
residual_plus_self_value,large_cap,10,0.4210165399294631,0.34724332552877046,1.212453945049493,-0.037573489839923896,2022
baseline_no_valuation,large_cap,10,0.36417134579859967,0.3008944929280111,1.2102958158351123,-0.07415709280752715,2022
clean_improved_value,large_cap,10,0.4229680181352557,0.35038261448182056,1.207160403094718,-0.025965848959921767,2022
combined_peer_cluster_value,mid_cap,10,0.2359161129005638,0.22630823919143697,1.0424548118241483,0.02529942625740898,2019
combined_peer_cluster_sector_excess,mid_cap,10,0.25226426755848996,0.24464238976279695,1.031155180437385,-0.0018799660689107693,2019
sector_aware_residuals,mid_cap,10,0.24852448428813947,0.25192385738090023,0.9865063470839881,0.03852199248407892,2019
clean_improved_value,mid_cap,10,0.23668750112302375,0.24059843863905608,0.9837449588694153,0.007422940513683752,2019
selected_peer_value,mid_cap,10,0.24811973339156687,0.2532233186250269,0.9798455163561876,0.013537171919212386,2019
residual_plus_self_value,mid_cap,10,0.2414923030942185,0.254875509123073,0.94749120433383,0.0060494410070917794,2019
valuation_residuals,mid_cap,10,0.2520793980790178,0.2695024555164458,0.935351025266021,0.008604665246001042,2019
cluster_relative_value,mid_cap,10,0.2525484151938031,0.27288738306458454,0.9254675403370782,0.03235978104053911,2019
sales_residual_selected,mid_cap,10,0.24703238784332235,0.26927969295443366,0.9173821654836932,-0.004828031204410903,2019
sector_relative_value,mid_cap,10,0.25815467027197636,0.28445241163130663,0.9075495925363567,0.04206695492353685,2019
cluster_fair_value_only,mid_cap,10,0.25333953425980116,0.2832741243219195,0.8943264227406102,0.030011596065529597,2019
best_known_current_plus_hist,mid_cap,10,0.25363019932857733,0.2852214313888757,0.8892396272381569,0.03620096771661613,2019
self_relative_value,mid_cap,10,0.2491490352678342,0.28938090228363883,0.8609726257043353,0.002191856920392116,2019
baseline_no_valuation,mid_cap,10,0.19246023927779268,0.23768697110811038,0.8097214516240917,-0.005526988614216465,2022
