symbol,fiscal_period_end,error,total_revenue,gross_profit,operating_income,net_income,ebitda,research_development,selling_general_admin,operating_cash_flow,capital_expenditure,free_cash_flow,total_assets,total_debt,stockholders_equity,cash,current_assets,current_liabilities,prior_revenue,prior_revenue_growth_yoy,revenue_growth_yoy,revenue_growth_accel,gross_margin,operating_margin,net_margin,ebitda_margin,cfo_margin,fcf_margin,capex_to_revenue,rd_to_revenue,sga_to_revenue,debt_to_assets,debt_to_equity,cash_to_assets,current_ratio,asset_turnover,availability_date,current_market_cap,market_cap_bucket,trade_date,trade_close,reporting_lag_days,fwd_3m_return,fwd_3m_return_end_date,fwd_6m_return,fwd_6m_return_end_date,fwd_12m_return,fwd_12m_return_end_date
PG,2023-06-30,,82006000000.0,39246000000.0,18134000000.0,14653000000.0,21823000000.0,,21112000000.0,16848000000.0,-3062000000.0,13786000000.0,120829000000.0,35424000000.0,46777000000.0,8246000000.0,22648000000.0,35756000000.0,80187000000.0,,0.02268447503959492,,0.47857473843377313,0.2211301612077165,0.17868204765504964,0.26611467453600957,0.20544838182572006,0.16810965051337706,0.037338731312343,0.0,0.2574445772260566,0.2931746517806156,0.757295251940056,0.06824520603497505,0.6334041839131894,0.6786946842231584,2023-09-28,329659777024.0,large_cap,2023-09-28,136.23704528808594,90,0.0021168332935539436,2023-12-28,0.11120722106717285,2024-04-01,0.21353124641944365,2024-09-30
PH,2023-06-30,,19065000000.0,6429000000.0,3075000000.0,2083000000.0,4072000000.0,,3354000000.0,2980000000.0,-381000000.0,2599000000.0,29964472000.0,12559459000.0,10326888000.0,475182000.0,6834229000.0,7735370000.0,15861608000.0,,0.20195884301263778,,0.33721479150275374,0.16129032258064516,0.1092578022554419,0.21358510359297142,0.15630736952530816,0.13632310516653554,0.01998426435877262,0.0,0.17592446892210858,0.41914501280049254,1.2161901048989783,0.01585818031434026,0.8835038272248128,0.6362534938042625,2023-09-28,108777250816.0,large_cap,2023-09-28,381.4530944824219,90,0.18141334962204358,2023-12-28,0.41321697626016496,2024-04-01,0.629752337201902,2024-09-30
TEAM,2023-06-30,,3534647000.0,2900882000.0,-345222000.0,-486761000.0,-220066000.0,1869881000.0,1366323000.0,868111000.0,-25812000.0,842299000.0,4106779000.0,1282358000.0,654672000.0,2102550000.0,2736364000.0,2027590000.0,2802882000.0,,0.2610759211411682,,0.8206992098503755,-0.09766802738717614,-0.13771134713027922,-0.062259682508606945,0.2456004800479369,0.2382979120687299,0.007302567979206976,0.5290149200188873,0.38655147175941473,0.31225395863765737,1.9587793582129678,0.5119705735322013,1.349564754215596,0.8606859536390928,2023-09-28,22194536448.0,mid_cap,2023-09-28,196.94000244140625,90,0.22484004382233658,2023-12-28,-0.018127385396376705,2024-04-01,-0.19361229008899283,2024-09-30
CSCO,2023-07-31,,56998000000.0,35753000000.0,15562000000.0,12613000000.0,17471000000.0,7551000000.0,12358000000.0,19886000000.0,-849000000.0,19037000000.0,101852000000.0,8391000000.0,44353000000.0,10123000000.0,43348000000.0,31309000000.0,51557000000.0,,0.10553368116841555,,0.6272676234253833,0.2730271237587284,0.2212884662619741,0.3065195270009474,0.3488894347170076,0.33399417523421876,0.01489525948278887,0.13247833257307273,0.21681462507456403,0.08238424380473629,0.18918675174170857,0.09938930997918549,1.3845220224216679,0.5596159132859443,2023-10-29,466916868096.0,large_cap,2023-10-30,48.168540954589844,90,-0.01938197339783798,2024-01-31,-0.07717389290045673,2024-05-01,0.11304026088662988,2024-10-30
INTU,2023-07-31,,14368000000.0,11225000000.0,3141000000.0,2384000000.0,4043000000.0,2539000000.0,5062000000.0,5046000000.0,-260000000.0,4786000000.0,27780000000.0,6689000000.0,17269000000.0,2848000000.0,5557000000.0,3790000000.0,12726000000.0,,0.1290271884331291,,0.78125,0.2186108017817372,0.16592427616926503,0.2813891982182628,0.3511971046770601,0.33310133630289535,0.018095768374164812,0.17671213808463251,0.3523106904231626,0.2407847372210223,0.38734147895072096,0.10251979841612671,1.46622691292876,0.5172066234701224,2023-10-29,109361717248.0,large_cap,2023-10-30,479.05657958984375,90,0.29698696486357323,2024-01-31,0.26561490498687523,2024-05-01,0.28168793365357514,2024-10-30
PANW,2023-07-31,,6892700000.0,4983000000.0,387300000.0,439700000.0,869000000.0,1604000000.0,2991700000.0,2777500000.0,-146300000.0,2631200000.0,14501100000.0,2270700000.0,1748400000.0,1135300000.0,6048000000.0,7737500000.0,5501500000.0,,0.2528764882304826,,0.722938761298185,0.05618988204912444,0.06379212790343407,0.12607541311822654,0.4029625545867367,0.3817372002263264,0.02122535436041029,0.232709968517417,0.43403891073164363,0.15658812090117302,1.2987302676733012,0.07829061243629794,0.7816478190630048,0.47532256173669585,2023-10-29,196935139328.0,large_cap,2023-10-30,119.2750015258789,90,0.4190316723331964,2024-01-31,0.20452732199524193,2024-05-01,0.5070635303560347,2024-10-30
ZS,2023-07-31,,1616952000.0,1254120000.0,-234623000.0,-202335000.0,-109207000.0,350786000.0,1137184000.0,462343000.0,-128724000.0,333619000.0,3608317000.0,1210545000.0,725112000.0,1262206000.0,2890314000.0,1535868000.0,1090946000.0,,0.4821558537269488,,0.7756074391818681,-0.14510201910755546,-0.12513358467041694,-0.06753880139917573,0.2859348947897031,0.20632585259178998,0.07960904219791311,0.216942741652195,0.7032886566824494,0.33548743084379784,1.6694593386952636,0.34980463191011213,1.881876567517521,0.4481180561463973,2023-10-29,25895344128.0,mid_cap,2023-10-30,156.80999755859375,90,0.5029016123852987,2024-01-31,0.09884573841797462,2024-05-01,0.1911230258740646,2024-10-30
ACN,2023-08-31,,64111745000.0,20731607000.0,9873035000.0,6871557000.0,10248473000.0,,10858572000.0,9524268000.0,-528172000.0,8996096000.0,51245305000.0,3149034000.0,25692839000.0,9045032000.0,23381931000.0,18009038000.0,61594305000.0,,0.04087131107332076,,0.32336675596647696,0.15399729020010297,0.10718093853162163,0.159853284292917,0.1485573041257885,0.14031900083206283,0.008238303293725666,0.0,0.16936946576637402,0.0614501952910613,0.12256465702369443,0.1765045988115399,1.2983442535908913,1.2510754887691662,2023-11-29,103897767936.0,large_cap,2023-11-29,320.7283630371094,90,0.14712092065684157,2024-03-01,-0.14676353404359643,2024-05-31,0.10456374902743937,2024-11-29
AZO,2023-08-31,,17457209000.0,9070422000.0,3473986000.0,2528426000.0,3983617000.0,,5596436000.0,2940788000.0,-796657000.0,2144131000.0,15985878000.0,10929767000.0,-4349894000.0,277054000.0,6779426000.0,8511856000.0,16252230000.0,,0.07414237923041944,,0.5195803063364826,0.19900008071164182,0.14483563781587308,0.22819323524167007,0.1684569394798447,0.12282209601775404,0.045634843462090645,0.0,0.32058022562484073,0.6837139004814125,2.5126513427683523,0.01733117192562085,0.7964685962732452,1.0920394237964284,2023-11-29,55024222208.0,large_cap,2023-11-29,2596.510009765625,90,0.1692579573411388,2024-03-01,0.06679347700888694,2024-05-31,0.22069240139328405,2024-11-29
COST,2023-08-31,,242290000000.0,29704000000.0,8114000000.0,6292000000.0,10724000000.0,,21590000000.0,11068000000.0,-4323000000.0,6745000000.0,68994000000.0,8884000000.0,25058000000.0,13700000000.0,35879000000.0,33583000000.0,226954000000.0,,0.06757316460604357,,0.12259688802674482,0.033488794419910026,0.025968880267448098,0.04426100953402947,0.04568079574064138,0.02783854059185274,0.017842255148788642,0.0,0.08910809360683479,0.1287648201292866,0.354537473062495,0.19856799141954373,1.0683679242473871,3.5117546453314783,2023-11-29,465369300992.0,large_cap,2023-11-29,566.8870849609375,90,0.30576887422509214,2024-03-01,0.41335738906131203,2024-05-31,0.700721090436373,2024-11-29
MU,2023-08-31,,15540000000.0,-1416000000.0,-5405000000.0,-5833000000.0,2486000000.0,3114000000.0,920000000.0,1559000000.0,-7676000000.0,-6117000000.0,64254000000.0,13933000000.0,44120000000.0,8577000000.0,21244000000.0,4765000000.0,30758000000.0,,-0.4947655894401457,,-0.09111969111969112,-0.3478120978120978,-0.37535392535392537,0.15997425997425999,0.10032175032175032,-0.39362934362934365,0.49395109395109393,0.20038610038610039,0.059202059202059204,0.216842531204283,0.3157978241160471,0.1334858530208236,4.458342077649528,0.2418526473060043,2023-11-29,817223696384.0,large_cap,2023-11-29,75.98062896728516,90,0.2423708443464776,2024-03-01,0.6336969030718451,2024-05-31,0.2827270752800526,2024-11-29
AAPL,2023-09-30,,383285000000.0,169148000000.0,114301000000.0,96995000000.0,125820000000.0,29915000000.0,24932000000.0,110543000000.0,-10959000000.0,99584000000.0,352583000000.0,111088000000.0,62146000000.0,29965000000.0,143566000000.0,145308000000.0,394328000000.0,,-0.02800460530319937,,0.4413112957720756,0.2982141226502472,0.2530623426432028,0.3282674772036474,0.28840940814276583,0.25981710737440805,0.02859230076835775,0.07804897139204509,0.06504820172978332,0.3150690759338936,1.7875325845589418,0.08498708105609176,0.9880116717592975,1.087077369016657,2023-12-29,4409585041408.0,large_cap,2023-12-29,190.37506103515625,90,-0.12192672256945503,2024-04-02,0.14709508015921235,2024-07-02,0.3070525839944471,2024-12-31
APD,2023-09-30,,12600000000.0,3767000000.0,2739200000.0,2300200000.0,4418200000.0,105600000.0,957000000.0,3206300000.0,-4626400000.0,-1420100000.0,32002500000.0,11031600000.0,14312900000.0,1617000000.0,5200500000.0,3895800000.0,12698600000.0,,-0.007764635471626757,,0.298968253968254,0.2173968253968254,0.18255555555555555,0.35065079365079366,0.25446825396825395,-0.11270634920634921,0.36717460317460315,0.008380952380952381,0.07595238095238095,0.3447105694867588,0.7707452717478638,0.05052730255448793,1.3348991221315263,0.3937192406843215,2023-12-29,65775423488.0,large_cap,2023-12-29,258.1552734375,90,-0.11760748493480255,2024-04-02,-0.07017102734621772,2024-07-02,0.08087814591206399,2024-12-31
EMR,2023-09-30,,15165000000.0,7427000000.0,2759000000.0,13219000000.0,4215000000.0,,4186000000.0,637000000.0,-363000000.0,274000000.0,42746000000.0,8561000000.0,20689000000.0,8051000000.0,13819000000.0,5032000000.0,13804000000.0,,0.09859461025789629,,0.48974612594790634,0.18193208044840092,0.8716782063963073,0.27794263105835804,0.04200461589185625,0.018067919551599077,0.02393669634025717,0.0,0.2760303330036268,0.20027604922097975,0.413794770167722,0.18834510831422824,2.7462241653418125,0.3547700369625228,2023-12-29,74521305088.0,large_cap,2023-12-29,93.192138671875,90,0.1695521364106729,2024-04-02,0.13343323880381952,2024-07-02,0.29731221264556007,2024-12-31
QCOM,2023-09-30,,35820000000.0,19951000000.0,8650000000.0,7232000000.0,9946000000.0,8818000000.0,2483000000.0,11299000000.0,-1450000000.0,9849000000.0,51040000000.0,15398000000.0,21581000000.0,8450000000.0,22464000000.0,9628000000.0,44200000000.0,,-0.18959276018099547,,0.5569793411501954,0.24148520379676158,0.20189838079285316,0.27766610831937466,0.3154383026242323,0.2749581239530988,0.040480178671133446,0.24617532104969292,0.06931881630374093,0.3016849529780564,0.7134979843380752,0.1655564263322884,2.333194848358953,0.7018025078369906,2023-12-29,212370472960.0,large_cap,2023-12-29,137.8426055908203,90,0.18861085321740823,2024-04-02,0.39667563055609945,2024-07-02,0.08310469751273386,2024-12-31
SBUX,2023-09-30,,35975600000.0,9846200000.0,5502900000.0,4124500000.0,7402300000.0,,2441300000.0,6008700000.0,-2333600000.0,3675100000.0,29445500000.0,24599800000.0,-7994800000.0,3551500000.0,7303400000.0,9345300000.0,32250300000.0,,0.11551210376337595,,0.27369105727215115,0.1529620075829173,0.11464714973482026,0.20575890325665172,0.16702153681939982,0.102155349737044,0.06486618708235582,0.0,0.06785988280945975,0.8354349561053471,3.076975033771952,0.12061265728209744,0.7815051416219918,1.221769030921533,2023-12-29,121737052160.0,large_cap,2023-12-29,90.03768157958984,90,-0.06429235331785099,2024-04-02,-0.18884839187558722,2024-07-02,-0.024788036082779574,2024-12-31
V,2023-09-30,,32653000000.0,26086000000.0,21927000000.0,17273000000.0,22624000000.0,,3216000000.0,20755000000.0,-1059000000.0,19696000000.0,90499000000.0,20463000000.0,38733000000.0,16286000000.0,33532000000.0,23098000000.0,29310000000.0,,0.11405663596042315,,0.7988852479098398,0.6715156340918139,0.5289866168499066,0.6928612991149359,0.6356230667932502,0.6031911309833706,0.032431935809879645,0.0,0.09849018466909626,0.22611299572370966,0.5283091937107892,0.17995778958883524,1.451727422287644,0.3608106166918971,2023-12-29,619492999168.0,large_cap,2023-12-29,255.49520874023438,90,0.07147804717759665,2024-04-02,0.03409850876730913,2024-07-02,0.22318335483937246,2024-12-31
AMAT,2023-10-31,,26517000000.0,12384000000.0,7654000000.0,6856000000.0,8469000000.0,3102000000.0,1628000000.0,8700000000.0,-1106000000.0,7594000000.0,30729000000.0,5999000000.0,16349000000.0,6132000000.0,19147000000.0,7372000000.0,25785000000.0,,0.028388598022105915,,0.4670211562393936,0.28864502017573634,0.2585511181506204,0.3193800203642946,0.32809141305577555,0.28638232077535164,0.04170909228042388,0.11698155899988687,0.06139457706377041,0.1952227537505288,0.36693375741635575,0.1995509128185102,2.5972599023331524,0.8629307819974616,2024-01-29,346505936896.0,large_cap,2024-01-29,165.3115692138672,90,0.22036949160959174,2024-04-29,0.17184661531961964,2024-07-30,0.08700713199239529,2025-01-30
AVGO,2023-10-31,,35819000000.0,24690000000.0,16451000000.0,14082000000.0,20554000000.0,5253000000.0,1592000000.0,18085000000.0,-452000000.0,17633000000.0,72861000000.0,39229000000.0,23988000000.0,14189000000.0,20847000000.0,7405000000.0,33203000000.0,,0.07878806131976024,,0.6892989754041151,0.459281386973394,0.39314330383316115,0.5738295318127251,0.5048996342723135,0.49228063318350596,0.012619001088807615,0.14665401044138585,0.044445685250844524,0.5384087509092655,1.6353593463398366,0.19474067059194905,2.8152599594868333,0.4916073070641358,2024-01-29,2013133668352.0,large_cap,2024-01-29,118.83319854736328,90,0.10392023988641275,2024-04-29,0.18732487550322752,2024-07-30,0.7947952917700996,2025-01-30
DE,2023-10-31,,60248000000.0,22306000000.0,14591000000.0,10166000000.0,17476000000.0,2177000000.0,4309000000.0,8589000000.0,-4468000000.0,4121000000.0,104087000000.0,63692000000.0,21785000000.0,7458000000.0,76369000000.0,37782000000.0,51282000000.0,,0.17483717483717487,,0.3702363563935732,0.24218231310582924,0.16873589164785552,0.29006772009029347,0.14256074890452794,0.06840061080865754,0.0741601380958704,0.03613397955118842,0.07152104634178728,0.6119111896778656,2.923663070920358,0.07165159914302459,2.0213064422211637,0.5788234842007167,2024-01-29,151754391552.0,large_cap,2024-01-29,385.364501953125,90,0.011980638637957508,2024-04-29,-0.058016931768003266,2024-07-30,0.22515478763067387,2025-01-30
SNPS,2023-10-31,,5318014000.0,4287171000.0,1326330000.0,1229888000.0,1555293000.0,1849935000.0,1101611000.0,1703274000.0,-191822000.0,1511452000.0,10333131000.0,677596000.0,6147308000.0,1433966000.0,3430624000.0,2985451000.0,4615714000.0,,0.15215414126611826,,0.8061601567803319,0.24940325467364322,0.2312682892523412,0.29245748506867414,0.32028385032457607,0.2842136180912649,0.036070232233311156,0.34786200261977496,0.20714706655529677,0.06557509045419051,0.11022646010253594,0.13877362050282727,1.1491141539419003,0.5146565934371683,2024-01-29,96244596736.0,large_cap,2024-01-29,539.9000244140625,90,0.009001639436554854,2024-04-29,-0.025949266775510238,2024-07-30,-0.025078789498471643,2025-01-30
ADBE,2023-11-30,,19409000000.0,17055000000.0,6650000000.0,5428000000.0,7784000000.0,3473000000.0,6764000000.0,7302000000.0,-360000000.0,6942000000.0,29779000000.0,4080000000.0,16518000000.0,7141000000.0,11084000000.0,8251000000.0,17606000000.0,,0.10240826990798602,,0.878716059559998,0.3426245556185275,0.2796640733680251,0.4010510587871606,0.37621721881601317,0.3576691225720027,0.01854809624401051,0.17893760626513472,0.34849811942913084,0.13700930185701332,0.24700326916091536,0.2397998589610128,1.3433523209307963,0.6517680244467577,2024-02-28,100079919104.0,large_cap,2024-02-28,551.8200073242188,90,-0.13450038098581585,2024-05-29,0.01580220105720387,2024-08-28,-0.20133377664619445,2025-03-03
ABBV,2023-12-31,,54318000000.0,33903000000.0,13535000000.0,4863000000.0,17172000000.0,7675000000.0,12872000000.0,22839000000.0,-777000000.0,22062000000.0,134711000000.0,59385000000.0,10360000000.0,12814000000.0,33002000000.0,37841000000.0,58054000000.0,,-0.06435387742446685,,0.6241577377664862,0.24918075039581722,0.0895283331492323,0.31613829669722743,0.420468353032144,0.40616370264000884,0.014304650392135203,0.1412975440921978,0.23697485179866712,0.4408325971895391,5.732142857142857,0.09512215038118639,0.8721228297349436,0.40321874234472316,2024-03-30,371715538944.0,large_cap,2024-04-01,167.3575439453125,90,-0.048677309074517505,2024-07-01,0.1128309918431385,2024-09-30,0.17650254231786744,2025-04-02
ABT,2023-12-31,,40109000000.0,22134000000.0,6478000000.0,5723000000.0,10544000000.0,2741000000.0,10949000000.0,7261000000.0,-2202000000.0,5059000000.0,73214000000.0,15628000000.0,38603000000.0,6896000000.0,22670000000.0,13841000000.0,43653000000.0,,-0.08118571461297042,,0.5518462190530804,0.16150988556184398,0.14268618015906653,0.2628836420753447,0.18103168864843303,0.12613129222867686,0.054900396419756164,0.06833877683312972,0.27298112643047695,0.21345644275684977,0.40483900215009194,0.09418963586199361,1.6378874358789104,0.5478323817849046,2024-03-30,147130957824.0,large_cap,2024-04-01,107.15582275390625,90,-0.0747452070212532,2024-07-01,0.02759640211182135,2024-09-30,0.20098670514074346,2025-04-02
AEP,2023-12-31,,18982000000.0,11128000000.0,3735000000.0,2208000000.0,7203000000.0,,,5012000000.0,-7506000000.0,-2494000000.0,96684000000.0,43608500000.0,25246700000.0,330100000.0,6082100000.0,11583600000.0,19639500000.0,,-0.03347844904401842,,0.5862395954061743,0.1967653566536719,0.1163207248972711,0.3794647560847118,0.26403961647876933,-0.1313876303866821,0.3954272468654515,0.0,0.0,0.45104153737950436,1.7272950524226929,0.003414215382069422,0.5250612935529542,0.19633031318522196,2024-03-30,68094746624.0,large_cap,2024-04-01,78.22683715820312,90,0.042292527279869985,2024-07-01,0.23634046167164136,2024-09-30,0.3233195635220807,2025-04-02
AMD,2023-12-31,,22680000000.0,10460000000.0,401000000.0,854000000.0,4051000000.0,5872000000.0,2318000000.0,1667000000.0,-546000000.0,1121000000.0,67885000000.0,3003000000.0,55892000000.0,3933000000.0,16768000000.0,6689000000.0,23601000000.0,,-0.039023770179229644,,0.46119929453262787,0.017680776014109348,0.037654320987654324,0.17861552028218694,0.07350088183421517,0.04942680776014109,0.024074074074074074,0.2589065255731922,0.10220458553791888,0.04423657656330559,0.05372861948042654,0.05793621565883479,2.506802212587831,0.33409442439419607,2024-03-30,691537707008.0,large_cap,2024-04-01,183.33999633789062,90,-0.13990397299458945,2024-07-01,-0.10505069756486896,2024-09-30,-0.43842041485197714,2025-04-02
AMGN,2023-12-31,,28190000000.0,19739000000.0,7897000000.0,6717000000.0,14801000000.0,4784000000.0,6179000000.0,8471000000.0,-1112000000.0,7359000000.0,97154000000.0,64613000000.0,6232000000.0,10944000000.0,30332000000.0,18392000000.0,26323000000.0,,0.07092656612088288,,0.7002128414331323,0.28013479957431714,0.23827598439162823,0.5250443419652359,0.3004966300106421,0.2610500177367861,0.03944661227385598,0.16970556935083364,0.2191912025540972,0.6650575375177553,10.367939666238767,0.11264590238178562,1.64919530230535,0.2901578936533751,2024-03-30,176207396864.0,large_cap,2024-04-01,264.3163757324219,90,0.10662432879631378,2024-07-01,0.1544585636105451,2024-09-30,0.11298320690432728,2025-04-02
AMT,2023-12-31,,10012200000.0,7450700000.0,3536800000.0,1483300000.0,6004000000.0,,946000000.0,4722400000.0,-1798100000.0,2924300000.0,66027600000.0,46307000000.0,4198200000.0,1753700000.0,3710000000.0,7249300000.0,9645400000.0,,0.03802849026478938,,0.7441621222109027,0.35324903617586545,0.14814925790535546,0.5996684045464533,0.47166456922554484,0.2920736701224506,0.17959089910309423,0.0,0.09448472863107009,0.7013279295324986,11.030203420513553,0.026560105168141807,0.5117735505497083,0.15163658833578686,2024-03-30,79495331840.0,large_cap,2024-04-01,178.5740509033203,90,0.022682162028309083,2024-07-01,0.22582700598281003,2024-09-30,0.16718791348803808,2025-04-02
