symbol,fiscal_period_end,error,total_revenue,gross_profit,operating_income,net_income,ebitda,research_development,selling_general_admin,operating_cash_flow,capital_expenditure,free_cash_flow,total_assets,total_debt,stockholders_equity,cash,current_assets,current_liabilities
AMD,2024-12-31,,25785000000.0,12725000000.0,2086000000.0,1641000000.0,5145000000.0,6456000000.0,2735000000.0,3041000000.0,-636000000.0,2405000000.0,69226000000.0,2212000000.0,57568000000.0,3787000000.0,19049000000.0,7281000000.0
AMD,2025-12-31,,34639000000.0,17152000000.0,3694000000.0,4335000000.0,7275000000.0,8091000000.0,4144000000.0,7709000000.0,-974000000.0,6735000000.0,76926000000.0,3847000000.0,62999000000.0,5539000000.0,26947000000.0,9455000000.0
AMGN,2021-12-31,,,,,,,,,,,,,,,,,
AMGN,2022-12-31,,26323000000.0,19917000000.0,9566000000.0,6552000000.0,12169000000.0,4434000000.0,5414000000.0,9721000000.0,-936000000.0,8785000000.0,65121000000.0,38945000000.0,3661000000.0,7629000000.0,22186000000.0,15687000000.0
AMGN,2023-12-31,,28190000000.0,19739000000.0,7897000000.0,6717000000.0,14801000000.0,4784000000.0,6179000000.0,8471000000.0,-1112000000.0,7359000000.0,97154000000.0,64613000000.0,6232000000.0,10944000000.0,30332000000.0,18392000000.0
AMGN,2024-12-31,,33424000000.0,20566000000.0,7258000000.0,4090000000.0,13356000000.0,5964000000.0,7096000000.0,11490000000.0,-1096000000.0,10394000000.0,91839000000.0,60099000000.0,5877000000.0,11973000000.0,29030000000.0,23099000000.0
AMGN,2025-12-31,,36751000000.0,24714000000.0,9080000000.0,7711000000.0,16898000000.0,7272000000.0,7050000000.0,9958000000.0,-1858000000.0,8100000000.0,90586000000.0,54604000000.0,8658000000.0,9129000000.0,29057000000.0,25489000000.0
AMT,2021-12-31,,,,,,,,,,,,,,,,,
AMT,2022-12-31,,9645400000.0,7076200000.0,2922700000.0,1765800000.0,6577100000.0,,902100000.0,3696200000.0,-1873600000.0,1822600000.0,67194500000.0,47051000000.0,5572400000.0,2028400000.0,3622300000.0,8311900000.0
AMT,2023-12-31,,10012200000.0,7450700000.0,3536800000.0,1483300000.0,6004000000.0,,946000000.0,4722400000.0,-1798100000.0,2924300000.0,66027600000.0,46307000000.0,4198200000.0,1753700000.0,3710000000.0,7249300000.0
AMT,2024-12-31,,10127200000.0,7552800000.0,4603000000.0,2255000000.0,7154100000.0,,933400000.0,5290500000.0,-1590000000.0,3700500000.0,61077400000.0,43954100000.0,3382200000.0,1999600000.0,3178800000.0,7075600000.0
AMT,2025-12-31,,10644600000.0,7896500000.0,4929200000.0,2529500000.0,6445200000.0,,940700000.0,5464000000.0,-1680400000.0,3783600000.0,63190400000.0,44963900000.0,3652500000.0,1474800000.0,2741800000.0,6913800000.0
AMZN,2022-12-31,,513983000000.0,225152000000.0,12248000000.0,-2722000000.0,38352000000.0,,54129000000.0,46752000000.0,-63645000000.0,-16893000000.0,462675000000.0,140118000000.0,146043000000.0,53888000000.0,146791000000.0,155393000000.0
AMZN,2023-12-31,,574785000000.0,270046000000.0,36852000000.0,30425000000.0,89402000000.0,,56186000000.0,84946000000.0,-52729000000.0,32217000000.0,527854000000.0,135611000000.0,201875000000.0,73387000000.0,172351000000.0,164917000000.0
AMZN,2024-12-31,,637959000000.0,311671000000.0,68593000000.0,59248000000.0,123815000000.0,,55266000000.0,115877000000.0,-82999000000.0,32878000000.0,624894000000.0,130900000000.0,285970000000.0,78779000000.0,190867000000.0,179431000000.0
AMZN,2025-12-31,,716924000000.0,360510000000.0,79975000000.0,77670000000.0,165341000000.0,,58301000000.0,139514000000.0,-131819000000.0,7695000000.0,818042000000.0,152987000000.0,411065000000.0,86810000000.0,229083000000.0,218005000000.0
ANET,2022-12-31,,4381310000.0,2675696000.0,1527106000.0,1352446000.0,1589806000.0,728394000.0,420196000.0,492813000.0,-44644000.0,448169000.0,6775410000.0,43964000.0,4885820000.0,671707000.0,5550748000.0,1293531000.0
