forward_window,regression_bucket,test_year,feature,standardized_coef
fwd_3m_return,low_cap,2025,asset_turnover,0.09137669560277085
fwd_6m_return,all,2025,revenue_growth_yoy,0.004498282613602821
fwd_6m_return,all,2025,revenue_growth_accel,0.0
fwd_6m_return,all,2025,gross_margin,-0.025556591175800614
fwd_6m_return,all,2025,operating_margin,0.03547151066016315
fwd_6m_return,all,2025,net_margin,-0.04252998597250772
fwd_6m_return,all,2025,ebitda_margin,0.05441671762889294
fwd_6m_return,all,2025,cfo_margin,0.009934670500798461
fwd_6m_return,all,2025,fcf_margin,0.0024573537374897687
fwd_6m_return,all,2025,capex_to_revenue,0.014257907685051556
fwd_6m_return,all,2025,rd_to_revenue,-0.013651167839550489
fwd_6m_return,all,2025,sga_to_revenue,0.027946941470855552
fwd_6m_return,all,2025,debt_to_assets,-0.029872795450142084
fwd_6m_return,all,2025,debt_to_equity,0.0060064084183698956
fwd_6m_return,all,2025,cash_to_assets,-0.00637436215092852
fwd_6m_return,all,2025,current_ratio,-0.02256044665486348
fwd_6m_return,all,2025,asset_turnover,0.025405112555161827
fwd_6m_return,large_cap,2025,revenue_growth_yoy,0.02328892607120496
fwd_6m_return,large_cap,2025,revenue_growth_accel,0.0
fwd_6m_return,large_cap,2025,gross_margin,-0.005034465348617761
fwd_6m_return,large_cap,2025,operating_margin,-0.008366897950742283
fwd_6m_return,large_cap,2025,net_margin,-0.018126174013285465
fwd_6m_return,large_cap,2025,ebitda_margin,0.03263282226457628
fwd_6m_return,large_cap,2025,cfo_margin,0.012708393010756675
fwd_6m_return,large_cap,2025,fcf_margin,-0.007130544449352465
fwd_6m_return,large_cap,2025,capex_to_revenue,0.007620186126000751
fwd_6m_return,large_cap,2025,rd_to_revenue,-0.037344617790508905
fwd_6m_return,large_cap,2025,sga_to_revenue,-0.003347232078957508
fwd_6m_return,large_cap,2025,debt_to_assets,-0.004507487529467092
fwd_6m_return,large_cap,2025,debt_to_equity,0.003448627556100797
fwd_6m_return,large_cap,2025,cash_to_assets,0.007392385558119604
fwd_6m_return,large_cap,2025,current_ratio,0.034193088366640305
fwd_6m_return,large_cap,2025,asset_turnover,0.018840247168936498
fwd_6m_return,mid_cap,2025,revenue_growth_yoy,-0.032087256490618485
fwd_6m_return,mid_cap,2025,revenue_growth_accel,0.0
fwd_6m_return,mid_cap,2025,gross_margin,0.03520146307714509
fwd_6m_return,mid_cap,2025,operating_margin,0.019801539803051087
fwd_6m_return,mid_cap,2025,net_margin,0.010663971897060065
fwd_6m_return,mid_cap,2025,ebitda_margin,0.0189226300567623
fwd_6m_return,mid_cap,2025,cfo_margin,0.021036419575982707
fwd_6m_return,mid_cap,2025,fcf_margin,0.014802385962803848
fwd_6m_return,mid_cap,2025,capex_to_revenue,0.004313414297893033
fwd_6m_return,mid_cap,2025,rd_to_revenue,-0.0017051719694376564
fwd_6m_return,mid_cap,2025,sga_to_revenue,0.00035274720121175504
fwd_6m_return,mid_cap,2025,debt_to_assets,-0.007075363161691322
fwd_6m_return,mid_cap,2025,debt_to_equity,0.018056299058505573
fwd_6m_return,mid_cap,2025,cash_to_assets,0.018724849991515625
fwd_6m_return,mid_cap,2025,current_ratio,-0.06432831632455688
fwd_6m_return,mid_cap,2025,asset_turnover,-0.027309903084410284
fwd_6m_return,low_cap,2025,revenue_growth_yoy,-0.06211741581807645
fwd_6m_return,low_cap,2025,revenue_growth_accel,0.0
fwd_6m_return,low_cap,2025,gross_margin,-0.0069085230795698695
fwd_6m_return,low_cap,2025,operating_margin,0.015543140994167044
fwd_6m_return,low_cap,2025,net_margin,-0.04635799519658051
fwd_6m_return,low_cap,2025,ebitda_margin,-0.005851139657941791
fwd_6m_return,low_cap,2025,cfo_margin,0.015938844988108825
fwd_6m_return,low_cap,2025,fcf_margin,-0.008735844884432433
fwd_6m_return,low_cap,2025,capex_to_revenue,0.03283091148458532
fwd_6m_return,low_cap,2025,rd_to_revenue,-0.05399582011753842
fwd_6m_return,low_cap,2025,sga_to_revenue,0.06088939894334999
fwd_6m_return,low_cap,2025,debt_to_assets,0.016230268926668536
fwd_6m_return,low_cap,2025,debt_to_equity,0.008830284273667005
fwd_6m_return,low_cap,2025,cash_to_assets,0.010326791246647263
fwd_6m_return,low_cap,2025,current_ratio,-0.10665098959012179
fwd_6m_return,low_cap,2025,asset_turnover,0.09551110888303642
fwd_12m_return,all,2025,revenue_growth_yoy,0.02335042851955467
fwd_12m_return,all,2025,revenue_growth_accel,0.0
