forward_window,regression_bucket,condition,observations,avg_prediction,mean_return,median_return,hit_rate,avg_revenue_growth,avg_operating_margin,avg_fcf_margin
fwd_12m_return,all,rev_growth_30pct_model_top_half,6,0.37820524946442946,0.3743622799769679,0.23290376366281357,0.5,0.5934701353955737,0.27138167287263576,0.27236301037687727
fwd_12m_return,all,model_top_quintile,30,0.3597301587486987,0.21987067507355276,0.23331354836300544,0.7,0.17797278593265306,0.24440455490197677,0.21375718599163754
fwd_12m_return,all,positive_fcf_top_model,30,0.3597301587486987,0.21987067507355276,0.23331354836300544,0.7,0.17797278593265306,0.24440455490197677,0.21375718599163754
fwd_12m_return,all,rev_growth_30pct_positive_margin,9,0.27506889132324885,0.16931884255116053,0.004412760752936951,0.5555555555555556,0.5779112453557693,0.26915974026022904,0.25840353765796187
fwd_12m_return,all,rev_growth_30pct_positive_fcf,11,0.24740905907427593,0.10997356751369597,-0.15422499501291853,0.45454545454545453,0.5530637007630957,0.2021494708263901,0.24059677527807324
fwd_12m_return,all,revenue_growth_30pct,12,0.22025133640125039,0.06111219950821054,-0.15708017015489456,0.4166666666666667,0.5327469082635751,0.16668418825763814,0.21311250452356212
fwd_12m_return,large_cap,rev_growth_30pct_positive_margin,6,0.3796021294480653,0.4583616133569801,0.39215440512029387,0.8333333333333334,0.6843474676661986,0.3321587459570119,0.29734248078852077
fwd_12m_return,large_cap,revenue_growth_30pct,7,0.3718204629284128,0.3708492407327088,0.16427628790204207,0.7142857142857143,0.6665869600606799,0.3321587459570119,0.29956612102746655
fwd_12m_return,large_cap,rev_growth_30pct_model_top_half,7,0.3718204629284128,0.3708492407327088,0.16427628790204207,0.7142857142857143,0.6665869600606799,0.3321587459570119,0.29956612102746655
fwd_12m_return,large_cap,rev_growth_30pct_positive_fcf,7,0.3718204629284128,0.3708492407327088,0.16427628790204207,0.7142857142857143,0.6665869600606799,0.3321587459570119,0.29956612102746655
fwd_12m_return,large_cap,model_top_quintile,24,0.3679368107465912,0.34507314425450913,0.23739148563243806,0.75,0.2818268980592739,0.23844913754359132,0.21773543294644546
fwd_12m_return,large_cap,positive_fcf_top_model,24,0.3679368107465912,0.34507314425450913,0.23739148563243806,0.75,0.2818268980592739,0.23844913754359132,0.21773543294644546
fwd_3m_return,all,rev_growth_30pct_positive_margin,10,0.037014335111057416,0.32926627503560146,0.26107707532270485,0.8,0.5689712219312593,0.26848647584948787,0.23702570195091685
fwd_3m_return,all,rev_growth_30pct_model_top_half,8,0.06833221831065119,0.3075717892101628,0.26107707532270485,0.625,0.6001733137973093,0.2635364678955087,0.2240178647706976
fwd_3m_return,all,rev_growth_30pct_positive_fcf,12,0.030507711334479992,0.2799477732375207,0.18584067151993433,0.75,0.5476843099587269,0.20762925494697437,0.22426580905385976
fwd_3m_return,all,revenue_growth_30pct,13,0.02919337245105362,0.24999372573212936,0.14745978229547396,0.6923076923076923,0.5293441469441208,0.1746627639155697,0.20015194114386592
fwd_3m_return,all,positive_fcf_top_model,35,0.07582994672840683,0.13072470780879755,0.04935012720806453,0.6285714285714286,0.21595455506147937,0.21406572432604773,0.2111915452721615
fwd_3m_return,all,model_top_quintile,37,0.07519638394826249,0.11898972168713363,0.034222465991004425,0.5945945945945946,0.20969789910877867,0.21032098329370358,0.1971917007397307
fwd_3m_return,large_cap,rev_growth_30pct_model_top_half,7,0.08793780200630437,0.36923349570708625,0.2242215607443947,0.8571428571428571,0.6735384818267539,0.3274354844201438,0.252165434811323
fwd_3m_return,large_cap,rev_growth_30pct_positive_margin,7,0.08482777821063846,0.34565090720118974,0.2242215607443947,0.7142857142857143,0.6563708310154086,0.32219708169926975,0.2612400093312337
fwd_3m_return,large_cap,revenue_growth_30pct,8,0.0780034960316259,0.3150240651072998,0.18584067151993433,0.75,0.6443274664419285,0.32219708169926975,0.2676985034724721
