forward_window,regression_bucket,observations,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
fwd_12m_return,all,150,-0.05121823278683757,0.0250965428904894,0.16234143739721765,0.21987067507355276,0.23331354836300544,0.7,0.17748637304621753,0.04238430202733523
fwd_12m_return,large_cap,117,0.01894010758617548,0.19645489350670195,0.1275007867643753,0.34507314425450913,0.23739148563243806,0.75,0.17465370866785834,0.1704194355866508
fwd_3m_return,all,181,-0.1925988837825554,-0.05744085447704496,-0.16836864792665895,0.11898972168713363,0.034222465991004425,0.5945945945945946,0.1224348896116691,-0.003445167924535461
fwd_3m_return,large_cap,142,0.018998581112129487,0.33161362619825235,0.1481607993444973,0.14963280275205726,0.11978427271084269,0.6896551724137931,0.022501009044800124,0.12713179370725713
fwd_3m_return,low_cap,21,-0.7029726991285425,-0.32771852471120017,-0.3571428571428571,0.013230622663018799,0.008757065272130271,0.6,0.33390959219333366,-0.3206789695303149
fwd_3m_return,mid_cap,18,-0.733313884860118,-0.491386899963304,-0.500515995872033,-0.07169854603966314,0.0020040002723138994,0.5,0.375592320065485,-0.4472908661051481
fwd_6m_return,all,167,-0.07177673995772782,-0.17181223473635393,-0.1354313747719707,0.10459109019329578,0.04370010098667665,0.6764705882352942,0.3921838614755638,-0.287592771282268
fwd_6m_return,large_cap,128,0.0196767870962532,0.19624027917493886,0.03928424281267167,0.26556585299021734,0.1356691377514686,0.8076923076923077,0.1249595910708489,0.14060626191936842
fwd_6m_return,low_cap,21,-0.027272298405478068,0.41325919545002104,0.4194805194805195,2.020479700316777,1.2867737516768871,0.8,-0.10839517810554719,2.128874878422324
fwd_6m_return,mid_cap,18,-0.3103178566665403,-0.43380995062367605,-0.2672858617131063,-0.1753868414267932,-0.1070778812350846,0.25,0.4892955862429459,-0.6646824276697391
