method,k,silhouette,davies_bouldin,calinski_harabasz,temporal_stability,min_occupancy
kmeans,3,0.2057280731498028,1.5501693086096726,814.5084401155206,0.9927243330638642,0.02707070707070707
kmeans,6,0.1629305782285315,1.447716186552882,608.0174214482034,0.9583670169765561,0.009292929292929294
gmm,3,0.16043960921747719,1.9180420611844387,712.4701743871249,0.9781729991915926,0.028686868686868688
kmeans,5,0.1566405509900154,1.5762058834476118,636.8517170074169,0.957962813257882,0.025050505050505052
kmeans,4,0.1509631572089678,1.6959016345052684,706.7056982013262,0.9684721099434115,0.026262626262626262
gmm,4,0.13177688853900835,1.867205258847019,570.9472416878357,0.959983831851253,0.02666666666666667
gmm,6,0.12258252298276191,1.6793575106190397,498.46055710629884,0.9462409054163299,0.026262626262626262
gmm,5,0.11454063240884575,1.8022102189684674,500.3020628890566,0.9498787388843978,0.02666666666666667
