method,k,silhouette,davies_bouldin,calinski_harabasz,temporal_stability,min_occupancy,same_state_fraction,change_event_fraction,n_change_events,markov_order1_accuracy,persistence_accuracy,change_event_accuracy
kmeans,3,0.20559449699605678,1.5491750554174295,814.5005588590802,0.9927243330638642,0.02707070707070707,0.992467043314501,0.007532956685499058,8,0.992467043314501,0.992467043314501,0.0
gmm,3,0.15926219890393495,1.937544912568054,708.1095776098341,0.9717057396928052,0.028686868686868688,0.9689265536723164,0.031073446327683617,33,0.9689265536723164,0.9689265536723164,0.0
kmeans,5,0.15639444088015916,1.5717462484905917,636.7531147146996,0.9555375909458367,0.025050505050505052,0.9670433145009416,0.03295668549905838,35,0.9670433145009416,0.9670433145009416,0.0
kmeans,4,0.1508899806831808,1.6961096214689761,706.637173137002,0.967663702506063,0.026262626262626262,0.9670433145009416,0.03295668549905838,35,0.9670433145009416,0.9670433145009416,0.0
kmeans,6,0.16276395923947234,1.4466638965492213,607.9458018803213,0.9591754244139046,0.009292929292929294,0.9642184557438794,0.035781544256120526,38,0.9642184557438794,0.9642184557438794,0.0
gmm,4,0.11585690714172037,1.8449722876396555,565.7553321508411,0.9624090541632984,0.02707070707070707,0.940677966101695,0.059322033898305086,63,0.940677966101695,0.940677966101695,0.0
gmm,5,0.10795560139148201,1.9427337166584742,481.644289903912,0.9514955537590946,0.02666666666666667,0.9256120527306968,0.0743879472693032,79,0.9256120527306968,0.9256120527306968,0.0
gmm,6,0.10494172901655677,1.9351783149142392,445.79219591996633,0.9454324979789814,0.023434343434343436,0.9048964218455744,0.0951035781544256,101,0.9048964218455744,0.9048964218455744,0.0
