state,dwell_len
1,65
0,59
1,608
0,34
1,109
0,162
1,474
0,63
1,114
0,80
1,118
0,36
1,88
0,7
2,67
0,145
1,33
0,44
1,174
0,342
1,320
0,33
1,86
0,3
1,3
0,94
1,176
