downloaded_symbols
AAPL
ABBV
ABT
ACN
ADBE
ADSK
AEP
AMAT
AMD
AMGN
AMT
AMZN
ANET
AON
APD
APH
AVGO
AXP
AZO
BA
BAC
BL
BLK
BMY
BOOT
BSX
BX
C
CAT
CB
CDNS
CELH
CI
CL
CME
CMG
COP
COST
CRM
CROX
CSCO
CSX
CVX
DE
DHR
DPZ
DUK
DXCM
ECL
EL
ELV
EMR
ENPH
EOG
EQIX
ETN
EXC
FCX
FIVE
GD
GE
GILD
GOOGL
GS
HCA
HD
HON
IBM
ICE
INTC
INTU
ISRG
ITW
JNJ
JPM
KKR
KLAC
KMB
KO
LIN
LLY
LMT
LOW
LRCX
LULU
MA
MCD
MDB
MDLZ
MDT
META
MMM
MRK
MRNA
MRVL
MS
MSFT
MU
NEE
NEM
NFLX
NKE
NOC
NOW
NSC
NVDA
NXPI
O
ORCL
ORLY
PANW
PEP
PFE
PG
PGR
PH
PLD
PNC
PYPL
QCOM
REGN
ROST
RTX
RUN
SBUX
SCHW
SEDG
SHAK
SHOP
SHW
SLB
SNPS
SO
SRE
SYK
TEAM
TGT
TJX
TMO
TRV
TSLA
TXN
ULTA
UNH
UNP
UPS
URI
USB
V
VRTX
WDAY
WFC
WING
WM
WMT
XOM
YUM
ZS
ZTS
