portfolio,expected_return,median_return,p05_return,p95_return,loss_probability
base_overlay_expanded_concentrated_strength_top15_25_retarget45,0.7581160936049754,0.6076267480429449,-0.3038913749525981,2.3569318030007986,0.1683
base_overlay_expanded_strength_12_1_top30_25_retarget45,0.7438713226736778,0.5797767126500142,-0.2941801329610349,2.3249689981999495,0.1653
base_overlay_expanded_strength_252_top30_25_retarget45,0.7424041983879897,0.5901655910769983,-0.3044043636331917,2.2964037755978626,0.1648
base_overlay_expanded_basket_25_retarget45,0.7422549446353733,0.5938830688644561,-0.30149291708558523,2.2756463649587015,0.168
base_overlay_expanded_blended_strength_top35_25_retarget45,0.7354206626972515,0.5707735495060527,-0.31338764164248817,2.352103705553096,0.1779
base_overlay_expanded_strength_12_1_top30_50_retarget45,0.7271888143496471,0.5795964893434249,-0.3233550018536422,2.2481751794795923,0.1769
base_overlay_expanded_strength_126_top30_25_retarget45,0.7257433948523797,0.5722440306340784,-0.3091083346332993,2.2805027561986027,0.1726
base_overlay_expanded_blended_strength_top35_50_retarget45,0.7090467019282567,0.5601253089037141,-0.31512925685903315,2.2233066098029535,0.1874
base_overlay_expanded_strength_126_top30_50_retarget45,0.706957818048018,0.562078967536195,-0.3084179716788315,2.240990276902826,0.1822
base_overlay_expanded_strength_252_top30_50_retarget45,0.7051346966477696,0.55807665960803,-0.3295721065436138,2.2220139268658428,0.1849
base_overlay_expanded_concentrated_strength_top15_50_retarget45,0.7034250555879262,0.5522435746444111,-0.3357416466033557,2.2722623265835744,0.1847
base_ml_meta_growth,0.5416206370230576,0.46910604924638155,-0.2407514674897645,1.5983029920384597,0.164
base_90_expanded_strength_12_1_top30_10,0.519258999084473,0.44686486242510004,-0.22130739114549602,1.4887841544483835,0.1537
base_90_expanded_concentrated_strength_top15_10,0.5131912950905783,0.44627372466990056,-0.2243287037533085,1.4793136683187067,0.1621
base_90_expanded_blended_strength_top35_10,0.5122978620500782,0.4460117359722997,-0.21634162483863528,1.4746211277931371,0.1508
base_90_expanded_strength_252_top30_10,0.5106697560004438,0.43891704505994733,-0.2247778779552993,1.4685686066716233,0.1548
base_90_expanded_strength_126_top30_10,0.4980505626408265,0.4286821377680393,-0.22215137616942168,1.4366184100330675,0.1558
base_80_expanded_strength_12_1_top30_20,0.4758425603138879,0.42216519527936736,-0.20359099289920218,1.3418422584695624,0.1502
base_80_expanded_strength_126_top30_20,0.46662709959512705,0.406916916566863,-0.19093536974099123,1.3252584415105357,0.1489
base_80_expanded_concentrated_strength_top15_20,0.46243815590426174,0.4102369798544412,-0.20451598075675614,1.2985273193792977,0.1526
base_80_expanded_strength_252_top30_20,0.4592735096654479,0.39813921434755084,-0.20511337828212842,1.3530118245307208,0.1566
base_80_expanded_blended_strength_top35_20,0.45661748556022014,0.39805815443899306,-0.21291405312405176,1.3246106090124983,0.1603
base_70_expanded_strength_12_1_top30_30,0.43709921607542,0.39075395219718667,-0.19369119312785266,1.228151308833511,0.1521
base_70_expanded_strength_252_top30_30,0.43375025136785006,0.39305274367252907,-0.18196543580231864,1.2078045337298917,0.1498
base_70_expanded_strength_126_top30_30,0.425419243262901,0.3848771695039904,-0.18857704265925204,1.1735317436381327,0.1503
base_70_expanded_blended_strength_top35_30,0.42084026809321795,0.3754532796642652,-0.18497122566873572,1.1669952169205848,0.1511
base_70_expanded_concentrated_strength_top15_30,0.41914109834805097,0.3749351641998756,-0.1919340602143146,1.1725964044450687,0.1565
