portfolio,test_year,return,holdings,max_weight,sector_count,large_weight,mid_weight
all_equal_top20,2016,0.3491666341700497,88,0.011363636363636362,11,0.44318181818181807,0.5227272727272726
all_equal_top20,2017,0.22653176925292456,90,0.011111111111111112,11,0.5444444444444444,0.42222222222222233
all_equal_top20,2018,0.28920665244065286,92,0.010869565217391304,11,0.5543478260869567,0.4130434782608695
all_equal_top20,2019,0.09784902822425623,93,0.010752688172043008,9,0.5806451612903224,0.38709677419354827
all_equal_top20,2020,1.0717639846577502,95,0.010526315789473684,11,0.5473684210526317,0.431578947368421
all_equal_top20,2021,0.12292628879904127,94,0.010638297872340429,11,0.4893617021276598,0.4680851063829789
all_equal_top20,2022,0.02164310460490844,96,0.010416666666666666,9,0.5104166666666666,0.4375
all_equal_top20,2023,0.6116148943356924,97,0.010309278350515467,11,0.5567010309278351,0.4123711340206187
all_equal_top20,2024,0.22779608000567894,98,0.010204081632653064,11,0.4387755102040818,0.5306122448979593
all_equal_top20,2025,0.5145098703639895,83,0.012048192771084338,10,0.566265060240964,0.3734939759036144
all_confidence_top20,2016,0.3432076154177698,88,0.02262351494355641,11,0.4583203153210638,0.4870105044034317
all_confidence_top20,2017,0.2020732009378883,90,0.02217115234812885,11,0.5405585440214195,0.4302113268738724
all_confidence_top20,2018,0.3208040228150926,92,0.021736767742636675,11,0.5532126823290827,0.41037106573461307
all_confidence_top20,2019,0.09394588013124155,93,0.02132156970866649,9,0.5859296020586344,0.39123242349048803
all_confidence_top20,2020,1.1360471938456898,95,0.021006758958145036,11,0.5894826606152928,0.39637903240013816
all_confidence_top20,2021,0.0892084697040752,94,0.021141076026561866,11,0.484166779599765,0.45814699372091955
all_confidence_top20,2022,-0.028843367830983138,96,0.020745999164505993,9,0.5468499679350359,0.380517288658832
all_confidence_top20,2023,0.8014875279746755,97,0.020449552137907723,11,0.5490958255872908,0.4191313165455466
all_confidence_top20,2024,0.30204278717053445,98,0.02024257979053691,11,0.4873121662458087,0.49211408701411596
all_confidence_top20,2025,0.6421899443650004,83,0.023865798120712524,10,0.5916296766011414,0.36772929036721047
all_vol_conf_top20,2016,0.2981511100692346,88,0.04151760790291129,11,0.48094091925462035,0.48596680708822265
all_vol_conf_top20,2017,0.18971986616603342,90,0.030433536589629853,11,0.5549353845236608,0.41201012449407887
all_vol_conf_top20,2018,0.2871362504709214,92,0.027758407010269413,11,0.5621203917149148,0.4121779358200536
all_vol_conf_top20,2019,0.09841904898433206,93,0.02647010300947906,9,0.5818215550947191,0.39816275493107645
all_vol_conf_top20,2020,0.9348287671558312,95,0.03795398990795754,11,0.6266104245559141,0.3633801702449779
all_vol_conf_top20,2021,0.09511161045989554,94,0.03201384446138357,11,0.4911708715116686,0.46615622345256214
all_vol_conf_top20,2022,0.005359826235392105,96,0.023804893574920615,9,0.5299668600705272,0.4190373857856789
all_vol_conf_top20,2023,0.5720265995901085,97,0.0294382158363448,11,0.5402053674270468,0.4366266540371488
all_vol_conf_top20,2024,0.2363825443264046,98,0.023826347239760865,11,0.4451091680365646,0.537569309590424
all_vol_conf_top20,2025,0.5852206036259976,83,0.029743007372578803,10,0.5785949892804111,0.380293868972179
all_vol_conf_sector_cap,2016,0.29221787560393464,88,0.04170114450262856,11,0.47647534240541556,0.48917532467172264
all_vol_conf_sector_cap,2017,0.18971986616603342,90,0.030433536589629853,11,0.5549353845236608,0.41201012449407887
all_vol_conf_sector_cap,2018,0.27954305136667085,92,0.03014788983982083,11,0.5431574965734076,0.4284410194438238
all_vol_conf_sector_cap,2019,0.06634692093762752,93,0.03586850007397485,9,0.5386047543879746,0.43427284351697804
all_vol_conf_sector_cap,2020,0.9620516993638958,95,0.030854861400950537,11,0.6112081054493526,0.37793837154909277
all_vol_conf_sector_cap,2021,0.09946962615905347,94,0.032975062518546164,11,0.490098296506509,0.4695067662651205
all_vol_conf_sector_cap,2022,0.00034726952838053625,96,0.023506851904385923,9,0.5133977505962131,0.43337579394575554
all_vol_conf_sector_cap,2023,0.5720265995901085,97,0.0294382158363448,11,0.5402053674270468,0.4366266540371488
all_vol_conf_sector_cap,2024,0.23070964856939796,98,0.024738720485004955,11,0.43322179102969777,0.5492747381184024
all_vol_conf_sector_cap,2025,0.5767204239533347,83,0.03180300241070559,10,0.5589886645877081,0.3988323512365578
all_residual_equal_top20,2016,0.345121118216624,88,0.011363636363636362,11,0.46590909090909083,0.4999999999999999
all_residual_equal_top20,2017,0.19942704716665546,90,0.011111111111111112,11,0.5222222222222223,0.4444444444444445
all_residual_equal_top20,2018,0.27265180584288556,92,0.010869565217391304,11,0.532608695652174,0.44565217391304346
all_residual_equal_top20,2019,0.09978757963520095,93,0.010752688172043008,10,0.5913978494623654,0.37634408602150526
all_residual_equal_top20,2020,0.9446818030051369,95,0.010526315789473684,11,0.5473684210526317,0.431578947368421
all_residual_equal_top20,2021,0.18348136014475852,94,0.010638297872340429,11,0.4893617021276598,0.4680851063829789
all_residual_equal_top20,2022,0.01602343098070039,96,0.010416666666666666,9,0.49999999999999994,0.4479166666666667
all_residual_equal_top20,2023,0.6097498940239606,97,0.010309278350515467,11,0.5463917525773196,0.4226804123711342
all_residual_equal_top20,2024,0.22051483193885782,98,0.010204081632653064,11,0.4387755102040818,0.5408163265306124
all_residual_equal_top20,2025,0.5035321266730007,83,0.012048192771084338,9,0.566265060240964,0.3734939759036144
all_residual_vol_conf_sector_cap,2016,0.2867922705768597,88,0.04335127773525254,11,0.4858077178161528,0.47946261003570684
all_residual_vol_conf_sector_cap,2017,0.16208976701255368,90,0.030907065908212097,11,0.5340499377392545,0.43668755769688583
all_residual_vol_conf_sector_cap,2018,0.2701290907234886,92,0.029339706043780372,11,0.545091193562132,0.4294907787252815
all_residual_vol_conf_sector_cap,2019,0.06680081906087157,93,0.031421520700378375,10,0.511143352789669,0.4403161505878461
all_residual_vol_conf_sector_cap,2020,0.8521995348322915,95,0.030830563651087366,11,0.6077868591785798,0.382571052863561
all_residual_vol_conf_sector_cap,2021,0.11390241262796742,94,0.03018567539111904,11,0.4706074388001891,0.476010548388297
all_residual_vol_conf_sector_cap,2022,0.00754989767788332,96,0.022352529982092667,9,0.5217469009568912,0.42609752101246867
all_residual_vol_conf_sector_cap,2023,0.5725162663622928,97,0.02888160107379514,11,0.5376068530086371,0.43570777013775575
all_residual_vol_conf_sector_cap,2024,0.2688480807016712,98,0.022164062426818773,11,0.4231599140547725,0.5620309671948993
all_residual_vol_conf_sector_cap,2025,0.5882023374458938,83,0.026604054359332156,9,0.5450988161280916,0.4061468202688628
bucket_equal_sleeves,2016,0.31830793403963265,85,0.012195121951219513,11,0.5,0.5
bucket_equal_sleeves,2017,0.20376696630724955,86,0.012195121951219513,11,0.5,0.5
bucket_equal_sleeves,2018,0.21194274395061913,88,0.011904761904761904,11,0.5,0.5
bucket_equal_sleeves,2019,0.10172892183073229,90,0.011627906976744186,11,0.5,0.5
bucket_equal_sleeves,2020,0.9133927099165129,91,0.011627906976744186,11,0.5,0.5
bucket_equal_sleeves,2021,0.20769808167869813,91,0.011627906976744186,10,0.5,0.5
bucket_equal_sleeves,2022,0.018750528525824556,92,0.011363636363636364,9,0.5,0.5
bucket_equal_sleeves,2023,0.5878946132904498,93,0.01111111111111111,10,0.5,0.5
bucket_equal_sleeves,2024,0.25091500711493864,94,0.01111111111111111,11,0.5,0.5
bucket_equal_sleeves,2025,0.5415136766980697,80,0.013157894736842108,10,0.5,0.5
bucket_vol_conf_sector_cap,2016,0.26541704129976057,85,0.025,11,0.5,0.5
bucket_vol_conf_sector_cap,2017,0.19707666668937246,86,0.025000000000000005,11,0.5,0.5
bucket_vol_conf_sector_cap,2018,0.1937118921538541,88,0.025,11,0.5,0.5
bucket_vol_conf_sector_cap,2019,0.07586878937200979,90,0.025,11,0.5,0.5
bucket_vol_conf_sector_cap,2020,0.8351588916053962,91,0.025,11,0.5,0.5
bucket_vol_conf_sector_cap,2021,0.13871808964823798,91,0.025,10,0.5,0.5
bucket_vol_conf_sector_cap,2022,-0.002128748290644803,92,0.025,9,0.5,0.5
bucket_vol_conf_sector_cap,2023,0.5269528379488283,93,0.02500000000000001,10,0.5,0.5
bucket_vol_conf_sector_cap,2024,0.23368392791624526,94,0.024999999999999994,11,0.5,0.5
bucket_vol_conf_sector_cap,2025,0.5954964165119173,80,0.025,10,0.5,0.5
bucket_dynamic_sharpe_sleeves,2016,0.26541704129976057,85,0.025,11,0.5,0.5
bucket_dynamic_sharpe_sleeves,2017,0.19707666668937246,86,0.025000000000000005,11,0.5,0.5
bucket_dynamic_sharpe_sleeves,2018,0.19559808057170772,88,0.034999999999999996,11,0.7,0.30000000000000004
bucket_dynamic_sharpe_sleeves,2019,0.07874275682253576,90,0.028124260465383962,11,0.5624852093076792,0.4375147906923208
bucket_dynamic_sharpe_sleeves,2020,0.8401060858429907,91,0.027463036612732007,11,0.5492607322546401,0.4507392677453599
bucket_dynamic_sharpe_sleeves,2021,0.14085164444265152,91,0.025576248506196136,10,0.5115249701239227,0.48847502987607727
bucket_dynamic_sharpe_sleeves,2022,-0.010062788228046904,92,0.029049106829809664,9,0.5809821365961932,0.41901786340380676
bucket_dynamic_sharpe_sleeves,2023,0.5364493019712329,93,0.0259281796533365,10,0.5185635930667298,0.48143640693327017
bucket_dynamic_sharpe_sleeves,2024,0.22246116862180138,94,0.02290694069180922,11,0.44710592790446496,0.5528940720955351
bucket_dynamic_sharpe_sleeves,2025,0.5712829670661239,80,0.024375930506120434,10,0.3956758939402416,0.6043241060597584
