portfolio,years,mean_return,std_return,sharpe,min_return,positive_year_rate,avg_holdings,avg_sector_count,avg_large_weight,avg_mid_weight
bucket_equal_sleeves,10,0.3355911183352727,0.2690491957884548,1.2473225104866612,0.018750528525824556,1.0,89.0,10.5,0.5,0.5
all_residual_equal_top20,10,0.3394970997627781,0.27706912293089414,1.225315531992551,0.01602343098070039,1.0,92.6,10.5,0.520030030444851,0.44510121396024205
all_residual_vol_conf_sector_cap,10,0.31890304770217737,0.26962410027187067,1.1827690750960955,0.00754989767788332,1.0,92.6,10.5,0.5182098984034369,0.4474521776911565
bucket_vol_conf_sector_cap,10,0.30599558048549774,0.26244023739203004,1.16596290083523,-0.002128748290644803,0.9,89.0,10.5,0.5,0.5
bucket_dynamic_sharpe_sleeves,10,0.303792292510013,0.2625085424780593,1.1572663108112156,-0.010062788228046904,0.9,89.0,10.5,0.5265598463193871,0.4734401536806129
all_vol_conf_top20,10,0.33023562270841517,0.28577762244790017,1.1555685147062909,0.005359826235392105,1.0,92.6,10.5,0.5391475931470048,0.43113812344164015
all_equal_top20,10,0.35330083068549445,0.3114795706540966,1.134266462303048,0.02164310460490844,1.0,92.6,10.5,0.5231507641223381,0.43987311559775055
all_vol_conf_sector_cap,10,0.3269152981238437,0.2950857961511965,1.107865245931181,0.00034726952838053625,1.0,92.6,10.5,0.5260292953486985,0.4429453987278681
all_confidence_top20,10,0.3902163274530984,0.3640957777166522,1.0717408751627266,-0.028843367830983138,0.9,92.6,10.5,0.5386558220314535,0.4232843329209167
