feature,status,observations,pearson_corr,spearman_corr,median_abs_pct_diff,p90_abs_pct_diff,median_signed_pct_diff,same_sign_rate,yahoo_median,dolt_median,yahoo_column,dolt_column
trade_close,ok,1411,0.9999999999999994,0.999999995728303,0.0,1.1128615186286341e-07,0.0,1.0,122.77999877929688,122.77999877929688,trade_close_yahoo,trade_close_dolt
fwd_12m_return,ok,982,0.9999999999999685,0.9999999873279398,1.4547998399021761e-07,1.6525275705594952e-06,0.0,1.0,0.10843872887492931,0.10843872887492931,fwd_12m_return_yahoo,fwd_12m_return_dolt
net_income,ok,1411,0.9999964805983133,0.9995814974651889,0.0,0.0006788919541492856,0.0,0.9992912827781715,1509120000.0,1509000000.0,net_income_yahoo,net_income_dolt
operating_cash_flow,ok,1401,0.9999394793091924,0.9959506561353341,0.0,3.7604587759706683e-06,0.0,1.0,2407200000.0,2393200000.0,operating_cash_flow,net_cash_from_operating_activities
total_assets,ok,1399,0.999521335695452,0.9976725776216864,0.0,4.509982531482637e-05,0.0,1.0,29076181000.0,29264000000.0,total_assets_yahoo,total_assets_dolt
asset_turnover,ok,1399,0.9981623606465734,0.9946839446765987,7.68704502305681e-06,0.019025803614965805,0.0,1.0,0.5158396253735037,0.5191149147007489,asset_turnover_yahoo,asset_turnover_dolt
equity,ok,1397,0.9978634565623531,0.9926717273360673,0.0005320053239317715,0.10211283956350137,0.00030156815440289503,0.9957050823192556,9324000000.0,9665000000.0,stockholders_equity,total_equity
ebitda,ok,1287,0.9960760312670816,0.9728206075208242,0.037591340705716854,0.22869304777676044,-0.017235183846290386,0.98989898989899,2814000000.0,2773000000.0,ebitda_yahoo,ebitda_dolt
operating_income,ok,1285,0.9959001521952726,0.9633477987763575,0.01694119596283154,0.32147842309612984,-0.00018758206715438003,0.978988326848249,2015000000.0,1871000000.0,operating_income_yahoo,operating_income_dolt
revenue,ok,1411,0.9945754935251172,0.9940428717619318,5.057513085948624e-06,0.019662196853373573,0.0,1.0,13627000000.0,13702000000.0,total_revenue,sales
net_margin,ok,1411,0.9892989124700884,0.9853117359783058,5.711292273408307e-05,0.029243119266055283,0.0,0.9992912827781715,0.126575198236436,0.1244935170178282,net_margin_yahoo,net_margin_dolt
debt,ok,1388,0.9800556388467067,0.9544045682243274,0.1363966524279413,0.634910534377676,-0.13299267794301284,0.9329971181556196,8439612000.0,6973000000.0,total_debt,long_term_debt
gross_profit,ok,1265,0.9706440900066187,0.9696667421615421,4.139822247005736e-05,0.36848541829165166,0.0,1.0,4895000000.0,5383000000.0,gross_profit_yahoo,gross_profit_dolt
cfo_margin,ok,1401,0.9607456951739037,0.9881028498483415,9.038089089692294e-06,0.02432934280620654,0.0,1.0,0.2038985717842144,0.2014097968936678,cfo_margin_yahoo,cfo_margin_dolt
ebitda_margin,ok,1287,0.9566493679715223,0.9658342753008158,0.03788559448936813,0.22313558984380327,-0.019269303468616696,0.98989898989899,0.2428597550385865,0.2362405416168857,ebitda_margin_yahoo,ebitda_margin_dolt
operating_margin,ok,1285,0.939985716736009,0.9534392727555523,0.017834394904458695,0.30561387771988363,-0.0002797985450475602,0.978988326848249,0.1820868328667289,0.1728428455504463,operating_margin_yahoo,operating_margin_dolt
debt_to_assets,ok,1388,0.938046532351853,0.887228893276621,0.13662106993757595,0.618934487990257,-0.13342964504228555,0.9329971181556196,0.30367241418871016,0.2408622584849647,debt_to_assets_yahoo,debt_to_assets_dolt
cash,ok,1399,0.907894713832683,0.947466370881761,0.004554865424430642,1.2844380961842012,0.003270938127044336,1.0,1497785000.0,1845000000.0,cash,cash_and_equivalents
fcf_margin,ok,1404,0.8983553746874756,0.9512005982201501,0.0033541862385032418,0.34110900409562,2.616203196481062e-05,0.9857549857549858,0.1337548330781333,0.136897531604764,fcf_margin_yahoo,fcf_margin_dolt
gross_margin,ok,1265,0.8719031798904102,0.8824607705775772,3.856748822815626e-05,0.3103136098173444,0.0,1.0,0.4402260491401062,0.4623718643220268,gross_margin_yahoo,gross_margin_dolt
current_assets,ok,1287,0.8683881414152813,0.9810613302004728,0.0,0.0007699963161840781,0.0,1.0,5900200000.0,5777000000.0,current_assets,total_current_assets
capex_to_revenue,ok,1334,0.8557975195307415,0.8362751823787231,0.005643806124830756,0.4878494018185046,-0.0012450044536893904,0.9602698650674663,0.03814588900011185,0.0328637884549082,capex_to_revenue_yahoo,capex_to_revenue_dolt
debt_to_equity,ok,1386,0.8183477153264942,0.9231692275400832,0.1639912911983396,0.7198504450956296,-0.15680917581606757,0.9329004329004329,0.7940128632732066,0.6463309407577653,debt_to_equity_yahoo,debt_to_equity_dolt
cash_to_assets,ok,1399,0.7916476516839138,0.9165968975154193,0.004554865424431102,1.2844076406782552,0.0033247019285128202,1.0,0.0614940924737184,0.0696958756683342,cash_to_assets_yahoo,cash_to_assets_dolt
current_liabilities,ok,1287,0.7890397968346641,0.9815404089135301,0.0,0.016999134312210337,0.0,0.9984459984459985,4476000000.0,4422000000.0,current_liabilities,total_current_liabilities
current_ratio,ok,1285,0.6785779206301332,0.9286341738814752,0.0,0.024792260190756334,0.0,1.0,1.2335683394611838,1.2550711021907162,current_ratio_yahoo,current_ratio_dolt
revenue_growth_yoy,ok,1411,0.5766752035716909,0.9341491393050791,0.0001571471437402975,0.28638328411319064,0.0,0.9645641389085755,0.0563743085173769,0.0571643474990597,revenue_growth_yoy_yahoo,revenue_growth_yoy_dolt
