experiment,bucket,observations,test_years,raw_return_spearman,target_spearman,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
raw_return,all,4605,10,0.27651583155147735,0.27651583155147735,0.38305189427955794,0.268586168820448,0.747014115092291,0.028875340124584616,0.35417655415497334
sector_excess,all,4561,10,0.24398097021994514,0.15267317888237902,0.3335443623088459,0.2243824720897134,0.7447973713033954,0.0395757143813513,0.29396864792749455
risk_adj_sector_excess,all,4561,10,0.1980475517126522,0.16831601109144087,0.30942002201054986,0.1971322554915335,0.7480832420591457,0.07589477010431557,0.2335252519062343
lgbm_rank_raw,all,4605,10,0.15574193453089621,0.15574193453089621,0.35507864119390564,0.2237541112529864,0.7752442996742671,0.12226924218105699,0.23280939901284864
lgbm_rank_sector_excess,all,4561,10,0.1301324521326257,0.11255994999334712,0.370204222899979,0.2311965392446948,0.7491785323110625,0.147800008446566,0.22240421445341302
sector_excess,large_cap,2076,10,0.2875652635729311,0.09531039651996909,0.48225558690850856,0.317952121508597,0.7908653846153846,0.07196065956959621,0.4102949273389124
raw_return,large_cap,2101,10,0.2838403934202998,0.2838403934202998,0.49659606418002583,0.3518579695485935,0.7767220902612827,0.07671197627882655,0.4198840879011993
risk_adj_sector_excess,large_cap,2076,10,0.22614518018472796,0.12542763739493532,0.4273514148375375,0.27801900005402375,0.7980769230769231,0.09976475154462519,0.3275866632929123
lgbm_rank_raw,large_cap,2101,10,0.1447097324341478,0.1447097324341478,0.4581259079181061,0.2802038228768559,0.7814726840855107,0.17100087019096932,0.28712503772713677
lgbm_rank_sector_excess,large_cap,2076,10,0.13611811528899265,0.13599680816700124,0.40335150793420177,0.22303427575765866,0.7451923076923077,0.15015329169351607,0.2531982162406857
raw_return,mid_cap,2302,10,0.23367725294279876,0.23367725294279876,0.2766371917352425,0.1882108980022794,0.7114967462039046,0.036380486021948356,0.24025670571329413
sector_excess,mid_cap,2284,10,0.1692038470190051,0.1538225047859266,0.21994474309726375,0.1503926094721461,0.7024070021881839,0.06792835104682328,0.15201639205044049
risk_adj_sector_excess,mid_cap,2284,10,0.1617268492707802,0.16445542505907687,0.21275299636644132,0.1393621531753301,0.7221006564551422,0.08070065512300806,0.13205234124343326
lgbm_rank_sector_excess,mid_cap,2284,10,0.07816327605444055,0.053764828801374676,0.2167018500163633,0.1503926094721461,0.6673960612691466,0.1097082571086047,0.1069935929077586
lgbm_rank_raw,mid_cap,2302,10,0.05261152981158973,0.05261152981158973,0.21942405558383046,0.1213341141881698,0.6724511930585684,0.1105911135086205,0.10883294207520997
