observations,total_return,annual_return,annual_std,sharpe,average_daily_return,average_daily_turnover,max_drawdown,hit_rate,portfolio,train_objective,train_sharpe
3351,174.77624249198254,0.47510936756137845,0.332011436081555,1.4310030195606667,0.0017638090940699067,0.0,-0.41692527632666176,0.570874365860937,max_return_35_guarded,,
3351,219.9386090153095,0.5006955109704312,0.3545350138614183,1.4122596962063232,0.00186304058240372,0.0,-0.43686728691149,0.570874365860937,max_return_35_target,,
3351,128.01887816152293,0.441199651949844,0.31327833137968375,1.408331211439975,0.0016471916890715952,0.0,-0.3852612708983245,0.570874365860937,growth_30_target,,
3351,102.8826957425543,0.4179043600894856,0.2970951950327732,1.4066345301996073,0.0015627606983813196,0.0,-0.3593590763478647,0.570874365860937,growth_30_guarded,,
3351,180.31322028062917,0.4785537981647723,0.3421566020176781,1.3986396735961475,0.0017869866675936847,0.0,-0.34963837697280653,0.5729632945389436,max_return_plus_asset_overlay_guarded,,
3351,226.8251664458731,0.5041634262838008,0.3636291800660015,1.3864768118782198,0.001885580509433074,0.0,-0.4402452086850738,0.5729632945389436,max_return_plus_asset_overlay,,
3351,5.636538300431107,0.15295189129030828,0.11678655223940648,1.3096704060306934,0.0005920615690857184,0.0,-0.20429988590697723,0.5750522232169502,deployable_guarded,1.4196016079428098,1.3591363217737218
3351,7.807698547849078,0.17775514215403798,0.13680077153718082,1.2993723657890792,0.0006866711368872026,0.0,-0.23095397816772611,0.5750522232169502,aggressive_vol_target_16,,
3351,5.934898308123006,0.15677107349697672,0.12113018219681727,1.2942362560162641,0.000607245726487301,0.0,-0.19090133037968604,0.5750522232169502,optimized_vol_target_12,1.4196016079428098,1.3591363217737218
3351,5.94940377533463,0.15695285323591346,0.12417073501514388,1.2640084092018258,0.0006093910968221746,0.0,-0.24914659145689966,0.5750522232169502,optimized_core,1.4196016079428098,1.3591363217737218
3351,4.036755790051973,0.1292829027877609,0.12174908247878662,1.0618798939227074,0.0005120705764329082,0.0,-0.2187387430844,0.5634139062966279,regime_switched_guarded,,
3351,3.2366800573910615,0.11468775001649512,0.1167241733058573,0.9825535428379,0.0004580746862171404,0.0,-0.24118700070099153,0.5628170695314831,equal_weight_core,,
3351,4.625785201530101,0.13871449037632977,0.1452555596440327,0.9549685445174515,0.0005575911179836076,0.0,-0.27503034442997143,0.5634139062966279,regime_switched_core,,
