lookback,top_n,target_vol,drawdown_penalty,train_objective,train_annual_return,train_sharpe,train_max_drawdown,validation_annual_return,validation_sharpe,validation_max_drawdown
63,5,0.2,1.0,0.8113064704464732,0.24827431360536645,1.0513083064246387,-0.2896566986992388,0.24187847916235117,1.1186317190435806,-0.16798421586221313
63,5,0.2,0.5,0.8003614262142867,0.24471246001323754,1.037460787456142,-0.2860418532445027,0.24996363011366718,1.1533357056781306,-0.16314951006712897
63,4,0.2,1.0,0.7870649346936055,0.24706598692152526,1.0387451886040178,-0.3010934512947173,0.2273571278259734,1.0498633654759306,-0.1685640248449758
63,4,0.2,0.5,0.7834922297314582,0.24609891253774974,1.0353973470683362,-0.30112489984442803,0.24747854496042754,1.1379554556425784,-0.16297200384183386
126,5,0.2,0.5,0.7465090919060561,0.2507896361733033,1.078121905727994,-0.3817707410565986,0.32834555506077123,1.5194730941263612,-0.2383462434311041
126,5,0.2,2.0,0.7413699502102081,0.24302023258679117,1.055672621909987,-0.36290671821713716,0.35362157993142906,1.6968687221888077,-0.1834345362654144
126,4,0.2,0.5,0.7333057682751442,0.251825962038988,1.0754634833061605,-0.392522907438814,0.33425525403042067,1.5359161001488617,-0.23225401386951272
63,4,0.2,2.0,0.7047430604157363,0.22578803991706953,0.9557311283044113,-0.29614567587208884,0.19403092200228644,0.8980795857092477,-0.20629500468167705
63,3,0.2,0.5,0.6948897320733403,0.23487270859804688,0.9785080045925684,-0.33059281423883746,0.24326547537035315,1.1161162620129501,-0.1614575496472458
63,5,0.25,1.0,0.69232582883576,0.2762536882587696,0.9836780813876886,-0.34660299020368257,0.284339210307645,1.0895148011236866,-0.20660937203185514
63,3,0.2,1.0,0.691496641039412,0.2342079730776947,0.9759388840945121,-0.3312838376706392,0.2300058408141088,1.0568834932793054,-0.16498648259454818
63,5,0.25,0.5,0.6818615941813271,0.27340385882473117,0.9721298178604386,-0.34494899544405766,0.29519461880460884,1.1281665549769364,-0.20076423988102743
126,4,0.2,2.0,0.6787724592864052,0.2368824440864743,1.0122600587469985,-0.3808640882778883,0.363239360401735,1.7336527460705091,-0.18445019610979252
63,4,0.25,1.0,0.6682771895318482,0.27566366338911363,0.9730927620147518,-0.3599483051607264,0.26363384988844585,1.0099537082747714,-0.20733906471672192
63,4,0.25,0.5,0.6648704073697833,0.2751326456426213,0.9698695700677338,-0.3600256918264748,0.2904540066973449,1.1071986759831924,-0.20057640941458
63,5,0.2,2.0,0.640311944829175,0.2136536149032653,0.9008893603514267,-0.30330813850290483,0.19784897907358467,0.9198043164347014,-0.21008878356402316
126,5,0.2,1.0,0.6391469420268256,0.2282120419860052,0.9785493904020248,-0.3850448567724003,0.318404118081411,1.4478965996132196,-0.2408100611763354
126,4,0.2,1.0,0.6176306485588752,0.2280571942896117,0.9690702858799447,-0.3970510761789918,0.3197765480420651,1.4494706852384827,-0.24732003201007224
63,3,0.2,2.0,0.6147809145651751,0.21353632246471577,0.8960260522247802,-0.32395240215254817,0.1736979780909209,0.7946668744520348,-0.2031236175373332
126,2,0.2,1.0,0.6127110463436293,0.23567811028234176,0.9759003128470659,-0.410324888559905,0.3441919760670862,1.5186107207784745,-0.24055807686824004
