band_type,rsi_band,observations,portion,mean_14d_return,median_14d_return,hit_rate,downside_std,sortino_14d,annualized_like_sortino,p05_return,p95_return
5pt,95-100,3237,0.0020025797830383906,0.012017470758595916,0.01044791269219747,0.6107506950880445,0.037308195966503574,0.3221134243367212,1.3666115199582924,-0.07384215474024988,0.09587154017871784
5pt,40-45,149446,0.09245521725546967,0.01225666448761623,0.010904692342887046,0.5772252184735623,0.05091633942186489,0.24072163527044285,1.0212954040682696,-0.10186927767566806,0.1292122359555971
5pt,35-40,125446,0.07760754509207103,0.013015655644779254,0.01177694192404588,0.5821070420738804,0.054142096806694406,0.2403980712318835,1.019922638113389,-0.1033947716689243,0.13297024737142227
5pt,30-35,96257,0.059549682476344255,0.01310061246687515,0.012357490902843882,0.5852353595063217,0.05887234031577891,0.22252576331442248,0.9440968573700447,-0.10672952240117368,0.1362308457797931
5pt,45-50,166255,0.10285415564690999,0.010587015603340579,0.01019194947707347,0.5730414122883523,0.0502000073625327,0.21089669423519464,0.8947588957411918,-0.10215845532078803,0.12382456995361896
5pt,90-95,11601,0.007176993531982814,0.008196950730615956,0.008355804031055403,0.5796052064477201,0.039108574771392186,0.20959471876771135,0.8892350816492162,-0.0833585902643571,0.09738443708768196
5pt,25-30,67726,0.04189889353909732,0.012348673203208503,0.0119958897074246,0.5835425095236689,0.06276713803840744,0.1967378725417161,0.8346881027427726,-0.11210563739929436,0.13694932468918658
5pt,50-55,176099,0.10894417584593065,0.009333014313965075,0.009522301789936849,0.569889664336538,0.04825624677103661,0.1934053089177824,0.8205492327194579,-0.10049751943779335,0.11741949137724246
5pt,20-25,42137,0.02606818174788034,0.012788737964175758,0.013168070529310238,0.5899565702351852,0.06659545150046017,0.19203620781949932,0.8147406286951023,-0.11367327291631121,0.13686722215094876
5pt,55-60,173085,0.10707955568341052,0.008900995503370675,0.00920614281343246,0.5695467544847908,0.04662811738374773,0.19089330650250796,0.8098917090662726,-0.09824345393920186,0.11442479432339535
5pt,60-65,160231,0.09912738993389693,0.008263728627500194,0.008465604798790993,0.5663136346899165,0.04598184625134772,0.1797171993122826,0.7624755019774161,-0.09572705839825674,0.11063968949235048
5pt,70-75,110108,0.0681186452736457,0.007835246635016899,0.008120461683371105,0.5682965815381262,0.043991480072458775,0.17810827510489285,0.7556494146726532,-0.09222070103579227,0.10593073576538498
5pt,65-70,139229,0.08613443948490951,0.007693496284337636,0.008156708318049821,0.5657226583542222,0.045175496839952235,0.17030241663072698,0.7225319619122622,-0.09516182163023908,0.10726589704424296
5pt,75-80,79157,0.04897071605992273,0.0071772510877759705,0.007524653384922697,0.5645868337607539,0.043853206151543436,0.16366536720196828,0.6943733459633887,-0.09037722636712701,0.10238708103942915
5pt,80-85,49937,0.030893675200984894,0.007188681661661163,0.007428170586530225,0.5671345895828744,0.04428722258600503,0.16231954143660435,0.6886634908134823,-0.09024012876513855,0.10127546358805357
5pt,85-90,26770,0.016561340992257558,0.006858220023113889,0.007128886322883554,0.5626073963391857,0.043855159889589844,0.1563834230767875,0.6634786735365675,-0.09059729830068708,0.10059801921119324
5pt,0-5,1620,0.0010022178710294076,0.009086235041239262,0.004255653345579535,0.5228395061728395,0.058120594034124125,0.15633417366492322,0.6632697259779754,-0.1055712856403531,0.12243717637482614
5pt,10-15,10660,0.006594841052576226,0.012121935091348412,0.013184478963641055,0.5889305816135084,0.07942965480138658,0.15261220915109405,0.6474787678955897,-0.12600526092156303,0.14274352319239766
5pt,5-10,3482,0.002154149769706418,0.010998433660256825,0.01241484596025999,0.5821367030442275,0.08030182074204026,0.13696368972240297,0.5810877226742482,-0.12329420851993017,0.14524359891258173
5pt,15-20,23164,0.014330478249706914,0.009736915041208211,0.01188425827892714,0.5792177516836471,0.0780341997048531,0.1247775344404878,0.5293862444556413,-0.12511594905616244,0.13702393706927496
