observations,total_return,annual_return,annual_std,sharpe,average_daily_return,average_daily_turnover,max_drawdown,hit_rate,strategy,regime,avg_gross_exposure,avg_active_positions,avg_daily_turnover
349,-0.2665521587763645,-0.20055590194496598,0.38926302962820153,-0.5152194960218128,-0.0005908822261104026,0.3040004278713727,-0.3918515132276086,0.47277936962750716,ma200_touch_baseline,bear_high_vol,0.9512893982808023,7.613180515759312,0.3040004278713727
170,-0.4149121269560847,-0.5482069892893056,0.26584570568043703,-2.0621246744842447,-0.0030075720666675743,0.3083334163661062,-0.4135989411294573,0.4411764705882353,ma200_touch_baseline,bear_normal_vol,1.0,6.052941176470588,0.3083334163661062
583,0.5288029432245969,0.20139380144799257,0.22054677435476377,0.9131568667789155,0.0008247230702883346,0.19894020804375592,-0.1923492166811137,0.5111492281303602,ma200_touch_baseline,bull_high_vol,0.967409948542024,6.284734133790738,0.19894020804375592
2249,2.6993263641739076,0.1578652738957873,0.15897453373288473,0.9930224054692858,0.0006319766193708919,0.1614712075864745,-0.24028241285887175,0.5309026233881725,ma200_touch_baseline,bull_normal_vol,0.989773232547799,6.831036016007114,0.1614712075864745
349,-0.4482348433592571,-0.3490759691676768,0.3498987608569494,-0.9976484864157351,-0.0014578498487883887,0.3122515287398146,-0.5209373920091229,0.4899713467048711,ma200_touch_bounce_confirmed,bear_high_vol,0.9541547277936963,5.234957020057307,0.3122515287398146
170,-0.421445711904354,-0.555665430869319,0.2635296484860175,-2.1085499641563166,-0.003076474634802489,0.2862066691478456,-0.4230106600402165,0.4235294117647059,ma200_touch_bounce_confirmed,bear_normal_vol,1.0,3.8176470588235296,0.2862066691478456
583,0.7859415338773486,0.2848986041166517,0.2155944644809437,1.321456025332384,0.0010873938038179374,0.19444827365440387,-0.11591410566365035,0.5008576329331046,ma200_touch_bounce_confirmed,bull_high_vol,0.9210977701543739,4.761578044596913,0.19444827365440387
2249,2.986950127753906,0.16762042065926308,0.16950273653467585,0.9888950708767602,0.0006722067556447984,0.15772162475141577,-0.2088504500962728,0.5237883503779458,ma200_touch_bounce_confirmed,bull_normal_vol,0.9839928857269897,4.868830591373944,0.15772162475141577
349,-0.43743652551562273,-0.33990248603918105,0.3512619587836581,-0.9676609650990605,-0.0014005087924780875,0.3084173415961719,-0.516367820776023,0.49283667621776506,ma200_touch_rising_ma,bear_high_vol,0.9541547277936963,5.143266475644699,0.3084173415961719
170,-0.42503379445871126,-0.5597442012832403,0.2384383103915697,-2.3475430620356836,-0.0031375141214746304,0.2820769916358151,-0.4302325257277616,0.43529411764705883,ma200_touch_rising_ma,bear_normal_vol,1.0,3.223529411764706,0.2820769916358151
583,0.7980528950627503,0.2886577800180592,0.21050541230706518,1.3712606096654314,0.0010946818478076517,0.19042326302561963,-0.11591410566365035,0.5060034305317325,ma200_touch_rising_ma,bull_high_vol,0.9262435677530018,4.521440823327616,0.19042326302561963
2249,1.9074245390976494,0.12703143439592868,0.17235499439155452,0.7370336719534788,0.00053375543782718,0.15757335150398732,-0.28179169434430784,0.5184526456202757,ma200_touch_rising_ma,bull_normal_vol,0.9786571809693198,4.336149399733214,0.15757335150398732
349,-0.24285472208997894,-0.18198780300824968,0.35945308750441474,-0.5062908327530071,-0.0005391199256563,0.23644214029780486,-0.39752645233641415,0.5300859598853869,ma200_touch_wider_stop,bear_high_vol,0.9742120343839542,6.782234957020058,0.23644214029780486
170,-0.42474028244905326,-0.5594110099301052,0.2328880465460428,-2.402059780339596,-0.003139731225723645,0.1945390883626178,-0.42519144195711744,0.4588235294117647,ma200_touch_wider_stop,bear_normal_vol,1.0,4.6,0.1945390883626178
583,0.5554792780560396,0.2104106533120591,0.19159813586159632,1.098187372052786,0.0008310622621652072,0.11310097849548964,-0.1511087358158184,0.5317324185248714,ma200_touch_wider_stop,bull_high_vol,0.9639794168096055,6.65180102915952,0.11310097849548964
2249,4.448010706494722,0.20919213927934632,0.15560013922292848,1.3444212860223508,0.0008021137504871768,0.10068214972616929,-0.1806611080794157,0.5393508225878169,ma200_touch_wider_stop,bull_normal_vol,0.9982214317474433,6.563806136060471,0.10068214972616929
